URL туру,Назва туру,День №,Місто / Локація,Факультативи (назва + ціна),Опис дня,Симв.
https://www.accordtour.com/tours/7495,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",1,Львів – Варшава,и бажанні групи і наявності часу. Таємниці загадкової Варшави: 18€,"Збір на Львівському залізничному вокзалі. Перетин кордону. При бажанні групи і наявності часу. Таємниці загадкової Варшави ( Дорослий: 18€ / Діти: 13€ ) Романтичне, чарівне і таємниче Старе місто Варшави запрошує в гості. Тут важко позбутися відчуття, що блукаєш десь в казці або по величезній декорації з затишними різнокольоровими будинками. Ми побачимо одну з найкрасивіших будівель, яку часто зображують на листівках Варшави. Польська кухня (дод. оплата) Можливість спробувати місцеву кухню. Вона славиться відмінним журеком, бігосом і голонкою. Польські господині чудово вміють готувати торти і ",600
https://www.accordtour.com/tours/7495,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",2,Берлін,му... У вільний час є можливість відвідати: Берлін крізь часи: 26€,"Сніданок. Виселення з готелю. Переїзд по території Німеччини Оглядова екскурсія. Екскурсія Відвертість Берліну (входить у вартість туру) Пішохідна екскурсія по одному із найдивовижніших і найяскравіших міст на землі, де сучасність і традиції доповнюють одне одного дуже гармонійно, що найкрасивіші і таємничі куточки відкриті для нас. Кожен, хто приїжджає до Берліна, так чи інакше, потрапляє під магічну чарівливість цього міста, його живого і невимушеного шарму... У вільний час є можливість відвідати: Берлін крізь часи ( Дорослий: 26€ / Діти до 12 років: 18€ ) Автобусна екскурсія з фотопаузами. ",600
https://www.accordtour.com/tours/7495,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",3,Амстердам – Кекенгоф – Заансе Сханс – Волендам,,"Ранкове прибуття в Амстердам. Млини і фламандські живописці, консервативна Гаага і вирощування тюльпанів, голландський сир і ліберальний Амстердам. Все це Нідерланди - незабутня країна, де є відпочинок і розваги на будь-який смак .... Екскурсія Скарби минулого і теперішнього Амстердаму (входить у вартість туру) Старі ""вигнуті"" будівлі, бруківка, незліченні канали, набережні, які є на 3 метри нижче рівня моря, чудові парки і плаваючі квіткові ринки створюють особливу атмосферу. Площа Дам і Королівський палац, Райксмузеум і знаменитий Будинок Рембрандта, єврейський квартал і діамантова фабрика, ",600
https://www.accordtour.com/tours/7495,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",4,Брюссель – Париж – Лувр – ріка Сена,столицю Королівства Бельгії - Брюссель Королівський Брюссель: 26€,"Сніданок. Запрошуємо відвідати чарівне і романтичне місто на семи пагорбах, збудоване в формі серця, столицю Королівства Бельгії - Брюссель Королівський Брюссель ( Дорослий: 26€ / Діти до 16 років: 21€ ) Під час екскурсії ми побачимо одну з найяскравіших пам'яток готичної архітектури і живопису країни – прогуляємося через Брюссельський парк, королівську площу, скверик ду Саблон, (скверик 48 ремесел!!!), а також королівський палац, офіційну резиденцію бельгійського монарха. На завершення зануримося в історію минулого та сучасного відомого Палацу Правосуддя, який є самою грандіозною будівлею в Є",600
https://www.accordtour.com/tours/7495,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",5,Нормандія – Діснейленд – Версаль – Монпарнас – Париж,час в Парижі. Є можливість відвідати на вибір: Все про Париж: 30€,"Сніданок. Вільний час в Парижі. Є можливість відвідати на вибір: Все про Париж ( Дорослий: 30€ / Діти до 16 років: 21€ , до 6 років: 0€ ) Автобусна екскурсія по Парижу з фотопаузами. Нас очікують: площа Конкорд, Великі та Малі палаци, будинок Інвалідів, величний Лувр, один з найкрасивіших театрів світу – Гранд Опера, церква Мадлен, парк Пале Рояль. Фотопауза на Марсовому полі - Ейфелева вежа тут як на долоні. Побачивши всю цю красу, розуміємо, що Париж – казкова скриня шедеврів, які віками створювались найвідомішими в світі архітекторами, художниками і скульпторами... і це прекрасно!!! Вежа Мо",600
https://www.accordtour.com/tours/7495,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",6,Відпочинок на лазурному березі – Ніцца – Монако,,"Зупинка на сніданок (опл. додатково). Ах, це Лазурове Узбережжя - синонім блиску, краси і нескінченого задоволення... Вільний час. Парфумерна фабрика Фрагонар (входить у вартість туру) Ми прибудемо в середньовічний Ез . Французьке містечко, що сидить на вершині скелі над півостровом Сен-Жан-Кап-Ферра - справжня перлина французького Лазурного узбережжя. Невеликий, але нескінченно затишний, з вузькими вуличками і великою кількістю квітів. З високогір'я відкриваються приголомшливі види на Лазурне узбережжя. Відвідування парфумерної фабрики Фрагонар. Нам розкажуть про історію створення ароматів і ",600
https://www.accordtour.com/tours/7495,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",7,Флоренція – Піза – Рим,,"Сніданок. Переїзд в «квітуче» місто Флоренцію. УВАГА!!! ПЕРЕСУВАННЯ ГРОМАДСЬКИМ ТРАНСПОРТОМ !!! (Квиток оплачується самостійно). Оглядова екскурсія. Екскурсія Місто італійського шарму – Флоренція (входить у вартість туру) Це місто великих майстрів, символ епохи Відродження, де жили і творили справжні генії – Мікеланджело, Челліні, Джотто. Ми побачимо геніальні шедеври архітектури – Площа Синьорії, головний флорентійський собор Санта Марія-дель-Фьорі, дзвіницю Джотто, Базиліку Санта-Кроче, усипальню великих людей Італії, старий міст Понте Веккьо із численними золотими крамничками. У вільний час",600
https://www.accordtour.com/tours/7495,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",8,Рим – Ватикан – Колізей Рим,,"Сніданок. Пересування на громадському транспорті (квитки на транспорт оплачуються додатково). Екскурсія Натхнення і захват – місто Рим! (входить у вартість туру) Нас чекає справжнє велич шедеврів архітектури, що дійшли до нас крізь глибину століть... Зовнішній огляд Колізею, Пантеону, Римського форуму, замку Святого Ангела, фонтану Треві, арки Констянтина і Капітолія – від пишноти і краси захоплює дух... І розуміємо, що Рим не таке місто, як всі інші. У нього є своя чарівність, яку важко визначити і яке належить тільки йому одному – ""Вічному Місту""... У вільний час пропонуємо відвідати на вибі",600
https://www.accordtour.com/tours/7495,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",9,Венеція – Острови Мурано та Бурано – Верона,огулянку по каналам на гондолі Таємниці венеціанських каналів: 26€,"Сніданок. Переїзд в найдивовижніше і знамените місто в світі - Королеву Адріатики - Венецію (громадський транспорт - 26€/21Є). Екскурсія Заручена з морем – Венеція! (входить у вартість туру) Серце Венеції – площа Сан-Марко, мереживний палац Дожів, церква Сан-Марко, вузькі вулички, безліч містків і каналів, прекрасні собори і розкішні кам'яні палаци – химерний і таємничий світ міста на воді! Венеція – вона підкорює з першого погляду... Додатково рекомендуємо здійснити прогулянку по каналам на гондолі Таємниці венеціанських каналів ( Дорослий: 26€ / Діти: 21€ ) здійснити прогулянку по каналам на",600
https://www.accordtour.com/tours/7495,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",10,Будапешт – Егер – Купальні Сечені – Чоп – Львів,ата) Заряд бадьорості та енергії на цілий день! Таємнича Буда: 18€; Королівський Палац! Ранкова прогулянка на кораблику по Дунаю: 30€,"Приїзд в Будапешт. У вільний час пропонуємо відвідати на вибір: Для всіх бажаючих рекомендуємо Термальні купальні графа Сечені (дод. оплата) Заряд бадьорості та енергії на цілий день! Таємнича Буда ( Дорослий: 18€ / Діти: 13€ ) Це одне із найромантичніших і старовинних куточків Будапешту... Ніби маленьке середньовічне місто з мальовничими вуличками і стародавніми будівлями... Будайська фортеця, Рибацький бастіон, Будайський Лабіринт, собор св. Матяша, пам'ятник Святій Трійці і... і сам Королівський Палац! Ранкова прогулянка на кораблику по Дунаю ( Дорослий: 30€ / Діти: 26€ ) Під час, якої ми з",600
