URL,Назва туру,Маршрут (міста),Кількість днів,Виїзд з / Найближча дата,Входить у вартість,Додатково оплачується,Допки (за бажанням),Особливості туру,Базова ціна (€),Стара ціна (€),Статус парсингу,Дата парсингу
https://adriatic-travel.com.ua/tour/cheski-perlyny-4-nochi-v-prazi-drezden,«Чеські перлини: 4 ночі в Празі + Дрезден»,"Краків, Прага, Чеський Крумлов, Карлові Вари, Дрезден, Кутна Гора",5,"Львів, Тарнув, Краків, Катовіце, Оломоуц, Брно, Прага",Проїзд автобусом єврокласу; Супровід керівником групи; Проживання по маршруту: 4 ночі у готелі 3*; Харчування - сніданки; Оглядова екскурсія по Празі; Страхування,"Проїзд в громадському транспорті; Факультативні екскурсії; Вхідні квитки в екскурсійні об'єкти; Особисті витрати (обіди, вечері, та інше); City tax - 3€ з особи/доба; Обов'язкова доплата за оренду радіоприймача з навушниками для екскурсій - 2€/день (оплачується керівнику групи); Послуга ""Місце Priority"" - 10€/особа (Замовляється при бронюванні туру. Обирається місце з 5 по 12); Послуга ""Одномісне розміщення"" - 110€ (доплата до вартості туру); Послуга ""Останній ряд"" - знижка 10€ від вартості туру при виборі місця в останньому ряді автобуса.; Послуга ""Для наречених пар"" - знижка 5% від вартості туру для тих хто нещодавно побрався (забронювати тур не пізніше 30 днів з дати розпису).; Послуга ""Додаткове вільне місце біля себе"" - 75% до вартості туру.; Послуга ""Подарунок на день народження"" . - Даруємо 1 безкоштовну факультативну екскурсію в турі на вибір Туроператора (вартість екскурсії не перевищуватиме 20€. Обрати екскурсію можливо лише з того переліку, який надасть Туроператор вже в турі). - Подарункова екскурсія надається лише у разі, якщо день народження туриста припадає безпосередньо на дати туру.; Послуга ""Організованим групам"" Детальні умови по бронюванню організованих груп дивіться у розділі: організованим групам Увага! Для груп більш як 40 осіб, необхідно писати індивідуальний запит - детальні умови; Послуга ""Сімейна подорож"" - знижки для дітей* (дана послуга не розповсюджується на бронювання туристичних послуг для організованих груп): Детальні умови по знижках на дітей дивіться у розділі: акції; Правила проведення екскурсійного туру.",,"Автобусний тур на 5 днів , без нічних переїздів : ранковий виїзд зі Львова, нічне повернення до Львова (в залежності від проходження кордону).; Відвідаємо такі казкові міста Європи: Дрезден, Краків, Майсен, Прага, Карлові Вари, Кутна Гора, Чеський Крумлов Подорож до столиці Саксонії – унікальна нагода побачити рідкісні зразки європейської культурної спадщини, а також родзинку Саксонську Швейцарію . В цьому турі матимемо нагоду провести 3 чудових дні в Празі . Прогуляєомсь Старим Містом, яке вважається одним з найкрасивіших історичних центрів у Європі. Тут можна знайти архітектурні пам'ятки різних епох, включаючи Празький Орлій, Празький Град, Карлів міст , а також численні церкви та палаці. Матимемо нагоду відвідати Празький Град - це найбільший середньовічний замок у світі, який є резиденцією чеського президента. Він включає в себе палац короля і церкву Святого Віта , які є прикладами величної готичної архітектури. Побачимо Карлів міст - славетний пішохідний міст, який з'єднує Старе Місто і район Мала Страна . Він відомий своїми бароковими статуями та видами на річку Влтаву . Кулінарні враження: чеська кухня пропонує багато національних страв, які варто спробувати, такі як традиційна свиняча рулька, та пиво, оскільки Чехія відома своєю багатою пивоварнею. В Дрездені матимемо можливість відвідати Дрезденську галерею , або Галерею старих майстрів . А ще за 40 хв від Дрездена завітаємо до містечка Мейсен . В ході екскурсії ми побуваємо біля грандіозного готичного кафедрального собору, біля середньовічного замку Альбрехстбург , пройдемося по ринковій площі і відвідаємо сувенірні крамнички. Познайомимось з таємничим прикордонним районом Богемії й Саксонії , котрий завдяки своїй унікальній природі, чудними скелями, водоспадами, ріками, неймовірними фортецями, оглядовими майданчиками та затишними селами не випадково отримав назву Саксонська Швейцарія .; В Празі також пропонуємо вам цікаву вечірню екскурсію . Ця екскурсія костюмована , цікава, неповторна. Прогуляємось темними вуличками Праги з чарівним екскурсоводом з нічною лампою і цікавими містичними історіями.; Зверніть увагу! У вартість туру включена оглядова екскурсія по Празі; У вартість туру включено проживання в готелях категорії 3-4*.; Детальніше з програмою туру можете ознайомитися в розділі ""Програма туру"" .; Враження від туру інших учасників можете переглянути у розділі ""Відгуки"" .; Фотографії, відео, відгуки можете подивитися в соцмережах: instagram , facebook , telegram .; Графік виїздів, та інформацію про гарантовані автобусні тури до Праги дивіться в календарі на сайті. Якщо у вас виникли запитання, ви можете проконсультуватися з менеджером: натискайте на кнопку ""відправити запит"". Якщо бажаєте придбати тур, натискайте tour_id=1351 , agent_url=/tour/cheski-perlyny-4-nochi-v-prazi-drezden, type=text, title=""Замовити тур"".",252,270,✅ done,"22.06.2026, 11:58:38"
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»","Венеція, Рим, Ватикан, Тіволі, Неаполь, Сорренто, Гаета, Флоренція, Піза",6,"Львів, Стрий, Мукачево, Ужгород, Любляна, Будапешт","Проїзд автобусом єврокласу; Супровід керівником групи; Проживання по маршруту: готель 3*; Харчування - сніданки; Оглядові екскурсії по Флоренції, Риму та Венеції; Страхування","Проїзд в громадському транспорті; Факультативні екскурсії; Вхідні квитки в екскурсійні об'єкти; Особисті витрати (обіди, вечері, та інше); City tax - від 3€/доба/особи (місцевий податок, оплачується керівнику групи за вимоги готелю); Обов'язкова доплата за оренду радіоприймача з навушниками для екскурсій - 2€/день (оплачується керівнику групи); Послуга ""Місце Priority"" - 15€/особа (Замовляється при бронюванні туру. Обирається місце з 1 по 12); Послуга ""Одномісне розміщення"" - 105€ (доплата до вартості туру); За умови індивідуального бронювання - діти віком до 13 років включно, НЕ ОПЛАЧУЮТЬ факультативні екскурсії, якщо інше не вказано в програмі туру (Якщо в програмі туру вказана вартість для дітей - то така факультативна екскурсія оплачується по вказаній вартості). Вхідні квитки в екскурсійні об'єкти та послуги трансферу оплачуються на загальних підставах. За умови бронювання туру для організованих груп, турів на випускний - всі учасники групи оплачують стандартну вартість факультативних екскурсій.; Послуга ""Останній ряд"" - знижка 10€ від вартості туру при виборі місця в останньому ряді автобуса.; Послуга ""Для наречених пар"" - знижка 5% від вартості туру для тих хто нещодавно побрався (забронювати тур не пізніше 30 днів з дати розпису).; Послуга ""Додаткове вільне місце біля себе"" - 75% до вартості туру.; Послуга ""Подарунок на день народження"" . - Даруємо 1 безкоштовну факультативну екскурсію в турі на вибір Туроператора (вартість екскурсії не перевищуватиме 20€. Обрати екскурсію можливо лише з того переліку, який надасть Туроператор вже в турі). - Подарункова екскурсія надається лише у разі, якщо день народження туриста припадає безпосередньо на дати туру.",,"Автобусний тур на 6 днів, з 2 нічними переїздами. Ранковий виїзд зі Львова і вечірнє повернення у Львів (в залежності від проходження кордону). При перетині КПП Лужанка , організовується трансфер з Ужгорода до Мукачево; Відвідаємо чарівні міста Італії: Флоренція, Піза, Рим (1 ніч), Ватикан, Тіволі, Неаполь, Венеція.; Починаємо нашу мандрівку з Будапешта, де можемо прогулятися по вечірньому місту або здійснити прогулянку на човнику по Дунаю. Далі на нас чекає Венеція, де рекомендуємо обовязково здійснити романтичну прогулянку на гондолі. У вільний час можна буде переглянути острови лагуни, палац Джорджів, обрати екскурсія по Гранд-Каналу - головній вулиці Венеції. Після Венеції відправляємось до Риму - столиці імператорів. Дізнавшись цікаві факти про Рим на оглядовій екскуріїї далі можна відвідати: Ватикан, Три великі базиліки Риму, Траставере, Колізей, Тіволі. В цьому тури ми проводимо 2 дні в Римі. Далі на нас очікує Флоренція. Гуляємо по Флоренції, відвідуємо пішохідну екскурсію, а у вільний час є можливість відправитися до Пізи. Отримавши масу позитивних емоцій ми прямуємо додому!; Зверніть увагу! У вартість туру включено 3 екскурсії по містах: Флоренція, Рим та Венеція .; У вартість туру також входить проживання у готелях категорії 3* . Сніданки включені у вартість.; всі автобусні тури по Італії; всі автобусні тури в Італію на море; всі автобусні тури; діючі акції на автобусні тури",304,326,✅ done,"22.06.2026, 11:58:43"
https://adriatic-travel.com.ua/tour/evropeyska-mozaika-krakiv-praga-viden-budapesht,«Європейська мозаїка: Краків-Прага-Відень-Будапешт»,"Краків, Прага, Відень, Будапешт(1 ніч), Егерсалок, Егер",30,"Львів, Тарнув, Краків, Катовіце, Оломоуц, Брно, Прага",Проїзд автобусом єврокласу; Супровід керівником групи; Проживання по маршруту: готель 3*; Харчування - сніданки; Оглядова екскурсія по Празі та Відню; Страхування,"Проїзд в громадському транспорті; Факультативні екскурсії; Вхідні квитки в екскурсійні об'єкти; Особисті витрати (обіди, вечері, та інше); City tax - 3€/доба; Обов'язкова доплата за оренду радіоприймача з навушниками для екскурсій - 2€/день (оплачується керівнику групи); Послуга ""Місце Priority"" - 10€/особа (Замовляється при бронюванні туру. Обирається місце з 5 по 12); Послуга ""Одномісне розміщення"" - 70€ (доплата до вартості туру); За умови індивідуального бронювання - діти віком до 13 років включно, НЕ ОПЛАЧУЮТЬ факультативні екскурсії, якщо інше не вказано в програмі туру (Якщо в програмі туру вказана вартість для дітей - то така факультативна екскурсія оплачується по вказаній вартості). Вхідні квитки в екскурсійні об'єкти та послуги трансферу оплачуються на загальних підставах. За умови бронювання туру для організованих груп, турів на випускний - всі учасники групи оплачують стандартну вартість факультативних екскурсій.; Послуга ""Останній ряд"" - знижка 10€ від вартості туру при виборі місця в останньому ряді автобуса.; Послуга ""Для наречених пар"" - знижка 5% від вартості туру для тих хто нещодавно побрався (забронювати тур не пізніше 30 днів з дати розпису).; Послуга ""Додаткове вільне місце біля себе"" - 75% до вартості туру.; Послуга ""Подарунок на день народження"" . - Даруємо 1 безкоштовну факультативну екскурсію в турі на вибір Туроператора (вартість екскурсії не перевищуватиме 20€. Обрати екскурсію можливо лише з того переліку, який надасть Туроператор вже в турі). - Подарункова екскурсія надається лише у разі, якщо день народження туриста припадає безпосередньо на дати туру.",,"Автобусний тур на 4 дні, без нічних переїздів . Ранковий виїзд зі Львова і нічне прибуття у Львів (в залежності від проходження кордону); Відвідаємо такі чарівні міста: Краків (Польща), Прага (Чехія), Відень (Австрія), Будапешт, Єгерсалок, Єгер (Угорщина).; У Кракові прогуляємося Старим містом з головною площею і залишками укріплень XV ст. У Празі ознайомимось з історичними районами Праги та її чудовими пам’ятками архітектури, можемо здійснити прогулянку річкою Влтавою на катері, а також матимемо можливість відвідати знамениті чеські пивні та послухати історії про них. Відвідаємо Відень - столицю блискучої імперії, місто палаців і величних площ, мальовничих вуличок і численних скверів. У Будапешті можна буде здійснити прогулянку по Дунаю. А в Єгері буде чудова нагода дегустувати угорські вина та спробувати смачний гуляш.; Зверніть увагу! У вартість туру включено 2 екскурсії по місту: Прага та Відень .; У вартості туру проживання у готелях категорії 3* на території Чехії та Угорщини. Сніданки включені у вартість.; З детальною програмою тура можете ознайомитися у розділі "" Програма "".; Враження від інших учасників туру дивіться у розділі "" Відгуки "".; Фотографії, відео, відгуки можете подивитися в соцмережах: instagram , facebook , telegram .; Графік виїздів, та інформацію про гарантовані автобусні тури до Європи дивіться в календарі на сайті. Якщо у вас виникли запитання, ви можете проконсультуватися з менеджером: натискайте на кнопку ""відправити запит"". Якщо бажаєте придбати тур, натискайте tour_id=211, agent_url=/tour/evropeyska-mozaika-krakiv-praga-viden-budapesht, type=text, title=""Замовити тур"".; всі автоубснітури до Чехії; всі автобусні тури; всі актуальні акції на автобусні тури",205,215,✅ done,"22.06.2026, 11:58:47"
https://adriatic-travel.com.ua/tour/neymovirna-shveytsariya-ta-elzas,«Неймовірна Швейцарія та Ельзас!»,"Краків, Зальцбург, Зальцкаммергут, Вадуц, Люцерн, Інтерлакен, Цюрих, Кольмар, Страсбург, Прага",5,"Львів, Перемишль, Ярослав, Тарнув, Краків, Катовіце, Острава, Оломоуц, Брно","Проїзд автобусом єврокласу; Супровід керівником групи; Проживання в готелях по маршруту; Харчування - сніданки; Екскурсійні об'єкти: Зальцбург, Люцерн, Кольмар та Прага; Страхування","Проїзд в громадському транспорті; Факультативні екскурсії; Вхідні квитки в екскурсійні об'єкти; Особисті витрати (обіди, вечері, та інше); City tax - 2€-5€/доба (місцевий податок, оплачується на рецепції за вимоги готелю); Обов'язкова доплата за оренду радіоприймача з навушниками для екскурсій - 2€/день (оплачується керівнику групи); Послуга ""Місце Priority"" - 10€/особа (Замовляється при бронюванні туру. Обирається місце з 5 по 12); Послуга ""Одномісне розміщення"" - 155€ (доплата до вартості туру); За умови індивідуального бронювання - діти віком до 13 років включно, НЕ ОПЛАЧУЮТЬ факультативні екскурсії, якщо інше не вказано в програмі туру (Якщо в програмі туру вказана вартість для дітей - то така факультативна екскурсія оплачується по вказаній вартості). Вхідні квитки в екскурсійні об'єкти та послуги трансферу оплачуються на загальних підставах. За умови бронювання туру для організованих груп, турів на випускний - всі учасники групи оплачують стандартну вартість факультативних екскурсій.; Послуга ""Останній ряд"" - знижка 10€ від вартості туру при виборі місця в останньому ряді автобуса.; Послуга ""Для наречених пар"" - знижка 5% від вартості туру для тих хто нещодавно побрався (забронювати тур не пізніше 30 днів з дати розпису).; Послуга ""Додаткове вільне місце біля себе"" - 75% до вартості туру.",,"Автобусний тур на 5 днів, без нічних переїздів . Ранковий виїзд зі Львова і нічне прибуття до Львова (залежно від проходження кордону).; Відвідуємо казкові міста: Краків (Польща), Зальцбург, Зальцкаммергут (Австрія), Вадуц (Ліхтеншнейн), Люцерн , Інтерлакен , Цюрих (Швейцарія), Кольмар , Страсбург (Франція), Прага (Чехія). Детальний маршрут тура можете переглянути в розділі "" Маршрут "".; Відвідаємо із вами королівський Краків . Заїдемо до міста Моцарта - Зальцбург , з можливістю побачити альпійський озерний край - Зальцкаммергут . По дорозі до Швейцарії побачимо крихітне князівство Ліхтенштейн. І ось вона Швейцарія. Затишне місто Люцерн . У вільний час можемо відвідати Інтерлакен та долину Лаутербруннен , гору Пілатус , і Цюрих . А далі нас чекає французька провінція Ельзас . Місто Кольмар - невеличке, але дуже красиве містечко немов із казки братів Грімм. І не забудемо про місто фахверкових будинків і центр Ради Європи - Страсбург . А на завершення нашого туру прогуляємося по вуличках Праги .; Зверніть увагу! У вартість туру включено 4 екскурсійних об'єкти: Зальцбург, Люцерн, Кольмар та Прага; У вартість туру входить проживання у готелях . Сніданки включені у вартість.; З детальною програмою туру ви можете ознайомитися в розділі "" Програма туру "".; Враження від туру інших учасників можете переглянути в розділі "" Відгуки "".; Фотографії, відео, відгуки можете подивитися в соцмережах: instagram , facebook , telegram .; Графік виїздів, та інформацію про гарантовані автобусні тури до Швейцарії та Франції дивіться в календарі на сайті. Якщо у вас виникли запитання, ви можете проконсультуватися з менеджером: натискайте на кнопку ""відправити запит"".; всі автобусні тури до Швейцарії; всі автобусні тури до Франції; всі автобусні тури; діючі акції на автобусні тури",315,331,✅ done,"22.06.2026, 11:58:52"
https://adriatic-travel.com.ua/tour/italiyskyy-vikend-venetsiya-florentsiya-rym#about_tour,"«Італійський вікенд... Венеція, Флоренція, Рим»","Будапешт, Венеція, Рим, Ватикан, Флоренція, Піза",5,"Львів, Стрий, Мукачево, Ужгород, Будапешт","Проїзд автобусом єврокласу; Супровід керівником групи; Проживання по маршруту: готель 3-4*; Харчування - сніданки; Оглядові екскурсії по Венеції, Риму та Флоренції; Страхування","Проїзд в громадському транспорті; Факультативні екскурсії; Вхідні квитки в екскурсійні об'єкти; Особисті витрати (обіди, вечері, та інше); City tax - від 3€ до 7€ (місцевий податок, оплачується керівнику групи за вимоги готелю); Обов'язкова доплата за оренду радіоприймача з навушниками для екскурсій - 2€/день (оплачується керівнику групи); Послуга ""Місце Priority"" - 10€/особа (Замовляється при бронюванні туру. Обирається місце з 1 по 12); Послуга ""Одномісне розміщення"" - від 70€ (доплата до вартості туру); За умови індивідуального бронювання - діти віком до 13 років включно, НЕ ОПЛАЧУЮТЬ факультативні екскурсії, якщо інше не вказано в програмі туру (Якщо в програмі туру вказана вартість для дітей - то така факультативна екскурсія оплачується по вказаній вартості). Вхідні квитки в екскурсійні об'єкти та послуги трансферу оплачуються на загальних підставах. За умови бронювання туру для організованих груп, турів на випускний - всі учасники групи оплачують стандартну вартість факультативних екскурсій.; Послуга ""Останній ряд"" - знижка 10€ від вартості туру при виборі місця в останньому ряді автобуса.; Послуга ""Для наречених пар"" - знижка 5% від вартості туру для тих хто нещодавно побрався (забронювати тур не пізніше 30 днів з дати розпису).; Послуга ""Додаткове вільне місце біля себе"" - 75% до вартості туру.; Послуга ""Подарунок на день народження"" . - Даруємо 1 безкоштовну факультативну екскурсію в турі на вибір Туроператора (вартість екскурсії не перевищуватиме 20€. Обрати екскурсію можливо лише з того переліку, який надасть Туроператор вже в турі). - Подарункова екскурсія надається лише у разі, якщо день народження туриста припадає безпосередньо на дати туру.",,"Автобусний тур на 5 днів з 2 нічними переїздами. Ранковий виїзд зі Львова і вечірнє повернення у Львів (залежно від проходження кордону). При перетині КПП Лужанка , організовується трансфер з Ужгорода до Мукачево; Відвідаємо чарівні міста Італії (Венеція, Рим, Ватикан, Флоренція, Піза) та Угорщини (Будапешт).; У Будапешті можна буде здійснити прогулянку по Дунаю. «Місто на воді» - відома Венеція , не покине нас своєю увагою. Прогуляємось по місту на гондолі. Прогулявшись по Гранд Каналі - Головній вулиці Ви познайомитесь з найромантичнішими місцями Італії і насолодитесь найкрасивішим водним шляхом у світі. Буде змога відвідати «кольорові»острови Венеції: Мурано і Бурано. Рим - вічне місто, яке відкриє нам свою античну історію легенди та таємниці, що зберігаються в стінах храмів, монументах та старовинних будівель... Завітаємо у найменшу країну світу – Ватикан, де побачимо творіння античних скульпторів, геніїв Відродження і сучасних художників. У Ватикані 2025 рік — Ювілейний , тож саме цього року відкриті Святі ворота , які відчиняються лише раз на 25 років. Це особливий час благодаті, коли паломники можуть пройти крізь них і отримати повне відпущення гріхів . Флоренція – столиця Тоскани, вразить вас. Архітектурна трійця Домського Собору, Баптистерій з його «Брамою Раю» і Дзвіницею Джотто, Старий Палац - символ міської влади, Старий Міст зі своєю сімсотрічною історією, Галерея Уфіцці, в якій зберігаються кращі твори Джотто, Боттічеллі, Леонардо да Вінчі, Рафаель, Мікеланджело, Караваджо, Тіциан. Ще одна перлина Тоскани – Піза, знаменита відомою в усьому світі «падучою вежею», а також, потрапимо на Площу Чудес, що є домом для таких пам'яток як Пізанський собор, баптистерій та монументальне кладовище.; всі автобусні тури в Італію; всі діючі акції на автобусні тури",256,275,✅ done,"22.06.2026, 11:58:56"
https://adriatic-travel.com.ua/tour/paryzh-misto-kokhannya,«Париж - місто кохання»,"Варшава, Берлін, Париж, Руан, Довіль, Трувіль-сюр-Мер, Етрета, Нюрнберг, Прага, Краків",6,"Львів, Люблін, Варшава, Лодзь, Познань, Берлін, Магдебург, Ганновер, Оснабрюк","Проїзд автобусом єврокласу; Супровід керівником групи; Проживання по маршруту: готель зі сніданками; Харчування — сніданки; Оглядові екскурсії по Берліну, Парижу, музею Фрагонар та Празі; Страхування","Проїзд в громадському транспорті; Факультативні екскурсії; Вхідні квитки в екскурсійні об'єкти; Особисті витрати (обіди, вечері, та інше); City tax - від 2€ до 5€ за ніч в готелі (місцевий податок, оплачується керівнику групи за вимоги готелю); Обов'язкова доплата за оренду радіоприймача з навушниками для екскурсій - 2€/день (оплачується керівнику групи); Послуга ""Місце Priority"" - 15€/особа (Замовляється при бронюванні туру. Обирається місце з 5 по 12); Послуга ""Одномісне розміщення"" - 100€ (доплата до вартості туру); За умови індивідуального бронювання - діти віком до 13 років включно, НЕ ОПЛАЧУЮТЬ факультативні екскурсії, якщо інше не вказано в програмі туру (Якщо в програмі туру вказана вартість для дітей - то така факультативна екскурсія оплачується по вказаній вартості). Вхідні квитки в екскурсійні об'єкти та послуги трансферу оплачуються на загальних підставах. За умови бронювання туру для організованих груп, турів на випускний - всі учасники групи оплачують стандартну вартість факультативних екскурсій.; Послуга ""Останній ряд"" - знижка 10€ від вартості туру при виборі місця в останньому ряді автобуса.; Послуга ""Для наречених пар"" - знижка 5% від вартості туру для тих хто нещодавно побрався (забронювати тур не пізніше 30 днів з дати розпису).; Послуга ""Додаткове вільне місце біля себе"" - 75% до вартості туру.; Послуга ""Подарунок на день народження"" . - Даруємо 1 безкоштовну факультативну екскурсію в турі на вибір Туроператора (вартість екскурсії не перевищуватиме 20€. Обрати екскурсію можливо лише з того переліку, який надасть Туроператор вже в турі). - Подарункова екскурсія надається лише у разі, якщо день народження туриста припадає безпосередньо на дати туру.",,"Тур на 6 з двома нічними переїздами. Ранковий виїзд зі Львова та нічне прибуття у Львів (залежно від проходження кордону).; Детальний маршрут туру дивіться у розділі "" Маршрут "".; У турі відвідаємо: Польщу (Краків, Варшава), Чехію (Прагу), Францію (Париж) та Німеччину (Берлін, Нюрнберг).; Старе місто Варшави внесене до списку культурної спадщини ЮНЕСКО і цей факт мотивує багатьох туристів, які приїжджають до Варшави прогулятися по вуличках «Старе Място». Отримаємо задоволення від побачених пам'яток Берліну. Відчуємо, що Париж стає рідним з першого погляду і з першого кроку, адже паризькі прогулянки заводять у минуле, у потаємні куточки душі. Матимемо змогу насолодитись красою Парижу у вечірніх вогнях. Відкриємо для себе чарівний світ Діснея і справжню магію Парижа. Прогуляємося по історичних районах Праги та її чудовим пам’яткам архітектури. Будемо мати змогу відвідати знамениті пивні та послухати історії про них. У Кракові ми побачимо ринкову площу, яку оточують чудові кам'яниці та палаци, колишні торгові ряди (Сукенніце).; Зверніть увагу! У вартості туру 4 екскурсії по містах: Прага, Берлін, Париж та музей Fragonard .; У вартість туру входить проживання в готелях зі сніданками на території ЄС.; З детальною програмою тура можете ознайомитися у розділі "" Програма ""; Враження від туру інших учасників можете переглянути у розділі "" Відгуки "".; Фотографії, відео, відгуки можете подивитися в соцмережах: instagram , facebook , telegram .; Графік виїздів, та інформацію про гарантовані автобусні тури до Франції дивіться в календарі на сайті. Якщо у вас виникли запитання, ви можете проконсультуватися з менеджером: натискайте на кнопку ""відправити запит"". Якщо бажаєте придбати тур, натискайте tour_id=109, agent_url=/tour/paryzh-misto-kokhannya, type=text, title=""Замовити тур""; всі автобусні тури в Париж; всі автобусні тури до Франції; всі автобусні тури; діючі акції на автобусні тури",273,287,✅ done,"22.06.2026, 11:59:00"
https://adriatic-travel.com.ua/tour/avstriyskyy-khit-budapesht,«Австрійський хіт + Будапешт»,"Відень, Будапешт(1 ніч), Сентендре, Егер",30,"Львів, Стрий, Мукачево, Чоп, Будапешт",Проїзд автобусом єврокласу; Супровід керівником групи; Проживання по маршруту: готель 3*; Харчування - сніданки; Оглядові екскурсії по Відню та Будапешту; Страхування,"Проїзд в громадському транспорті; Факультативні екскурсії; Вхідні квитки в екскурсійні об'єкти; Особисті витрати (обіди, вечері, та інше); City tax - 3€/ніч/особа (місцевий податок, оплачується керівнику групи за вимоги готелю); Обов'язкова доплата за оренду радіоприймача з навушниками для екскурсій - 2€/день (оплачується керівнику групи); Послуга ""Місце Priority"" - 10€/особа (Замовляється при бронюванні туру. Обирається місце з 5 по 12); Послуга ""Одномісне розміщення"" - 25€ (доплата до вартості туру); За умови індивідуального бронювання - діти віком до 13 років включно, НЕ ОПЛАЧУЮТЬ факультативні екскурсії, якщо інше не вказано в програмі туру (Якщо в програмі туру вказана вартість для дітей - то така факультативна екскурсія оплачується по вказаній вартості). Вхідні квитки в екскурсійні об'єкти та послуги трансферу оплачуються на загальних підставах. За умови бронювання туру для організованих груп, турів на випускний - всі учасники групи оплачують стандартну вартість факультативних екскурсій.; Послуга ""Останній ряд"" - знижка 10€ від вартості туру при виборі місця в останньому ряді автобуса.; Послуга ""Для наречених пар"" - знижка 5% від вартості туру для тих хто нещодавно побрався (забронювати тур не пізніше 30 днів з дати розпису).; Послуга ""Додаткове вільне місце біля себе"" - 75% до вартості туру.; Послуга ""Подарунок на день народження"" . - Даруємо 1 безкоштовну факультативну екскурсію в турі на вибір Туроператора (вартість екскурсії не перевищуватиме 20€. Обрати екскурсію можливо лише з того переліку, який надасть Туроператор вже в турі). - Подарункова екскурсія надається лише у разі, якщо день народження туриста припадає безпосередньо на дати туру.",,"Автобусний тур вихідного дня на 4 дні, з 2 нічними переїздами. Виїзд у п’ятницю ввечері зі Львова, повернення у понеділок, в першій половині дня до Львова. (в залежності від проходження кордону).; Відвідаємо такі чудові міста Європи: Відень (Австрія), Будапешт, Єгер (Угорщина). Розпочнемо нашу подорож зі столиці блискучої імперії, міста палаців і величних площ – Відня , та помандруємо до прекрасного Будапешту , де ми зможемо насолодитись неймовірною вечірньою ілюмінацією та побачити знаменитий Парламент. Прогуляємося по Будапешту, ввечері можна здійснити прогулянку на човнику по Дунаю. Пропонуємо також екскурсію в місто Сентендре.В Долині красунь матимемо можливість продегустувати вина і смачний гуляш. Бажаючі можуть відвідати Тропікарій – Океанаріум у Будапешті.; Зверніть увагу! У вартості включені 2 екскурсії по містах: Відень та Будапешт.; У вартості туру проживання у чудовому готелі категорії 3* на території Угорщини.; Детальніше з програмою туру можете ознайомитися в розділі "" Програма туру "".; Фотографії, відео, відгуки можете подивитися в соцмережах: instagram , facebook , telegram .; Графік виїздів, та інформацію про гарантовані автобусні тури до Австрії та Угорщини дивіться в календарі на сайті. Якщо у вас виникли запитання, ви можете проконсультуватися з менеджером: натискайте на кнопку ""відправити запит"". Якщо бажаєте придбати тур, натискайте tour_id=142, agent_url=/tour/avstriyskyy-khit-budapesht, type=text, title=""Замовити тур"".",148,155,✅ done,"22.06.2026, 11:59:04"
