ОСНОВНИЙ НАПРЯМОК,ІНДЕКС МОЖЛИВОСТІ,
Німеччина,КРИТИЧНИЙ РОЗРИВ,
Албанія,КРИТИЧНИЙ РОЗРИВ,
Хорватія,КРИТИЧНИЙ РОЗРИВ,
Швеція,КРИТИЧНИЙ РОЗРИВ,
Бельгія,КРИТИЧНИЙ РОЗРИВ,
Литва,КРИТИЧНИЙ РОЗРИВ,
Португалія,КРИТИЧНИЙ РОЗРИВ,
Болгарія,КРИТИЧНИЙ РОЗРИВ,
Естонія,КРИТИЧНИЙ РОЗРИВ,
Молдова,КРИТИЧНИЙ РОЗРИВ,
,,
,,
,,
ТУРОПЕРАТОР,КІЛЬКІСТЬ ТУРІВ,
Accord tour,183,
Adriatic,136,
ITravel,54,
Tango Travel,43,
Travel Room,13,
DavClub,11,
Rich Tour,10,
,,
,,
,,
,,
,,
,,
ОСНОВНИЙ НАПРЯМОК,ВИЇЗДІВ,
нідерланди,0,
франція,0,
бельгія,0,
чехія,0,
італія,0,
швейцарія,0,
німеччина,0,
австрія,0,
польща,0,
іспанія,0,
,,
,,
,,
МІСЯЦЬ,EUROTRIPS,COMPETITORS
СІЧ,0,0
ЛЮТ,0,0
БЕР,0,0
КВІ,10,550
ТРА,16,1962
ЧЕР,40,2163
ЛИП,45,2145
СЕР,44,2261
ВЕР,41,1783
ЖОВ,37,1942
ЛИС,18,1224
ГРУ,27,1268
,,
,,
,,
ТУР,ЗНИЖКА %,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ТУР,КІЛЬКІСТЬ ЗМІН ЦІНИ,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ОСНОВНИЙ НАПРЯМОК,EUROTRIPS,COMPETITORS
італія,"1,64","0,94"
нідерланди,2,"0,81"
латвія,0,0
австрія,"1,33","0,89"
угорщина,"1,5",1
румунія,"1,67","0,83"
чехія,1,"0,79"
іспанія,2,"1,4"
польща,0,"0,54"
франція,"1,67","1,07"
,,
,,
,,
ОСНОВНИЙ НАПРЯМОК,РІЗНИЦЯ ЦІНИ,
греція,277,
хорватія,225,
франція,215,
норвегія,204,
португалія,199,
албанія,199,
швеція,171,
італія,155,
чорногорія,153,
іспанія,147,
