URL туру,Назва туру,Дата (від),Дата (до),Ціна (€),Ціна (грн),Стара ціна (€),Місць / Статус
https://davclub.ua/bus-tours-europe/czech-republic_germany/,Празький вікенд з Києва,25.07,,199,,,липень 2026
https://davclub.ua/bus-tours-europe/czech-republic_germany/,Празький вікенд з Києва,22.08,,199,,,серпень 2026
https://davclub.ua/bus-tours-europe/ukraine_czech-republic_germany/,Європейський вікенд,25.07,,229,,,липень 2026
https://davclub.ua/bus-tours-europe/ukraine_czech-republic_germany/,Європейський вікенд,22.08,,229,,,серпень 2026
https://davclub.ua/search-for-country/%d1%96%d1%82%d0%b0%d0%bb%d1%96%d1%8f/italy-ligurian-coast/,Bella Італія (Лігурійське узбережжня) 2026,13.06,,0,,,Продано
https://davclub.ua/search-for-country/%d1%96%d1%82%d0%b0%d0%bb%d1%96%d1%8f/italy-ligurian-coast/,Bella Італія (Лігурійське узбережжня) 2026,4.7,,665,,,липень 2026
https://davclub.ua/search-for-country/%d1%96%d1%82%d0%b0%d0%bb%d1%96%d1%8f/italy-ligurian-coast/,Bella Італія (Лігурійське узбережжня) 2026,05.09,,585,,,вересень 2026
https://davclub.ua/search-for-country/%d1%96%d1%82%d0%b0%d0%bb%d1%96%d1%8f/italy-ligurian-coast/,Bella Італія (Лігурійське узбережжня) 2026,03.10,,535,,,жовтень 2026
https://davclub.ua/search-for-country/%d1%96%d1%82%d0%b0%d0%bb%d1%96%d1%8f/italy-from-odesa/,Чарівна Італія з Одеси,21.10,,455,,,березень 2026
https://davclub.ua/bus-tours-europe/hungary-austria-germany/,Альпійський вікенд,30.05,,289,,,травень 2026
https://davclub.ua/bus-tours-europe/hungary-austria-germany/,Альпійський вікенд,27.06,,289,,,червень 2026
https://davclub.ua/bus-tours-europe/hangury_austria/,Казкова Угорщина + Відень,25.7,,199,,,липень 2026
https://davclub.ua/bus-tours-europe/hangury_austria/,Казкова Угорщина + Відень,22.08,,199,,,серпень 2026
https://davclub.ua/bus-tours-europe/hangury_austria/,Казкова Угорщина + Відень,25.07,,199,,,липень 2026
https://davclub.ua/bus-tours-europe/hangury_austria/,Казкова Угорщина + Відень,22.08,,199,,,серпень 2026
