URL,Назва туру,Маршрут (міста),Кількість днів,Виїзд з / Найближча дата,Входить у вартість,Додатково оплачується,Допки (за бажанням),Особливості туру,Базова ціна (€),Стара ціна (€),Статус парсингу,Дата парсингу
https://davclub.ua/bus-tours-europe/czech-republic_germany/,Празький вікенд з Києва,Україна – Чехія – Німеччина,1 днів,Найближчий виїзд: 25.07,"Пішохідна екскурсія по Старому місту – Прага; Проживання в готелях 3*-3+*, 2-3х місне розміщення;; Харчування – сніданки в готелях;; Проїзд автобусом туристичного класу – наші автобуси нові та найкращі на ринку;; Медичне страхування з покриттям Covid-19;; Супровід керівником групи.","Рекомендовані екскурсії, вхідні квитки в екскурсійні центри, музеї і т.д .;; Проїзд в громадському транспорті та особисті витрати;; Обов язкова доплата за оренду радіоприймача з навушниками для екскурсій – 6€;; Доплата за страховий поліс за віком: 60-70 (69,99) років = 4€ 70-80 (79,99) років = 8€ 80-90 (89,99) років = 15€ За весь період в турі.",Містична Прага – 15 EUR Празький Град – 20 EUR Прогулянка на кораблику по романтичній річці Влтава з харчуванням в формі шведського столу – 30 EUR Дрезден – 30 EUR,2 країни в одному турі; Сity tax по готелям – ОПЛАЧУЄ ТУРОПЕРАТОР.,199,,✅ done,"20.05.2026, 13:47:07"
https://davclub.ua/bus-tours-europe/ukraine_czech-republic_germany/,Європейський вікенд,Україна – Чехія – Німеччина,1 днів,Найближчий виїзд: 25.07,"Пішохідна екскурсія по Старому місту – Прага; Проживання в готелях 3*-3+*, 2-3х місне розміщення;; Харчування – сніданки в готелях;; Проїзд автобусом туристичного класу – наші автобуси нові та найкращі на ринку;; Медичне страхування з покриттям Covid-19;; Супровід керівником групи.","Рекомендовані екскурсії, вхідні квитки в екскурсійні центри, музеї і т.д .;; Проїзд в громадському транспорті та особисті витрати;; Обов язкова доплата за оренду радіоприймача з навушниками для екскурсій – 8€;; Доплата за страховий поліс за віком: 60-70 (69,99) років = 4€ 70-80 (79,99) років = 8€ 80-90 (89,99) років = 15€ За весь період в турі.",Містична Прага – 15 EUR Празький Град – 20 EUR Прогулянка на кораблику по романтичній річці Влтава з харчуванням в формі шведського столу – 30 EUR Регенсбург – 55 EUR Дрезден – 30 EUR,2 країни в одному турі; Сity tax по готелям – ОПЛАЧУЄ ТУРОПЕРАТОР.,229,,✅ done,"20.05.2026, 13:47:12"
https://davclub.ua/search-for-country/greece/greece-holiday/,Грецькі Канікули (Олімпійська Рив єра) 2026,Україна – Греція – Україна,,,Розміщення в готелях 3*-3+*: 2-3 місне розміщення;; Харчування: сніданки;; Проїзд автобусом туристичного класу – наші автобуси нові та найкращі на ринку;; Доїзд до готеля (трансфер до готеля);; Медичне страхування з покриттям Covid-19;; Супровід керівником групи.,"Обов язкова оплата сіті-такс у готелі Греції – 20€ з людини від 7 років на весь період туру;; Рекомендовані екскурсії, вхідні квитки в екскурсійні центри, музеї і т.д.;; Послуга кондиціонер в номері оплачується за бажанням на місці додатково ~ 5€/доба за номер;; Проїзд в громадському транспорті та особисті витрати;; Доплата за страховий поліс за віком: 60-70 (69,99) років = 4€ 70-80 (79,99) років = 8€ 80-90 (89,99) років = 15€ За весь період в турі.","Салоніки – 35€ Метеори – 45€ дорослий/40€ діти до 12 років Лутра Арідея – 35€/дор, 30€/діти до 12 років. Незаймані insta-пляжі Сітонії – 45€ дорослий/40€ діти до 12 років Скіатос – 65€/дор, 55€/діти до 12 років. Олімп – 30€ Грецький вечір – 35€",Збалансована екскурсійна програма; Багато вільного часу; Відпочинок на морі; ДО 24.10 Виїзд КОЖНУ СУБОТУ!,,,✅ done,"20.05.2026, 13:47:16"
https://davclub.ua/search-for-country/%d1%96%d1%82%d0%b0%d0%bb%d1%96%d1%8f/italy-ligurian-coast/,Bella Італія (Лігурійське узбережжня) 2026,Україна – Угорщина – Словенія – Італія,,Найближчий виїзд: 04.07,"Проживання в готелях 3+*, 2-3х місне розміщення;; Харчування – сніданки та вечері в готелі;; Проїзд автобусом туристичного класу;; Групове страхування;; Супровід керівником групи;","Обов язкова оплата сіті-такс у готелі Італії – 10€ з людини на весь період туру; Послуга радіонавушники (10€ за весь тур); Користування лежаками на пляжі;; Рекомендовані екскурсії, вхідні квитки в екскурсійні центри, музеї і т.д.;; Проїзд в громадському транспорті та особисті витрати;; Доплата за страховий поліс за віком: 60-70 (69,99) років = 4€ 70-80 (79,99) років = 8€ 80-90 (89,99) років = 15€ За весь період в турі.",Піза – 25€ Національний парк Чінкве Терре – 65€ Сан Джиміньяно – 35€ Дегустація вина – 20€ Рим – 65€ Флоренція – 30 €,"Відпочинок в одному готелі в Італії на березі Лігурійського моря! Відпочинок на морі; Авторська програма, яка дивує своєю унікальністю; Багато вільного часу;",665,,✅ done,"20.05.2026, 13:47:20"
https://davclub.ua/search-for-country/greece/greece-holiday/,Грецькі Канікули (Олімпійська Рив єра) 2026,Україна – Греція – Україна,,,Розміщення в готелях 3*-3+*: 2-3 місне розміщення;; Харчування: сніданки;; Проїзд автобусом туристичного класу – наші автобуси нові та найкращі на ринку;; Доїзд до готеля (трансфер до готеля);; Медичне страхування з покриттям Covid-19;; Супровід керівником групи.,"Обов язкова оплата сіті-такс у готелі Греції – 20€ з людини від 7 років на весь період туру;; Рекомендовані екскурсії, вхідні квитки в екскурсійні центри, музеї і т.д.;; Послуга кондиціонер в номері оплачується за бажанням на місці додатково ~ 5€/доба за номер;; Проїзд в громадському транспорті та особисті витрати;; Доплата за страховий поліс за віком: 60-70 (69,99) років = 4€ 70-80 (79,99) років = 8€ 80-90 (89,99) років = 15€ За весь період в турі.","Салоніки – 35€ Метеори – 45€ дорослий/40€ діти до 12 років Лутра Арідея – 35€/дор, 30€/діти до 12 років. Незаймані insta-пляжі Сітонії – 45€ дорослий/40€ діти до 12 років Скіатос – 65€/дор, 55€/діти до 12 років. Олімп – 30€ Грецький вечір – 35€",Збалансована екскурсійна програма; Багато вільного часу; Відпочинок на морі; ДО 24.10 Виїзд КОЖНУ СУБОТУ!,,,✅ done,"20.05.2026, 13:47:26"
https://davclub.ua/search-for-country/greece/orfeas-olympic-camp-in-grecce-2026/,,,,,,,,,,,⚠️ error: не завантажено,
https://davclub.ua/search-for-country/%d1%96%d1%82%d0%b0%d0%bb%d1%96%d1%8f/italy-from-odesa/,Чарівна Італія з Одеси,Україна – Угорщина – Італія – Ватикан,1 днів,Найближчий виїзд: 21.10,"Екскурсія по Риму; Проживання в готелях 3*-3+*, 2-3х місне розміщення;; Харчування – сніданки в готелях;; Проїзд автобусом туристичного класу;; Групова страховка;; Супровід керівником групи.","Рекомендовані екскурсії, вхідні квитки в екскурсійні центри, музеї і т.д.;; Вхідний квиток у Ватикан;; Послуга радіонавушники (10€ за весь тур);; Доплата за страховий поліс за віком: 60-70 (69,99) років = 4€ 70-80 (79,99) років = 8€ 80-90 (89,99) років = 15€ За весь період в турі.",Е кскурсія по Будапешту 2в1 Буда + Пешт – 20 EUR Квартал контрастів – 15 EUR Любляна – затишна маленька столиця Словенії – 20 EUR Екскурсію в Пізу + Флоренція 2в1 – 55 EUR Ватикан – 20 EUR (+вх. квток оплата додатково) Венеція – 45 EUR,"Виїзд з Одеси, Умані, Вінниці, Хмельницького, Тернопіля і Мукачево! Рим – 2 дні з екскурсією у вартості туру! Будапешт, Любляна, Рим, Венеція, Флоренція та Піза в одному турі багато вільного часу; Стандартна вартість туру 425 EUR, діє SPO з обов`язковою покупкою екскурсії в Брюгге – 45 EUR .; УВАГА!!! В даному турі є можливість бронювання трансферу:; 24.04.2025 трансфер Київ – Львів (15€) та на зворотньому шляху Львів – Київ (15€); В нашому турі у вас буде чудова можливість познайомитися з цікавими містами Європи. Ми побачимо визначні пам ятки Берліну. Відвідаємо незабутній Амстердам. Побуваємо в традиційному голландському селі Заансе-Сханс. Вирушимо в найзбереженіше місто Північної Європи Брюгге – фламанський музей під відкритим небом. Наша подорож продовжиться в буржуазному Люксембурзі. А в серці Німеччини нас чекає середньовічний Нюрнберг.",455,,✅ done,"20.05.2026, 13:47:30"
https://davclub.ua/bus-tours-europe/hungary-austria-germany/,Альпійський вікенд,Угорщина – Австрія – Німеччина,1 днів,Найближчий виїзд: 30.05,"Оглядова екскурсія по Будапешту;; Проживання в готелях 3*-3+*, 2-3х місне розміщення;; Харчування – сніданки в готелях;; Проїзд автобусом туристичного класу – наші автобуси нові та найкращі на ринку;; Медичне страхування з покриттям Covid-19;; Супровід керівником групи.","Рекомендовані екскурсії, вхідні квитки в екскурсійні центри, музеї і т.д .;; Проїзд в громадському транспорті та особисті витрати;; Обов язкова доплата за оренду радіоприймача з навушниками для екскурсій – 8€;; Доплата за страховий поліс за віком: 60-70 (69,99) років = 4€ 70-80 (79,99) років = 8€ 80-90 (89,99) років = 15€ За весь період в турі.",Квартал контрастів – 15 EUR Відень – 20 EUR Палацово-паркові комплекси Бельведер і Шенбрунн – 30 EUR Мюнхен – 45 EUR Зальцбург – 20 EUR,Оглядова екскурсія по Будапешту у вартості туру;; 3 країни в одному турі;; Сity tax по готелям – ОПЛАЧУЄ ТУРОПЕРАТОР.,289,,✅ done,"20.05.2026, 13:47:41"
https://davclub.ua/bus-tours-europe/hangury_austria/,Казкова Угорщина + Відень,Україна – Угорщина – Австрія,1 днів,Найближчий виїзд: 25.07,ПОДАРУНОК ВІД ТУРОПЕРАТОРА! Трансфер у всесвітньо-відомі печерні купальні Егерасалок;; Розміщення в готелях 3*-3+*: 2-3 місне розміщення;; Харчування: сніданки;; Проїзд автобусом туристичного класу – наші автобуси нові та найкращі на ринку;; Медичне страхування з покриттям Covid-19;; Супровід керівником групи.,"Вхідній квиток в Егерасалок;; Проїзд в громадському транспорті;; Обов язкова доплата за оренду радіоприймача з навушниками для екскурсій – 6€;; Доплата за страховий поліс за віком: 60-70 (69,99) років = 4€ 70-80 (79,99) років = 8€ 80-90 (89,99) років = 15€ За весь період в турі.",Екскурсія по Будапешту 2в1 Буда + Пешт – 20 EUR Квартал контрастів – 15 EUR Кораблик по Дунаю – 30 EUR Трансфер в Океанарім-тропікаріум – 10 EUR Екскурсія в Відень 3в1: пішохідна екскурсія – 55 EUR,"БЕЗ НІЧНИХ ПЕРЕЇЗДІВ! 3 ночі в готелі в Будапешті! ПОДАРУНОК ВІД ТУРОПЕРАТОРА! Трансфер у всесвітньо-відомі печерні купальні Егерсалок!; Ви зможете побачити перлину Дунаю та столицю Угорщини – Будапешт, прогулятися по широким вулицям імператорського Відня, а також відпочити у термальних джерелах Сечені та Егерсалока.",199,,✅ done,"20.05.2026, 13:47:50"
https://www.accordtour.com/tours/4126,"Тур: Мріючи про нього: Амстердам, Брюссель, Париж, Люксембург, Прага і Берлін! - Німеччина, Бельгія, Нідерланди, Польща, Франція, Чехія. Автобусний тур - Аккорд-тур Львів",,,,,,,,,,✅ done,"20.05.2026, 13:47:58"
