ОСНОВНИЙ НАПРЯМОК,КІЛЬКІСТЬ ТУРІВ,КІЛЬКІСТЬ ТУРІВ,ТУРИ КОНКУРЕНТІВ,СЕРЕДНЯ ЦІНА ПО НАПРЯМКУ,МЕДІАННА ЦІНА ПО НАПРЯМКУ,СЕРЕДНІЙ VALUE SCOR,СЕРЕДНЄ ВІДХИЛЕННЯ ВІД МЕДІАНИ,КРИТИЧНИЙ РОЗРИВ (ЦІНИ), СИЛА СЕЗОННОСТІ,ІНДЕКС МОЖЛИВОСТІ
Австрія,39,3,36,210,199,"0,63","10,85",0,"0,69","7,23"
Албанія,9,0,9,514,523,"0,64","-8,67",1,"1,13","1,21"
Бельгія,4,0,4,376,367,"0,75","9,50",1,"0,70","-0,23"
Болгарія,2,0,2,387,387,"0,70","0,00",1,"0,83","1,17"
Боснія і Герцеговина,1,0,1,183,183,"0,69","0,00",1,"1,24","0,96"
Греція,28,2,26,420,407,"0,54","13,07",0,"1,01","4,30"
Данія,1,0,1,519,519,"0,79","0,00",1,"0,86","0,94"
Естонія,2,0,2,312,312,"0,72","0,00",1,"0,91","1,19"
Іспанія,22,2,20,538,505,"0,64","33,68",0,"0,87","-1,32"
Італія,106,11,95,340,338,"0,63","2,20",0,"0,74","23,71"
Латвія,1,1,0,299,299,"0,80","0,00",0,"2,34","0,59"
Литва,3,0,3,152,160,"0,69","-8,33",1,"0,73","-0,25"
Молдова,2,0,2,207,207,"0,63","0,00",1,"0,74","1,15"
Нідерланди,32,1,31,349,348,"0,70","1,42",0,"0,67","7,87"
Німеччина,18,0,18,238,237,"0,70","0,83",1,"0,69","4,99"
Норвегія,9,1,8,527,538,"0,69","-10,56",0,"0,92","0,32"
Північна Македонія,1,0,1,110,110,"0,71","0,00",1,"1,04","0,95"
Польща,16,4,12,189,147,"0,60","41,84",0,"0,72","-4,98"
Португалія,3,0,3,744,814,"0,74","-69,83",1,"0,80","-12,54"
Румунія,21,3,18,167,160,"0,68","7,02",0,"0,70","3,50"
Словаччина,1,0,1,204,204,"0,80","0,00",1,"3,46","1,21"
Словенія,1,0,1,135,135,"0,65","0,00",1,"0,00","0,83"
Туреччина,1,1,0,184,184,"0,68","0,00",0,"0,77","0,41"
Угорщина,12,2,10,162,159,"0,63","3,17",0,"0,74","2,27"
Фінляндія,2,0,2,603,603,"0,69","0,00",1,"3,46","1,43"
Франція,71,3,68,366,352,"0,70","14,03",0,"0,68","14,60"
Хорватія,9,0,9,379,365,"0,55","14,61",1,"1,20","0,01"
Чехія,22,3,19,204,199,"0,68","5,48",0,"0,74","4,06"
Чорногорія,13,1,12,364,369,"0,63","-4,85",0,"1,16","2,47"
Швейцарія,29,1,28,333,334,"0,74","-0,10",0,"0,69","7,40"
Швеція,8,0,8,336,290,"0,58","46,00",1,"0,94","-6,54"
