"КРАЇНИ, ЯКІ КОНКУРЕНТИ ПРОДАЮТЬ НАЙАКТИВНІШЕ",,,,,,
ОСНОВНИЙ НАПРЯМОК,ТУРІВ,ВИЇЗДІВ,АКТИВНИХ МІСЯЦІВ,СЕРЕДНЯ ЦІНА,МЕДІАННА ЦІНА,ЧАСТКА ВИЇЗДІВ
нідерланди,31,0,0,"350,85","347,5",0
франція,68,0,0,"363,99",352,0
бельгія,4,0,0,376,"366,5",0
чехія,19,0,0,"209,03",199,0
італія,95,0,0,"345,22","337,75",0
швейцарія,28,0,0,"336,59","333,5",0
німеччина,18,0,0,"238,08","237,25",0
австрія,36,0,0,"213,53",199,0
польща,13,0,0,"206,54",147,0
іспанія,20,0,0,"543,1","504,5",0
словаччина,1,0,0,204,204,0
португалія,3,0,0,"744,17",814,0
греція,26,0,0,"414,81","406,5",0
норвегія,8,0,0,"519,75",538,0
румунія,18,0,0,"173,36",160,0
,,,,,,
,,,,,,
МІСЯЦІ З НАЙБІЛЬШИМ ПОТОКОМ РЕЙСІВ,,,,,,
МІСЯЦЬ,EUROTRIPS,COMPETITORS,РАЗОМ,,,
СІЧ,0,0,0,,,
ЛЮТ,0,0,0,,,
БЕР,0,0,0,,,
КВІ,10,550,560,,,
ТРА,16,1962,1978,,,
ЧЕР,40,2163,2203,,,
ЛИП,45,2145,2190,,,
СЕР,44,2261,2305,,,
ВЕР,41,1783,1824,,,
ЖОВ,37,1942,1979,,,
ЛИС,18,1224,1242,,,
ГРУ,27,1268,1295,,,
,,,,,,
,,,,,,
EARLY BOOKING,,,,,,
ТУРОПЕРАТОР,ТУР,НАПРЯМОК,ЗНИЖКА %,,,
,,,,,,
,,,,,,
ЗМІНА ЦІН / ВАРІАЦІЯ ЦІНИ,,,,,,
ТУР,ЗМІН ЦІНИ,МІН,МАКС,% РІЗНИЦЯ,,
,,,,,,
,,,,,,
НІЧНІ ПЕРЕЇЗДИ,,,,,,
НАПРЯМОК,EUROTRIPS,COMPETITORS,РІЗНИЦЯ,ВИСНОВОК,,
італія,"1,64","0,94","0,7",ГІРШЕ У EUROTRIPS,,
нідерланди,2,"0,81","1,19",ГІРШЕ У EUROTRIPS,,
латвія,0,0,0,ГІРШЕ У EUROTRIPS,,
австрія,"1,33","0,89","0,44",ГІРШЕ У EUROTRIPS,,
угорщина,"1,5",1,"0,5",ГІРШЕ У EUROTRIPS,,
румунія,"1,67","0,83","0,83",ГІРШЕ У EUROTRIPS,,
чехія,1,"0,79","0,21",ГІРШЕ У EUROTRIPS,,
іспанія,2,"1,4","0,6",ГІРШЕ У EUROTRIPS,,
польща,0,"0,54","-0,54",КРАЩЕ У EUROTRIPS,,
франція,"1,67","1,07","0,59",ГІРШЕ У EUROTRIPS,,
норвегія,2,"0,5","1,5",ГІРШЕ У EUROTRIPS,,
греція,2,"1,69","0,31",ГІРШЕ У EUROTRIPS,,
туреччина,2,0,2,ГІРШЕ У EUROTRIPS,,
чорногорія,2,"1,45","0,55",ГІРШЕ У EUROTRIPS,,
швейцарія,1,"0,32","0,68",ГІРШЕ У EUROTRIPS,,
бельгія,0,"0,5","-0,5",КРАЩЕ У EUROTRIPS,,
німеччина,0,"0,78","-0,78",КРАЩЕ У EUROTRIPS,,
словаччина,0,0,0,ГІРШЕ У EUROTRIPS,,
португалія,0,1,-1,КРАЩЕ У EUROTRIPS,,
данія,0,0,0,ГІРШЕ У EUROTRIPS,,
естонія,0,0,0,ГІРШЕ У EUROTRIPS,,
молдова,0,1,-1,КРАЩЕ У EUROTRIPS,,
болгарія,0,1,-1,КРАЩЕ У EUROTRIPS,,
фінляндія,0,"0,5","-0,5",КРАЩЕ У EUROTRIPS,,
албанія,0,"1,11","-1,11",КРАЩЕ У EUROTRIPS,,
хорватія,0,"1,33","-1,33",КРАЩЕ У EUROTRIPS,,
швеція,0,1,-1,КРАЩЕ У EUROTRIPS,,
литва,0,"1,67","-1,67",КРАЩЕ У EUROTRIPS,,
північна македонія,0,2,-2,КРАЩЕ У EUROTRIPS,,
боснія і герцеговина,0,2,-2,КРАЩЕ У EUROTRIPS,,
словенія,0,2,-2,КРАЩЕ У EUROTRIPS,,
,,,,,,
,,,,,,
ПОЗИЦІОНУВАННЯ ЦІН (EUROTRIPS VS COMPETITORS),,,,,,
НАПРЯМОК,РІЗНИЦЯ,ВИСНОВОК,,,,
греція,277,ДОРОЖЧЕ,,,,
хорватія,225,ДОРОЖЧЕ,,,,
франція,215,ДОРОЖЧЕ,,,,
норвегія,204,ДОРОЖЧЕ,,,,
португалія,199,ДОРОЖЧЕ,,,,
албанія,199,ДОРОЖЧЕ,,,,
швеція,171,ДОРОЖЧЕ,,,,
італія,155,ДОРОЖЧЕ,,,,
чорногорія,153,ДОРОЖЧЕ,,,,
іспанія,147,ДОРОЖЧЕ,,,,
німеччина,119,ДОРОЖЧЕ,,,,
нідерланди,94,ДОРОЖЧЕ,,,,
чехія,81,ДОРОЖЧЕ,,,,
австрія,71,ДОРОЖЧЕ,,,,
фінляндія,65,ДОРОЖЧЕ,,,,
