URL туру,Назва туру,День №,Місто / Локація,Факультативи (назва + ціна),Опис дня,Симв.
https://www.i-travel.com.ua/?p=48199,Автобусний тур «Неповторна Баварія + Прага та Відень» зі Львова,1,Виїзд зі Львова,,"Виїзд зі Львова. Перетин українсько-польського кордону. Зустріч туристів з представником компанії біля автобуса на залізничному вокзалі. Посадка в автобус. Відправлення зі Львова. Проходження кордону. За наявності часу пропонуємо відвідати чудовий Краків. Оглядова екскурсія “Королівське місто” (20 EUR) . Тут чудово поєднуються дивовижно гармонійна архітектура та королівський шик! Ми побуваємо на площі Ринок, побачимо Палац Єпископів, Королівський замок, пройдемось Королівським трактом і по Старому місту! Екскурсія Вавельский замок (20 EUR + вх.квиток) . Головна історична пам’ятка і символ не т",600
https://www.i-travel.com.ua/?p=48199,Автобусний тур «Неповторна Баварія + Прага та Відень» зі Львова,2,Прибуття до Праги,,"Прибуття до Праги. Переміщення містом на громадському транспорті. Оглядова екскурсія «Велична столиця» (у вартості туру). Неспішна прогулянка історичним серцем Праги: від Порохової вежі через Вацлавську площу та квартали Старого Міста, зупинка біля відомої бібліотеки і завершення маршруту на легендарному Карловому мості. Ключові символи міста, атмосфера старовини та відчуття справжньої Праги. Всім бажаючим пропонуємо прогулянку на кораблику Влтавою з обідом (40 EUR) . Екскурсія «Вишеград» (20 EUR). Вишеград — це місце, де починалась історія Праги. Легендарна фортеця на скелі над Влтавою подару",600
https://www.i-travel.com.ua/?p=48199,Автобусний тур «Неповторна Баварія + Прага та Відень» зі Львова,3,Сніданок,,"Сніданок. Виселення з готелю. Переїзд в Мюнхен. Оглядова екскурсія Мюнхеном «Столиця Баварії» (у вартості туру). Нас чекає прогулянка Старим містом, під час якої ми дізнаємося, як виникло місто і звідки воно отримало свою назву, пройдемо від воріт до воріт цього гостинного міста, дізнаємося про баварські традиції та сучасне життя Мюнхена. Запрошуємо на екскурсію “Неповторна Баварія” – палац Ліндерхоф, селище Обераммергау, замок Нойшванштайн (60 євро) . Починаємо екскурсію з відвідування палацу Ліндерхоф (вхідні квитки у палац оплачуються додатково – 10,5 євро; вхід у парк вільний) – єдиного із",600
https://www.i-travel.com.ua/?p=48199,Автобусний тур «Неповторна Баварія + Прага та Відень» зі Львова,4,Сніданок,,"Сніданок. Виселення з готелю. Переїзд в Відень. Пересування містом здійснюється на громадському транспорті. Відень — одна з найчарівніших столиць Європи, яка вражає своєю величчю з перших секунд. Розпочинаємо оглядову екскурсію Віднем (у вартості туру) Легка прогулянка елегантним Віднем: площа Марії Терезії, ансамбль королівського палацу, атмосферні вулиці Старого міста з їхньою вишуканою архітектурою та історичним шармом. Завершимо маршрут біля Оперного театру — символу музичної столиці Європи. Класичний Відень, стримана розкіш і відчуття імперської величі. Далі побачимо справжні «Скарби Габс",600
https://www.i-travel.com.ua/?p=48199,Автобусний тур «Неповторна Баварія + Прага та Відень» зі Львова,5,Переїзд територією Польщі,,"Переїзд територією Польщі, проходження польсько-українського кордону. Прибуття у Львів. ГОТЕЛІ Заселення не раніше 14:00. Виселення не пізніше 12:00. Якщо ви помітили несправності у номері, скажіть про це супроводжуючій або персоналу готелю. Готелі за програмою можуть бути замінені на альтернативні. ЕКСКУРСІЇ Факультативні екскурсії можна придбати при бронюванні туру або безпосередньо під час поїздки. Факультативні екскурсії відбуваються при наборі групи від 15 осіб. Вартість факультативних екскурсій не підлягає поверненню якщо турист на ній не з’явився. Вхідні квитки оплачуються додатково. Ва",600
https://www.i-travel.com.ua/?p=48528,"Автобусний тур «VIVA Італія! Венеція, Мілан, озера Гарда та Комо» зі Львова",1,Виїзд зі Львова,,"Виїзд зі Львова. Перетин українсько-угорського кордону. За наявності часу, подорож до Будапешту. Запрошуємо на оглядову екскурсію «Перлина Дунаю» (15 EUR) в Будапешт, що приголомшує своєю величчю! Наше знайомство з містом ми почнемо зі знаменитої Площі Героїв, потім пройдемося парадним проспектом Андраші, який приваблює туристів своєю елегантністю та витонченістю, прогуляємось вулицею Ваци, де колись дуже любили проводити весь свій вільний час місцеві, та вийдемо на набережну Корзо , з якої відкривається дивовижний краєвид на Дунай! Вільний час, рекомендуємо – прогулянку на кораблику Дунаєм (3",600
https://www.i-travel.com.ua/?p=48528,"Автобусний тур «VIVA Італія! Венеція, Мілан, озера Гарда та Комо» зі Львова",2,Переїзд до Венеції,,"Переїзд до Венеції. Проїзд до центральної площі в обидві сторони на громадському транспорті (30 EUR) . Оглядова екскурсія «Заручена з морем – Венеція!» (у вартості туру) . Місто нагадує декорації для романтичних фільмів, а кожна вуличка, кожен будинок зберігає велику історію минулих століть. Прогулянка на справжній венеціанській гондолі (35 EUR) . У місті, де немає доріг, панують човни. Спробуйте і відчуйте, як ваші турботи зникають, коли гондольєр у смугастій сорочці провезе вас лабіринтом водних шляхів, а потім з’єднає з центральним Гранд-каналом. Прогулянка на катері Гранд каналом (35 EUR) ",600
https://www.i-travel.com.ua/?p=48528,"Автобусний тур «VIVA Італія! Венеція, Мілан, озера Гарда та Комо» зі Львова",3,Сніданок,,"Сніданок. Виселення з готелю. Оглядова екскурсія у Верону (у вартості туру) – місті з багатовіковою історією, оповите безліччю таємниць та загадок. А також одного з найромантичніших міст світу, прославлене Шекспіром, Петраркою, Гете та Байроном. У знаменитому дворі будинку Джульєтти, під її балконом, закохані присягаються один одному у вічній вірності. На вас чекають історії з життя Данте, відомих веронських сімей Монтеккі та Капулетті, непрості долі Синьйорів делла Скала та їхніх нащадків, Моцарта та Сальєрі. Сьогодні на нас чекає поїздка до найбільшого італійського озера – Гарда. Прогуляємос",600
https://www.i-travel.com.ua/?p=48528,"Автобусний тур «VIVA Італія! Венеція, Мілан, озера Гарда та Комо» зі Львова",4,Сніданок,,"Сніданок. Виселення з готелю. Запрошуємо на оглядову екскурсію “Мілан – давній і сучасний” (у вартості туру) . Ми побачимо Дуомо – відомий символ міста готичний собор пізнього Середньовіччя, розкішну галерею пасаж Вітторіо Емануеле, площу Ла Скала і сам театр, побудований на гроші міланських меломанів, Замок Сфорцеско, і звичайно найвідоміший шопінг в столиці італійської моди. За бажанням запрошуємо на екскурсію в собор Дуомо або народження Діви Марії (25 EUR) . Відвідаємо з екскурсією один з найгарніших готичних храмів Європи, і один з найбільших у світі. Екскурсія на озеро Комо (40 EUR, поїз",600
https://www.i-travel.com.ua/?p=48528,"Автобусний тур «VIVA Італія! Венеція, Мілан, озера Гарда та Комо» зі Львова",5,Переїзд територією Угорщини,,"Переїзд територією Угорщини. Проходження угорсько-українського кордону. Прибуття у Львів. Готелі Заселення не раніше 14:00. Виселення не пізніше 12:00. Якщо ви помітили несправності у номері, скажіть про це супроводжуючій або персоналу готелю. Готелі за програмою можуть бути замінені на альтернативні. Екскурсії Факультативні екскурсії можна придбати при бронюванні туру або безпосередньо під час поїздки. Факультативні екскурсії відбуваються при наборі групи від 15 осіб. Вартість факультативних екскурсій не підлягає поверненню якщо турист на ній не з явився. Вхідні квитки оплачуються додатково. ",600
