ID ТУРУ,НАЗВА ТУРУ,ДЖЕРЕЛО,ТУРОПЕРАТОР,ОСНОВНИЙ НАПРЯМОК,СЕРЕДНЯ ЦІНА,ДНІ,НІЧНІ ПЕРЕЇЗДИ,ЕКСКУРСІЇ,ЦІНА ЗА ДЕНЬ,СЕРЕДНЯ ЦІНА ПО НАПРЯМКУ,МЕДІАННА ЦІНА ПО НАПРЯМКУ,ВІДХИЛЕННЯ ВІД СЕРЕДНЬОЇ ЦІНИ,ВІДХИЛЕННЯ ВІД МЕДІАННОЇ ЦІНИ,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ПОЗИЦІЯ ЗА ЦІНОЮ В НАПРЯМКУ,РІЗНИЦЯ ДО МІНІМАЛЬНОЇ ЦІНИ,ЗАГАЛЬНИЙ VALUE SCORE,ОЦІНКА ЦІНИ,ОЦІНКА ЕКСКУРСІЙ,ОЦІНКА КОМФОРТУ,СЕЗОННІСТЬ,ШТРАФ ЗА НІЧНІ ПЕРЕЇЗДИ,ІНТЕНСИВНІСТЬ ПОДОРОЖІ,СКЛАДНІСТЬ МАРШРУТУ,РІЗНОМАНІТНІСТЬ КРАЇН,КІЛЬКІСТЬ ЗУПИНОК ПО МАРШРУТУ,КІЛЬКІСТЬ МІСТ У МАРШРУТІ,КІЛЬКІСТЬ КРАЇН У МАРШРУТІ,КІЛЬКІСТЬ ІНШИХ ТОЧОК,ЩІЛЬНІСТЬ МІСТ,ЩІЛЬНІСТЬ КРАЇН,ЧАСТКА ІНШИХ ТОЧОК,ЦІННІСТЬ МАРШРУТУ,ЕФЕКТИВНІСТЬ МАРШРУТУ,ПЕРЕВАНТАЖЕНИЙ МАРШРУТ,ПОРОЖНІЙ МАРШРУТ
EUR-1,Адріатичне море Італії (3 ночі),EUROTRIPS,Eurotrips,Італія,244,6,2,0,41,340,338,-96,-94,"-0,28",28,105,"0,5260","0,72",,"0,67",СЕЗОННИЙ,40,"0,83","0,50","0,33",5,3,2,2,"0,50","0,33","0,40","2,30","0,38",0,0
EUR-2,Вікенд у Амстердамі,EUROTRIPS,Eurotrips,Нідерланди,289,6,2,3,48,349,348,-60,-59,"-0,17",8,94,"0,6544","0,83",,"0,67",ПІВРІЧНИЙ,40,"1,33","0,83","0,67",8,5,4,1,"0,83","0,67","0,13","3,70","0,62",0,0
EUR-3,Балтійський круїз БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Латвія,299,6,0,3,50,299,299,0,0,"0,00",1,0,"0,7983","1,00",,"1,00",СЕЗОННИЙ,0,"0,83","0,83","0,67",5,5,4,0,"0,83","0,67","0,00","3,50","0,58",0,0
EUR-4,Венеція без нічних,EUROTRIPS,Eurotrips,Італія,309,5,0,3,62,340,338,-31,-29,"-0,09",46,170,"0,7598","0,91",,"1,00",ПІВРІЧНИЙ,0,"0,80","0,40","0,60",4,2,3,0,"0,40","0,60","0,00","2,10","0,42",0,0
EUR-5,Вікенд у Відні + Зальцбург,EUROTRIPS,Eurotrips,Австрія,229,5,1,3,46,210,199,19,30,"0,15",24,134,"0,7262","0,85",,"0,80",ПІВРІЧНИЙ,20,"1,20","1,00","0,80",6,5,4,0,"1,00","0,80","0,00","3,50","0,70",0,0
EUR-6,Будапешт – Відень,EUROTRIPS,Eurotrips,Угорщина,149,4,2,2,37,162,159,-13,-10,"-0,06",6,60,"0,7182","0,94",,"0,50",СЕЗОННИЙ,40,"0,50","0,50","0,50",2,2,2,0,"0,50","0,50","0,00","1,60","0,40",0,0
EUR-7,Вікенд у Трансильванії + Трансфагараш,EUROTRIPS,Eurotrips,Румунія,99,4,2,1,25,167,160,-68,-61,"-0,38",1,0,"0,5670","0,62",,"0,50",СЕЗОННИЙ,40,"0,50","0,25","0,25",2,1,1,1,"0,25","0,25","0,50","1,00","0,25",0,0
EUR-8,Вікенд у Венеції,EUROTRIPS,Eurotrips,Італія,149,4,2,0,37,340,338,-191,-189,"-0,56",3,10,"0,4204","0,44",,"0,50",ПІВРІЧНИЙ,40,"0,75","0,50","0,50",3,2,2,0,"0,50","0,50","0,00","1,60","0,40",0,0
EUR-9,Вихідні у Празі + Дрезден,EUROTRIPS,Eurotrips,Чехія,129,4,2,1,32,204,199,-75,-70,"-0,35",3,34,"0,5635","0,65",,"0,50",ПІВРІЧНИЙ,40,"0,75","0,50","0,50",3,2,2,0,"0,50","0,50","0,00","1,60","0,40",0,0
EUR-10,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Чехія,199,4,0,1,50,204,199,-5,0,"0,00",11,104,"0,7485","1,00",,"1,00",ПІВРІЧНИЙ,0,"1,00","0,50","0,75",4,2,3,1,"0,50","0,75","0,25","2,30","0,58",0,0
EUR-11,Вікенд у Трансильванії + Бухарест,EUROTRIPS,Eurotrips,Румунія,159,4,1,1,40,167,160,-8,-1,"-0,01",10,60,"0,7264","0,99",,"0,75",СЕЗОННИЙ,20,"1,25","0,50","0,25",5,2,1,3,"0,50","0,25","0,60","1,70","0,43",0,0
EUR-12,Італійські різдвяні ярмарки,EUROTRIPS,Eurotrips,Італія,229,5,2,2,46,340,338,-111,-109,"-0,32",22,90,"0,5777","0,68",,"0,60",СЕЗОННИЙ,40,"0,60","0,60","0,20",3,3,1,0,"0,60","0,20","0,00","1,40","0,28",0,0
