🌍  МУЛЬТИКРАЇННІ ТУРИ — Класифікація та окремий аналіз,,,,,,,,,,
"Класифікація базована на колонці ""ВСІ НАПРЯМКИ"" з RAW_Eurotrips та RAW_Competitors",,,,,,,,,,
🔵  EUROTRIPS — Мультикраїнні тури,,,,,,,,,,
ID ТУРУ,НАЗВА ТУРУ,ВСІ НАПРЯМКИ,К-ТЬ КРАЇН,КЛАС ТУРУ,ЦІНА EUR,ВИЇЗДІВ/РІК,ДНІ,НІЧНИХ ПЕРЕЇЗДІВ,ЦІНА/ДЕНЬ,VALUE SCORE
EUR-31,Скандинавія + Язик Троля,"Норвегія,  Данія, Швеція, Латвія",4,4️⃣  МУЛЬТИКРАЇННИЙ (4 країни),589,2,10,0,"58,9",0.657
EUR-24,Париж + Нормандія,"Франція, Чехія, Австрія, Польща",3,3️⃣  ТРИКРАЇННИЙ (3 країни),389,14,7,0,"55,6",0.625
EUR-39,Швейцарія,"Швейцарія, Австрія, Чехія",3,3️⃣  ТРИКРАЇННИЙ (3 країни),244,12,6,0,"40,7",0.692
EUR-2,Вікенд у Амстердамі,"Нідерланди, Німеччина, Чехія, Польща",3,3️⃣  ТРИКРАЇННИЙ (3 країни),289,7,6,0,"48,2",0.639
EUR-28,Прага-Відень-Будапешт,"Чехія, Польща, Словаччина, Угорщина",3,3️⃣  ТРИКРАЇННИЙ (3 країни),199,7,4,0,"49,8",0.837
EUR-16,Найкращі пляжі Європи,"Франція, Італія, Словенія",3,3️⃣  ТРИКРАЇННИЙ (3 країни),399,4,7,0,57,0.593
EUR-25,Мон-Сен-Мішель – Париж – Брюссель,"Франція, Бельгія, Нідерланди",3,3️⃣  ТРИКРАЇННИЙ (3 країни),449,4,9,0,"49,9",0.619
EUR-3,Балтійський круїз БЕЗ НІЧНИХ,"Латвія, Естонія, Швеція",3,3️⃣  ТРИКРАЇННИЙ (3 країни),299,2,6,0,"49,8",0.777
EUR-13,Канікули в Барселоні,"Іспанія, Італія, Франція",3,3️⃣  ТРИКРАЇННИЙ (3 країни),399,1,8,0,"49,9",0.538
EUR-36,Вікенд у Будапешті + Відень,"Австрія, Угорщина",2,2️⃣  ДВОКРАЇННИЙ (2 країни),109,29,4,0,"27,2",0.522
EUR-21,Вікенд у Будапешті + Відень,"Угорщина, Австрія",2,2️⃣  ДВОКРАЇННИЙ (2 країни),109,28,4,0,"27,2",0.617
EUR-29,Римські канікули,"Італія, Угорщина",2,2️⃣  ДВОКРАЇННИЙ (2 країни),279,8,6,0,"46,5",0.604
EUR-9,Вихідні у Празі + Дрезден,"Чехія, Німеччина",2,2️⃣  ДВОКРАЇННИЙ (2 країни),129,6,4,0,"32,2",0.550
EUR-32,Сонце Море Барселона,"Іспанія, Італія",2,2️⃣  ДВОКРАЇННИЙ (2 країни),579,6,10,0,"57,9",0.518
EUR-10,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,"Чехія, Німеччина",2,2️⃣  ДВОКРАЇННИЙ (2 країни),199,5,4,0,"49,8",0.727
EUR-6,Будапешт – Відень,"Угорщина, Австрія",2,2️⃣  ДВОКРАЇННИЙ (2 країни),149,3,4,0,"37,2",0.702
