ТОП НАПРЯМКИ,,,,,,
НАПРЯМОК,ТИП РОЗРИВУ,ІНДЕКС МОЖЛИВОСТІ,РІВЕНЬ ПОКРИТТЯ,ЧАСТКА ВИЇЗДІВ,СЕЗОННИЙ РОЗРИВ,РІЗНИЦЯ СЕРЕДНІХ ЦІН
Німеччина,КРИТИЧНИЙ РОЗРИВ,"0,7878947368",0,1,1,1
Албанія,КРИТИЧНИЙ РОЗРИВ,"0,7689473684",0,1,1,1
Хорватія,КРИТИЧНИЙ РОЗРИВ,"0,7689473684",0,1,1,1
Швеція,КРИТИЧНИЙ РОЗРИВ,"0,7668421053",0,1,1,1
Бельгія,КРИТИЧНИЙ РОЗРИВ,"0,7584210526",0,1,1,1
Литва,КРИТИЧНИЙ РОЗРИВ,"0,7563157895",0,1,1,1
Португалія,КРИТИЧНИЙ РОЗРИВ,"0,7563157895",0,1,1,1
Болгарія,КРИТИЧНИЙ РОЗРИВ,"0,7542105263",0,1,1,1
Естонія,КРИТИЧНИЙ РОЗРИВ,"0,7542105263",0,1,1,1
Молдова,КРИТИЧНИЙ РОЗРИВ,"0,7542105263",0,1,1,1
Фінляндія,КРИТИЧНИЙ РОЗРИВ,"0,7542105263",0,1,1,1
Боснія і Герцеговина,КРИТИЧНИЙ РОЗРИВ,"0,7521052632",0,1,1,1
Данія,КРИТИЧНИЙ РОЗРИВ,"0,7521052632",0,1,1,1
Північна Македонія,КРИТИЧНИЙ РОЗРИВ,"0,7521052632",0,1,1,1
Словаччина,КРИТИЧНИЙ РОЗРИВ,"0,7521052632",0,1,1,1
,,,,,,
,,,,,,
ТОП КОНКУРЕНТИ,,,,,,
ОПЕРАТОР,ТУРІВ,СЕРЕДНЯ ЦІНА,VALUE SCORE,ВІДХИЛЕННЯ ВІД МЕДІАНИ,,
Accord tour,183,"345,0437158470","0,695950896","0,02064713267",,
Adriatic,136,"353,6250000000","0,6617189226","0,0764877869",,
ITravel,54,"284,5185185185","0,6367090646","0,01345426472",,
Tango Travel,43,"239,3023255814","0,5986428834","-0,1498541198",,
Travel Room,13,"383,8461538462","0,6432148323","0,2062638654",,
DavClub,11,"374,1363636364","0,5333121987","0,2380665218",,
Rich Tour,10,"412,4500000000","0,4639137748","0,5044790727",,
,,,,,,
,,,,,,
ТУРИ ДЛЯ ПІДСИЛЕННЯ / ПЕРЕГЛЯДУ,,,,,,
ID,НАПРЯМОК,ЦІНА,VALUE,ВІДХИЛЕННЯ,ДІЯ,
EUR-32,Угорщина,"579,0000000000","-0,07663329592","1,533916849",,
EUR-31,Польща,"589,0000000000","-0,004786232443","2,454545455",,
EUR-38,Угорщина,"404,0000000000","0,03974261759","0,7680525164",,
EUR-18,Італія,"549,0000000000","0,06338040519","0,601750547",,
EUR-8,Італія,"149,0000000000","0,07057700498","-0,5652808169",,
EUR-33,Греція,"594,0000000000","0,07722487139","0,5076142132",,
EUR-1,Угорщина,"244,0000000000","0,1447429781","0,06783369803",,
EUR-34,Греція,"369,0000000000","0,1459022877","-0,06345177665",,
EUR-13,Італія,"399,0000000000","0,1731429572","0,1641137856",,
EUR-7,Румунія,"99,0000000000","0,1883933081","-0,38125",,
EUR-35,Туреччина,"184,0000000000","0,2254347826",0,,
EUR-6,Угорщина,"149,0000000000","0,2781809437","-0,3479212254",,
EUR-14,Польща,"129,0000000000","0,3848075655","-0,2434017595",,
EUR-19,Польща,"129,0000000000","0,3848075655","-0,2434017595",,
EUR-30,Польща,"129,0000000000","0,3848075655","-0,2434017595",,
,,,,,,
,,,,,,
НАПРЯМКИ ДЛЯ ПІДНЯТТЯ ЦІНИ,,,,,,
НАПРЯМОК,РІЗНИЦЯ,ВИСНОВОК,,,,
греція,277,ДОРОЖЧЕ,,,,
хорватія,225,ДОРОЖЧЕ,,,,
франція,215,ДОРОЖЧЕ,,,,
норвегія,204,ДОРОЖЧЕ,,,,
португалія,199,ДОРОЖЧЕ,,,,
албанія,199,ДОРОЖЧЕ,,,,
швеція,171,ДОРОЖЧЕ,,,,
італія,155,ДОРОЖЧЕ,,,,
чорногорія,153,ДОРОЖЧЕ,,,,
іспанія,147,ДОРОЖЧЕ,,,,
німеччина,119,ДОРОЖЧЕ,,,,
нідерланди,94,ДОРОЖЧЕ,,,,
чехія,81,ДОРОЖЧЕ,,,,
австрія,71,ДОРОЖЧЕ,,,,
фінляндія,65,ДОРОЖЧЕ,,,,
