ID ТУРУ,НАЗВА ТУРУ,ОСНОВНИЙ НАПРЯМОК,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ЗАГАЛЬНИЙ VALUE SCORE,ДЖЕРЕЛО,VALUE SCORE EUROTRIPS,VALUE SCORE COMPETITORS,,,X_line,Y_line,,X_line,Y_line
EUR-1,Адріатичне море Італії (3 ночі),Італія,"-0,28","0,53",EUROTRIPS,"0,53",,"0,03",,"0,03","-0,89",,"-0,59","0,66"
EUR-2,Вікенд у Амстердамі,Нідерланди,"-0,17","0,65",EUROTRIPS,"0,65",,"0,66",,"0,03","0,87",,"3,66","0,66"
EUR-3,Балтійський круїз БЕЗ НІЧНИХ,Латвія,"0,00","0,80",EUROTRIPS,"0,80",,,,,,,,
EUR-4,Венеція без нічних,Італія,"-0,09","0,76",EUROTRIPS,"0,76",,,,,,,,
EUR-5,Вікенд у Відні + Зальцбург,Австрія,"0,15","0,73",EUROTRIPS,"0,73",,,,,,,,
EUR-6,Будапешт – Відень,Угорщина,"-0,06","0,72",EUROTRIPS,"0,72",,,,,,,,
EUR-7,Вікенд у Трансильванії + Трансфагараш,Румунія,"-0,38","0,57",EUROTRIPS,"0,57",,,,,,,,
EUR-8,Вікенд у Венеції,Італія,"-0,56","0,42",EUROTRIPS,"0,42",,,,,,,,
EUR-9,Вихідні у Празі + Дрезден,Чехія,"-0,35","0,56",EUROTRIPS,"0,56",,,,,,,,
EUR-10,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,Чехія,"0,00","0,75",EUROTRIPS,"0,75",,,,,,,,
EUR-11,Вікенд у Трансильванії + Бухарест,Румунія,"-0,01","0,73",EUROTRIPS,"0,73",,,,,,,,
EUR-12,Італійські різдвяні ярмарки,Італія,"-0,32","0,58",EUROTRIPS,"0,58",,,,,,,,
EUR-13,Канікули в Барселоні,Іспанія,"-0,21","0,56",EUROTRIPS,"0,56",,,,,,,,
EUR-14,Канікули в Енерджиландії + Краків БЕЗ НІЧНИХ,Польща,"-0,12","0,73",EUROTRIPS,"0,73",,,,,,,,
EUR-15,Краків Закопане Морське Око БЕЗ НІЧНИХ,Польща,"-0,33","0,67",EUROTRIPS,"0,67",,,,,,,,
EUR-16,Найкращі пляжі Європи,Франція,"0,13","0,62",EUROTRIPS,"0,62",,,,,,,,
EUR-17,Мілан — Комо — Альпи,Італія,"-0,35","0,64",EUROTRIPS,"0,64",,,,,,,,
EUR-18,Морська Італія (7 ночей на Лідо-ді-Єзоло),Італія,"0,63","0,36",EUROTRIPS,"0,36",,,,,,,,
EUR-19,Новий рік у Кракові БЕЗ НІЧНИХ,Польща,"-0,12","0,73",EUROTRIPS,"0,73",,,,,,,,
EUR-20,Новий рік у Мілані,Італія,"-0,32","0,58",EUROTRIPS,"0,58",,,,,,,,
EUR-21,Вікенд у Будапешті + Відень,Угорщина,"-0,32","0,63",EUROTRIPS,"0,63",,,,,,,,
EUR-22,Новий рік у Венеції БЕЗ НІЧНИХ,Італія,"-0,09","0,76",EUROTRIPS,"0,76",,,,,,,,
EUR-23,Новий рік у Римі,Італія,"-0,03","0,63",EUROTRIPS,"0,63",,,,,,,,
EUR-24,Париж + Нормандія,Франція,"0,11","0,65",EUROTRIPS,"0,65",,,,,,,,
EUR-25,Мон-Сен-Мішель – Париж – Брюссель,Франція,"0,28","0,64",EUROTRIPS,"0,64",,,,,,,,
EUR-26,Південна Італія,Італія,"0,17","0,63",EUROTRIPS,"0,63",,,,,,,,
EUR-27,Пікнік в Альпах + Гальштат,Австрія,"-0,20","0,65",EUROTRIPS,"0,65",,,,,,,,
EUR-28,Прага-Відень-Будапешт,Чехія,"0,00","0,86",EUROTRIPS,"0,86",,,,,,,,
EUR-29,Римські канікули,Італія,"-0,17","0,62",EUROTRIPS,"0,62",,,,,,,,
EUR-30,Різдвяний вікенд у Кракові БЕЗ НІЧНИХ,Польща,"-0,12","0,73",EUROTRIPS,"0,73",,,,,,,,
EUR-31,Скандинавія + Язик Троля,Норвегія,"0,09","0,68",EUROTRIPS,"0,68",,,,,,,,
EUR-32,Сонце Море Барселона,Іспанія,"0,15","0,54",EUROTRIPS,"0,54",,,,,,,,
EUR-33,Сонячна Греція: Simeon,Греція,"0,46","0,41",EUROTRIPS,"0,41",,,,,,,,
EUR-34,Сонячна Греція: Asteris Village,Греція,"-0,09","0,61",EUROTRIPS,"0,61",,,,,,,,
EUR-35,Стамбул,Туреччина,"0,00","0,68",EUROTRIPS,"0,68",,,,,,,,
EUR-36,Вікенд у Будапешті + Відень,Австрія,"-0,45","0,53",EUROTRIPS,"0,53",,,,,,,,
EUR-37,Хелловін у Трансильванії + Бухарест,Румунія,"-0,19","0,63",EUROTRIPS,"0,63",,,,,,,,
EUR-38,Чорногорія: де море торкається гір,Чорногорія,"0,09","0,60",EUROTRIPS,"0,60",,,,,,,,
EUR-39,Швейцарія,Швейцарія,"-0,27","0,70",EUROTRIPS,"0,70",,,,,,,,
ACC-1,Амурний тиждень в Амстердамі і Парижі!!!,Нідерланди,"0,10","0,79",COMPETITOR,,"0,79",,,,,,,
ACC-2,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",Франція,"0,40","0,56",COMPETITOR,,"0,56",,,,,,,
ACC-3,Мільйон посмішок... або 4 дні в Амстердамі!,Нідерланди,"0,35","0,64",COMPETITOR,,"0,64",,,,,,,
ACC-4,"Вояж в Париж  Нормандія, Замки Луари + Люксембург",Франція,"0,16","0,81",COMPETITOR,,"0,81",,,,,,,
ACC-5,"Париж, квіти..... і Компліменти!  Амстердам, Брюссель, Париж, Люксембург, Кельн",Франція,"0,65","0,58",COMPETITOR,,"0,58",,,,,,,
ACC-6,Три дні в Парижі + Діснейленд,Франція,"-0,20","0,70",COMPETITOR,,"0,70",,,,,,,
