ID ТУРУ,ВСІ НАПРЯМКИ,ТУРОПЕРАТОР,ТИП ПОДОРОЖІ,ЦІНОВА КАТЕГОРІЯ,НАЗВА ТУРУ,МАРШРУТ,МІНІМАЛЬНА ЦІНА,МАКСИМАЛЬНА ЦІНА,СЕРЕДНЯ ЦІНА,ДНІ,НІЧНИХ ПЕРЕЇЗДІВ,ЕКСКУРСІЇ,КІЛЬКІСТЬ ТУРІВ,НОЧЕЙ В ГОТЕЛЯХ,СІЧЕНЬ,ЛЮТИЙ,БЕРЕЗЕНЬ,КВІТЕНЬ,ТРАВЕНЬ,ЧЕРВЕНЬ,ЛИПЕНЬ,СЕРПЕНЬ,ВЕРЕСЕНЬ,ЖОВТЕНЬ,ЛИСТОПАД,ГРУДЕНЬ,РОЗКИД ЦІНИ,РОЗКИД ЦІНИ %,ЦІНА ЗА ДЕНЬ,ЦІНА ЗА ЕКСКУРСІЮ,БЕЗ НІЧНИХ ПЕРЕЇЗДІВ,КІЛЬКІСТЬ ТУРІВ ОПЕРАТОРА В НАПРЯМКУ,СЕРЕДНЯ ЦІНА ПО НАПРЯМКУ,ВІДХИЛЕННЯ ВІД СЕРЕДНЬОЇ ЦІНИ ПО НАПРЯМКУ,АКТИВНІ МІСЯЦІ,КОНЦЕНТРАЦІЯ СЕЗОННОСТІ,ПІКОВИЙ МІСЯЦЬ,URL
ACC-1,Нідерланди,Accord tour,Екскурсійний,Люкс 300 - 400,Амурний тиждень в Амстердамі і Парижі!!!,Львів → Варшава → Берлін → Амстердам → Заансе Сханс → Волендам → Брюссель → Париж → Версаль → Прага → Краків → Львів,383,,383,7,0,5,102,6,0,0,0,6,12,14,10,12,14,12,11,11,,"0,00%","54,71","76,60",TRUE,13,334,49,9,"13,73%",ЧЕРВЕНЬ,https://www.accordtour.com/tours/6231
ACC-2,Франція,Accord tour,Екскурсійний,Тяжкий Люкс 400 +,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",Львів → Варшава → Берлін → Амстердам → Брюссель → Париж → Нормандія → Парк «Діснейленд» → Версаль → Лазурний берег → Флоренція → Піза → Рим → Ватикан → Венеція → Будапешт → Чоп → Львів,493,,493,10,3,7,99,6,0,0,0,6,12,15,11,12,15,12,11,5,,"0,00%","49,30","70,43",FALSE,26,364,129,9,"15,15%",ЧЕРВЕНЬ,https://www.accordtour.com/tours/7495
ACC-3,Нідерланди,Accord tour,Екскурсійний,Тяжкий Люкс 400 +,Мільйон посмішок... або 4 дні в Амстердамі!,Львів → Варшава → Потсдам → Амстердам → Делфт → Гаага → Заансе Сханс → Волендам → Лейден → Брюссель → Брюгге → Маастріхт → Аахен → Кельн → Вроцлав → Львів,468,472,470,8,0,4,106,7,0,0,0,7,12,15,10,12,15,12,12,11,4,"0,85%","58,75","117,50",TRUE,13,334,136,9,"14,15%",ЧЕРВЕНЬ,https://www.accordtour.com/tours/636313
ACC-4,Франція,Accord tour,Екскурсійний,Люкс 300 - 400,"Вояж в Париж  Нормандія, Замки Луари + Люксембург",Львів → Варшава → Берлін → Париж → Версаль → Діснейленд → Люксембург → Нюрнберг → Прага → Львів,406,413,"409,5",8,0,7,37,7,0,0,0,2,4,5,5,4,5,5,3,4,7,"1,71%","51,19","58,50",TRUE,26,364,46,9,"13,51%",ЧЕРВЕНЬ,https://www.accordtour.com/tours/808888
ACC-5,Франція,Accord tour,Екскурсійний,Тяжкий Люкс 400 +,"Париж, квіти..... і Компліменти!  Амстердам, Брюссель, Париж, Люксембург, Кельн",Львів → Варшава → Берлін → Потсдам → Амстердам → Гаага → Делфт → Брюссель → Гент → Брюгге → Париж → Нормандія → Діснейленд → Люксембург → Кельн → Аахен → Вроцлав → Львів,581,583,582,10,0,8,106,9,0,0,0,6,12,15,11,12,15,12,12,11,2,"0,34%","58,20","72,75",TRUE,26,364,218,9,"14,15%",ЧЕРВЕНЬ,https://www.accordtour.com/tours/2819
ACC-6,Франція,Accord tour,Екскурсійний,Стандарт 150 - 300,Три дні в Парижі + Діснейленд,Львів → Варшава → Берлін → Париж → Версаль → Діснейленд → Нормандія → Орлеан → Прага → Краків → Львів,278,288,283,7,2,5,104,4,0,0,0,7,12,14,11,12,14,12,11,11,10,"3,53%","40,43","56,60",FALSE,26,364,-81,9,"13,46%",ЧЕРВЕНЬ,https://www.accordtour.com/tours/8373
ACC-7,Нідерланди,Accord tour,Екскурсійний,Люкс 300 - 400,Амурні пригоди в Амстердамі і Парижі!!!,Львів → Вроцлав → Берлін → Амстердам → Заансе Сханс → Волендам → Брюссель → Париж → Прага → Краків → Львів,371,383,377,7,0,5,93,6,0,0,0,3,9,13,12,14,9,13,9,11,12,"3,18%","53,86","75,40",TRUE,13,334,43,9,"15,05%",СЕРПЕНЬ,https://www.accordtour.com/tours/8490
ACC-8,Нідерланди,Accord tour,Екскурсійний,Стандарт 150 - 300,Амстердам та Париж... запалив та привабив...,Львів → Берлін → Амстердам → Заансе Сханс → Волендам → Брюссель → Париж → Діснейленд → Нормандія → Прага → Краків → Львів,325,326,"325,5",7,2,5,91,4,0,0,0,3,8,12,12,14,9,13,9,11,1,"0,31%","46,50","65,10",FALSE,13,334,-9,9,"15,38%",СЕРПЕНЬ,https://www.accordtour.com/tours/8045
ACC-9,Бельгія,Accord tour,Екскурсійний,Люкс 300 - 400,"Яскравий Бенілюкс: Нідерланди, Бельгія та Люксембург!",Львів → Берлін → Амстердам → Гаага → Делфт → Брюссель → Брюгге → Гент → Люксембург → Трір → Львів,432,452,442,7,0,4,95,6,0,0,0,3,9,13,12,14,9,13,9,13,20,"4,52%","63,14","110,50",TRUE,2,403,39,9,"14,74%",СЕРПЕНЬ,https://www.accordtour.com/tours/7805
ACC-10,Франція,Accord tour,Екскурсійний,Люкс 300 - 400,"Французький Каприз   4 дні в Парижі + Нормандія, долина Луари, Мон-Сен-Мішель!",Львів → Вюрцбург → Ротенбург → Франкфурт → На → Майні → Париж → Нормандія → Орлеан → Долина Луари → Мон → Сен → Мішель → Версаль → Фонтенбло → Гельдельберг → Нюрнберг → Прага → Львів,411,422,"416,5",8,0,7,98,7,0,0,0,4,10,14,12,14,9,13,9,13,11,"2,64%","52,06","59,50",TRUE,26,364,53,9,"14,29%",ЧЕРВЕНЬ,https://www.accordtour.com/tours/6987
