URL,Назва туру,Маршрут (міста),Кількість днів,Виїзд з / Найближча дата,Входить у вартість,Додатково оплачується,Допки (за бажанням),Особливості туру,Базова ціна (€),Стара ціна (€),Статус парсингу,Дата парсингу
https://rich-tour.com/?view=program&tour=divovizhna_horvatija,Дивовижна Хорватія,Львів → Будапешт → Корчула → РИВЄРА КЛЕК 8 днів → Стон → Острова Корнаті → Дубровнік → Львів,10,Перший виїзд: 03.06.2026,,,- передні місця в автобусі (1-20) - 10 € - можливість до замовити сніданок - 11€ та вечерю - 14€; - зняти увесь котедж з двома спальнями: на двох туристів - доплата 120 €/особа на трьох туристів - доплата 40 €/особа.,"Відпочинок на Адріатичному узбережжі Південної Далмації неймовірна природа і панорами Рив єри Клек А також - можливість здійснити морський круїз на о. Корчула, побачити м. Дубровнік продегустувати знамениті пелешацькі вина, устриці, сири та морепродукти",120,,✅ done,"20.05.2026, 13:59:07"
https://rich-tour.com/?view=program&tour=italija_-_tirrenske_more,ПІВДЕНЬ ІТАЛІЇ - ТІРРЕНСЬКЕ МОРЕ,,,,,,- оплата за місця в передніх рядах автобуса (1-5 ряд) - 10€. - оплата за проживання 3 осіб в котеджі без підселення - 105є за увесь період,,469,,✅ done,"20.05.2026, 13:59:11"
https://rich-tour.com/?view=program&tour=italijska_mozaika_vid_shedevriv_venecii_do_pljazhiv_rimini,Сонячні пляжі Ріміні - Італія,Львів → Будапешт → Венеція → Ріміні → Санд Дона ді П'яве → Львів,,,,,- оплата за місця в передніх рядах автобуса (1-5 ряд) - 10€.,,395,,✅ done,"20.05.2026, 13:59:16"
https://rich-tour.com/?view=program&tour=olimpijska_rivera__ostriv_skiatos,Море Греції - Олімпійська Рив’єра,Львів → Катеріні-Паралія → Метеори → о.Скіатос → Салоніки → Львів,,,,,- оплата за передні ряди в автобусі (1-20 місце) - 10 €; - трійний номер з видом на море (обмежена кількість) - 30 €.,,465,,✅ done,"20.05.2026, 13:59:20"
https://rich-tour.com/?view=program&tour=podykh_adriatiki_%E2%80%93_chornogorija,Подих Адріатики – Чорногорія,Львів → Ульцин → Будва → Котор → Тірана → Дурес → Львів,,,,,- передні місця в автобусі (1-20) - 10 € - можливість до замовити харчування на базі напів пансіон 25€/день (сніданок та вечеря); - зняти увесь котедж з двома спальнями: на двох туристів - доплата 190 €/особа на трьох туристів - доплата 65 €/особа.,"Відпочинок на Адріатичному узбережжі Чорногорії в курортній зоні Ульцин неймовірна природа та розкішні пляжі А також - можливість здійснити морський круїз по Бока-Которській затоці, побачити м. Будва покататись корабликом по Скадарському озеру та відвідати Албанію",383,,✅ done,"20.05.2026, 13:59:24"
https://rich-tour.com/?view=program&tour=parizh,Під небом Парижу,Львів → Прага → Париж → Дрезден → Львів,6,Перший виїзд: 07.12.2025,,,,,,,✅ done,"20.05.2026, 13:59:28"
https://rich-tour.com/?view=program&tour=v_gostjah_u_niderlandskoi_korony,В гостях у Нідерландської корони,Львів → Берлін → Амстердам → Койкенхоф → Прага → Краків → Львів,,,,,,"Тур БЕЗ нічних переїздів Повноцінних 2 дні в Амстердамі У вартості туру оглядові екскурсії в Берліні, Гановері та Празі",439,,✅ done,"20.05.2026, 13:59:32"
https://rich-tour.com/?view=program&tour=mrija_blogeriv,Мрія блогерів: Венеціанська Рив'єра + о. Браєс,,,,,,,,339,,✅ done,"20.05.2026, 13:59:36"
https://rich-tour.com/?view=program&tour=vid_provansu_do_shvejcarskih_vershin,Від Провансу до Швейцарських вершин,Сан-Ремо → Ніца → Кани → Монако → Лугано → Люцерн → Цюріх → Мюнхен,,,,,,,375,,✅ done,"20.05.2026, 13:59:40"
https://rich-tour.com/?view=program&tour=skandinavska_saga,Скандинавська сага,Гданськ → Гдиня → Карлскруна → Копенгаген → Флам → Согнефьорд → Осло → Стокгольм → Рига,,,,,,,685,,✅ done,"20.05.2026, 13:59:44"
