stop_clean,stop_type,total_tours,eurotrips_tours,competitor_tours,total_occurrences,avg_value_score,avg_price,add_score,trim_score,recommendation,priority
Аахен,12,4,1,4,4,1,0,"1,225","-1,05",ADD,HIGH
Авіньон,6,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Адріатичне узбережжя,2,5,1,4,5,0,1,"1,05","-0,875",ADD,HIGH
Алкобаса,10,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Амальфі,6,6,1,5,6,1,0,"1,575","-1,4",ADD,HIGH
Амстердам,4,42,2,40,42,1,0,"13,475","-13,3",ADD,HIGH
Андора,9,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Ансі,8,4,1,4,4,0,0,"1,05","-0,875",ADD,HIGH
Антверпен,5,3,1,2,3,1,0,"0,525","-0,35",ADD,MEDIUM
Арголіда,7,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Афіни,6,7,1,7,7,1,0,"2,275","-2,1",ADD,HIGH
Бамберг,3,15,1,15,15,1,0,"5,075","-4,9",ADD,HIGH
Барселона,4,22,1,21,22,1,0,"7,175",-7,ADD,HIGH
Баталья,11,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Бергамо,11,10,1,10,10,1,0,"3,325","-3,15",ADD,HIGH
Берген,4,3,1,2,3,1,0,"0,525","-0,35",ADD,MEDIUM
Берлін,3,56,1,55,56,1,0,"19,075","-18,9",ADD,HIGH
Берн,4,22,1,21,22,1,0,"7,175",-7,ADD,HIGH
Бернский оберланд,6,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Бернський оберланд,5,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Бечичі,1,1,1,1,1,1,0,"0,175",0,ADD,LOW
Блед,3,9,1,9,9,1,0,"2,975","-2,8",ADD,HIGH
Бордо,13,2,1,2,2,1,0,"0,525","-0,35",ADD,MEDIUM
Братислава,3,1,1,1,1,1,0,"0,175",0,ADD,LOW
Брашов,1,13,3,10,14,1,0,"2,625","-2,45",ADD,HIGH
Брно,14,31,1,31,31,1,0,"10,675","-10,5",ADD,HIGH
Брюгге,4,10,1,9,10,1,0,"2,975","-2,8",ADD,HIGH
Брюссель,3,25,1,24,25,1,0,"8,225","-8,05",ADD,HIGH
Будапешт,1,151,16,135,151,1,0,"41,825","-41,65",ADD,HIGH
Буковина Татранська,2,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Бурано,3,9,5,4,9,0,0,"-0,35","0,525",TRIM,LOW
Бухарест,5,18,2,16,18,1,0,"5,075","-4,9",ADD,HIGH
Варшава,1,27,1,27,27,1,0,"9,275","-9,1",ADD,HIGH
Ватикан,13,28,1,28,28,0,0,"9,45","-9,275",ADD,HIGH
Величка,2,6,1,6,6,0,0,"1,75","-1,575",ADD,HIGH
