URL туру,Назва туру,Дата (від),Дата (до),Ціна (€),Ціна (грн),Стара ціна (€),Місць / Статус
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",25.05.26,,550,,,Травень 2026
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",15.06.26,,550,,,Червень 2026
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",20.07.26,,550,,,Липень 2026
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",17.08.26,,550,,,Серпень 2026
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",14.09.26,,550,,,Вересень 2026
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",05.10.26,,550,,,Жовтень 2026
https://travelroom.lviv.ua/tour/416/,"Французький вояж (Париж, Мон-Сен-Мішель + три дні з океаном)",02.11.26,,550,,,Листопад 2026
https://travelroom.lviv.ua/tour/215/,Весна на острові Майнау,07.05.26,,330,,,Травень 2026
https://travelroom.lviv.ua/tour/308-spo/,Формула краси + три узбережжя Італії,21.05.26,,530,,,Травень 2026
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,03.06.26,,630,,,Червень 2026
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,15.07.26,,630,,,Липень 2026
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,12.08.26,,630,,,Серпень 2026
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,09.09.26,,630,,,Вересень 2026
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,14.10.26,,630,,,Жовтень 2026
https://travelroom.lviv.ua/tour/311-spo/,Альпійська мелодія: Італія + Швейцарія + Лазурове узбережжя Франції,29.06.26,,500,,,Червень 2026
https://travelroom.lviv.ua/tour/311-spo/,Альпійська мелодія: Італія + Швейцарія + Лазурове узбережжя Франції,20.07.26,,500,,,Липень 2026
https://travelroom.lviv.ua/tour/311-spo/,Альпійська мелодія: Італія + Швейцарія + Лазурове узбережжя Франції,17.08.26,,500,,,Серпень 2026
https://travelroom.lviv.ua/tour/311-spo/,Альпійська мелодія: Італія + Швейцарія + Лазурове узбережжя Франції,07.09.26,,500,,,Вересень 2026
