НАПРЯМОК,ТУРОПЕРАТОР,ВИЇЗДІВ ЗА РІК,СІЧ,ЛЮТ,БЕР,КВІ,ТРА,ЧЕР,ЛИП,СЕР,ВЕР,ЖОВ,ЛИС,ГРУ
італія,eurotrips,55,0,0,0,3,6,8,8,8,8,5,5,4
нідерланди,eurotrips,7,0,0,0,1,0,1,1,1,1,1,1,0
латвія,eurotrips,2,0,0,0,0,0,1,0,0,0,1,0,0
австрія,eurotrips,42,0,0,0,1,2,4,6,6,6,7,4,6
угорщина,eurotrips,31,0,0,0,1,2,4,4,4,4,5,3,4
румунія,eurotrips,8,0,0,0,0,0,0,1,1,1,4,0,1
чехія,eurotrips,18,0,0,0,0,0,1,0,0,3,6,2,6
іспанія,eurotrips,7,0,0,0,0,1,2,1,2,0,1,0,0
польща,eurotrips,9,0,0,0,0,0,1,1,1,1,2,0,3
франція,eurotrips,22,0,0,0,2,3,3,4,4,4,2,0,0
норвегія,eurotrips,2,0,0,0,0,0,0,1,1,0,0,0,0
греція,eurotrips,35,0,0,0,0,0,8,10,8,9,0,0,0
туреччина,eurotrips,15,0,0,0,0,1,2,2,2,2,2,2,2
чорногорія,eurotrips,13,0,0,0,0,0,3,4,5,1,0,0,0
швейцарія,eurotrips,12,0,0,0,2,1,2,2,1,1,1,1,1
нідерланди,accord tour,1121,0,0,0,49,115,151,134,156,122,148,110,136
франція,accord tour,1712,0,0,0,88,208,240,222,259,168,203,141,183
бельгія,accord tour,188,0,0,0,6,18,26,24,28,18,26,18,24
чехія,accord tour,568,0,0,0,30,79,81,85,93,50,79,29,42
італія,accord tour,2007,0,0,0,93,271,287,276,285,244,271,190,90
швейцарія,accord tour,834,0,0,0,38,102,111,120,127,92,108,59,77
німеччина,accord tour,408,0,0,0,13,48,56,52,52,46,50,36,55
австрія,accord tour,401,0,0,0,14,46,56,52,62,40,44,36,51
польща,accord tour,312,0,0,0,9,37,42,48,46,27,37,27,39
іспанія,accord tour,522,0,0,0,17,68,81,85,85,75,71,18,22
словаччина,accord tour,1,0,0,0,1,0,0,0,0,0,0,0,0
португалія,accord tour,51,0,0,0,2,8,6,9,7,5,7,3,4
греція,accord tour,303,0,0,0,10,37,47,51,46,45,36,27,4
норвегія,accord tour,116,0,0,0,4,20,16,16,20,16,16,2,6
румунія,accord tour,268,0,0,0,11,33,30,29,32,34,37,28,34
угорщина,accord tour,241,0,0,0,15,37,36,36,33,24,25,16,19
чорногорія,accord tour,184,0,0,0,6,19,32,35,32,33,27,0,0
данія,accord tour,56,0,0,0,0,10,8,8,10,8,8,1,3
естонія,accord tour,26,0,0,0,0,4,3,5,4,2,4,2,2
молдова,accord tour,39,0,0,0,1,4,6,4,6,6,4,5,3
болгарія,accord tour,19,0,0,0,1,2,2,2,2,2,3,2,3
фінляндія,accord tour,8,0,0,0,0,0,0,0,0,0,0,0,8
албанія,accord tour,59,0,0,0,0,5,11,11,10,12,10,0,0
чехія,adriatic,187,0,0,0,0,25,23,24,20,20,33,18,24
італія,adriatic,539,0,0,0,10,79,78,84,79,63,76,34,36
австрія,adriatic,342,0,0,0,5,46,50,45,40,38,59,28,31
швейцарія,adriatic,317,0,0,0,8,42,38,39,41,39,37,40,33
франція,adriatic,874,0,0,0,14,128,110,107,131,105,107,102,70
румунія,adriatic,113,0,0,0,2,14,12,15,12,12,21,12,13
польща,adriatic,187,0,0,0,2,24,21,25,20,20,32,20,23
нідерланди,adriatic,284,0,0,0,8,46,39,34,38,34,38,23,24
німеччина,adriatic,201,0,0,0,0,28,22,28,22,22,34,22,23
іспанія,adriatic,141,0,0,0,0,21,24,24,30,24,12,4,2
угорщина,adriatic,45,0,0,0,0,5,8,9,8,4,5,4,2
норвегія,adriatic,82,0,0,0,1,11,14,14,17,14,11,0,0
хорватія,adriatic,130,0,0,0,4,13,30,29,29,16,9,0,0
швеція,adriatic,39,0,0,0,0,8,8,10,9,2,2,0,0
чорногорія,adriatic,82,0,0,0,0,0,18,24,25,15,0,0,0
греція,adriatic,72,0,0,0,0,4,16,16,20,16,0,0,0
естонія,adriatic,13,0,0,0,0,3,3,4,3,0,0,0,0
португалія,adriatic,12,0,0,0,0,2,2,2,2,2,2,0,0
албанія,adriatic,33,0,0,0,0,3,8,8,9,5,0,0,0
чехія,davclub,12,0,0,0,0,2,2,2,2,2,2,0,0
греція,davclub,43,0,0,0,0,2,10,3,8,12,8,0,0
італія,davclub,11,0,0,0,0,1,2,2,2,2,2,0,0
австрія,davclub,6,0,0,0,0,1,1,1,1,1,1,0,0
франція,davclub,106,0,0,0,7,12,15,10,12,15,12,12,11
угорщина,davclub,6,0,0,0,0,1,1,1,1,1,1,0,0
австрія,itravel,510,0,0,0,20,66,57,59,59,58,65,57,69
італія,itravel,446,0,0,0,13,67,52,54,61,53,69,43,34
франція,itravel,158,0,0,0,5,20,18,19,20,16,20,18,22
німеччина,itravel,166,0,0,0,8,22,18,19,22,18,21,17,21
бельгія,itravel,38,0,0,0,2,4,4,4,6,4,4,4,6
іспанія,itravel,13,0,0,0,0,3,2,2,2,2,2,0,0
болгарія,itravel,19,0,0,0,0,2,5,4,4,4,0,0,0
литва,itravel,34,0,0,0,2,4,4,3,3,3,6,3,6
швеція,itravel,19,0,0,0,1,3,2,2,2,2,3,2,2
чорногорія,itravel,16,0,0,0,0,2,4,5,4,1,0,0,0
румунія,itravel,30,0,0,0,1,2,2,5,4,4,8,1,3
греція,itravel,75,0,0,0,0,7,20,20,13,14,1,0,0
хорватія,rich tour,33,0,0,0,0,0,8,9,9,7,0,0,0
італія,rich tour,43,0,0,0,0,0,12,12,8,5,0,3,3
греція,rich tour,16,0,0,0,0,0,4,5,4,3,0,0,0
польща,rich tour,8,0,0,0,2,3,2,0,1,0,0,0,0
франція,rich tour,7,0,0,0,0,0,0,0,0,0,2,4,1
нідерланди,rich tour,5,0,0,0,0,0,0,0,0,0,1,2,2
швейцарія,rich tour,5,0,0,0,0,0,0,0,0,1,2,0,2
австрія,tango travel,47,0,0,0,3,14,8,9,10,3,0,0,0
