URL туру,Назва туру,Дата (від),Дата (до),Ціна (€),Ціна (грн),Стара ціна (€),Місць / Статус
https://adriatic-travel.com.ua/tour/cheski-perlyny-4-nochi-v-prazi-drezden,«Чеські перлини: 4 ночі в Празі + Дрезден»,03.07.2026,"07.07, вівторок",252,,270,
https://adriatic-travel.com.ua/tour/cheski-perlyny-4-nochi-v-prazi-drezden,«Чеські перлини: 4 ночі в Празі + Дрезден»,10.07.2026,"14.07, вівторок",252,,270,
https://adriatic-travel.com.ua/tour/cheski-perlyny-4-nochi-v-prazi-drezden,«Чеські перлини: 4 ночі в Празі + Дрезден»,17.07.2026,"21.07, вівторок",243,,270,
https://adriatic-travel.com.ua/tour/cheski-perlyny-4-nochi-v-prazi-drezden,«Чеські перлини: 4 ночі в Празі + Дрезден»,24.07.2026,"28.07, вівторок",243,,270,
https://adriatic-travel.com.ua/tour/cheski-perlyny-4-nochi-v-prazi-drezden,«Чеські перлини: 4 ночі в Празі + Дрезден»,31.07.2026,"04.08, вівторок",243,,270,
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»",02.07.2026,"07.07, вівторок",304,,326,Останні місця
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»",09.07.2026,"14.07, вівторок",304,,326,
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»",16.07.2026,"21.07, вівторок",294,,326,
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»",23.07.2026,"28.07, вівторок",294,,326,
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»",30.07.2026,"04.08, вівторок",294,,326,
https://adriatic-travel.com.ua/tour/evropeyska-mozaika-krakiv-praga-viden-budapesht,«Європейська мозаїка: Краків-Прага-Відень-Будапешт»,26.06.2026,"29.06, понеділок",205,,215,Останні місця
https://adriatic-travel.com.ua/tour/neymovirna-shveytsariya-ta-elzas,«Неймовірна Швейцарія та Ельзас!»,24.06.2026,"28.06, неділя",315,,331,Останні місця
https://adriatic-travel.com.ua/tour/italiyskyy-vikend-venetsiya-florentsiya-rym#about_tour,"«Італійський вікенд... Венеція, Флоренція, Рим»",25.06.2026,"29.06, понеділок",262,,275,Місць немає
https://adriatic-travel.com.ua/tour/paryzh-misto-kokhannya,«Париж - місто кохання»,28.06.2026,"03.07, пятниця",273,,287,Останні місця
https://adriatic-travel.com.ua/tour/avstriyskyy-khit-budapesht,«Австрійський хіт + Будапешт»,26.06.2026,"29.06, понеділок",148,,155,Останні місця
https://adriatic-travel.com.ua/tour/bogemski-vyhidni,"«Богемські вихідні: 3 ночі в Празі + Дрезден, Карлові Вари, Чеський Крумлов»",10.07.2026,"13.07, понеділок",228,,245,Останні місця
https://adriatic-travel.com.ua/tour/bogemski-vyhidni,"«Богемські вихідні: 3 ночі в Празі + Дрезден, Карлові Вари, Чеський Крумлов»",17.07.2026,"20.07, понеділок",219,,245,
https://adriatic-travel.com.ua/tour/bogemski-vyhidni,"«Богемські вихідні: 3 ночі в Празі + Дрезден, Карлові Вари, Чеський Крумлов»",24.07.2026,"27.07, понеділок",219,,245,
https://adriatic-travel.com.ua/tour/bogemski-vyhidni,"«Богемські вихідні: 3 ночі в Празі + Дрезден, Карлові Вари, Чеський Крумлов»",31.07.2026,"03.08, понеділок",219,,245,
https://adriatic-travel.com.ua/tour/miks-vikend-budapesht-viden,«Мікс вікенд: Будапешт + Відень»,26.06.2026,"29.06, понеділок",107,,112,Останні місця
https://adriatic-travel.com.ua/tour/tak-dobre-razom-paryzh-benilyuks,«Так добре разом: Франція + Бельгія!»,12.07.2026,"19.07, неділя",501,,538,Останні місця
https://adriatic-travel.com.ua/tour/tak-dobre-razom-paryzh-benilyuks,«Так добре разом: Франція + Бельгія!»,19.07.2026,"26.07, неділя",485,,538,
https://adriatic-travel.com.ua/tour/tak-dobre-razom-paryzh-benilyuks,«Так добре разом: Франція + Бельгія!»,26.07.2026,"02.08, неділя",485,,538,Останні місця
https://adriatic-travel.com.ua/tour/mistychna-transilvaniya,«Містична Трансільванія»,10.07.2026,"12.07, неділя",173,,185,Останні місця
https://adriatic-travel.com.ua/tour/mistychna-transilvaniya,«Містична Трансільванія»,17.07.2026,"19.07, неділя",167,,185,
https://adriatic-travel.com.ua/tour/mistychna-transilvaniya,«Містична Трансільванія»,24.07.2026,"26.07, неділя",167,,185,
https://adriatic-travel.com.ua/tour/mistychna-transilvaniya,«Містична Трансільванія»,31.07.2026,"02.08, неділя",167,,185,
https://adriatic-travel.com.ua/tour/smaragdy-polshchi-morske-oko-zakopane-krakiv,"«Смарагди Польщі: Морське Око, Закопане, Краків»",24.06.2026,"26.06, пятниця",252,,168,Місць немає
https://adriatic-travel.com.ua/tour/vikend-v-transilvanii,«Вікенд в Трансільванії»,10.07.2026,"13.07, понеділок",145,,155,
https://adriatic-travel.com.ua/tour/vikend-v-transilvanii,«Вікенд в Трансільванії»,17.07.2026,"20.07, понеділок",140,,155,
https://adriatic-travel.com.ua/tour/vikend-v-transilvanii,«Вікенд в Трансільванії»,24.07.2026,"27.07, понеділок",140,,155,
https://adriatic-travel.com.ua/tour/vikend-v-transilvanii,«Вікенд в Трансільванії»,31.07.2026,"03.08, понеділок",140,,155,
https://adriatic-travel.com.ua/tour/praha-misto-yake-obralo-mene,"«Прага - місто, яке обрало мене»",10.07.2026,"13.07, понеділок",175,,188,
https://adriatic-travel.com.ua/tour/praha-misto-yake-obralo-mene,"«Прага - місто, яке обрало мене»",17.07.2026,"20.07, понеділок",170,,188,
https://adriatic-travel.com.ua/tour/praha-misto-yake-obralo-mene,"«Прага - місто, яке обрало мене»",24.07.2026,"27.07, понеділок",170,,188,
https://adriatic-travel.com.ua/tour/praha-misto-yake-obralo-mene,"«Прага - місто, яке обрало мене»",31.07.2026,"03.08, понеділок",170,,188,
https://adriatic-travel.com.ua/tour/pohlyad-v-mynule-rym-pompeyi-neapol,"«Погляд в минуле: 3 дні в Римі + Помпеї, Неаполь»",04.07.2026,"11.07, субота",462,,496,
https://adriatic-travel.com.ua/tour/pohlyad-v-mynule-rym-pompeyi-neapol,"«Погляд в минуле: 3 дні в Римі + Помпеї, Неаполь»",11.07.2026,"18.07, субота",462,,496,
https://adriatic-travel.com.ua/tour/pohlyad-v-mynule-rym-pompeyi-neapol,"«Погляд в минуле: 3 дні в Римі + Помпеї, Неаполь»",18.07.2026,"25.07, субота",447,,496,
https://adriatic-travel.com.ua/tour/pohlyad-v-mynule-rym-pompeyi-neapol,"«Погляд в минуле: 3 дні в Римі + Помпеї, Неаполь»",25.07.2026,"01.08, субота",447,,496,
https://adriatic-travel.com.ua/tour/yakyy-chudovyy-krakiv-park-enerdzhilandiya,«Який чудовий Краків + парк Енерджіландія»,03.07.2026,"05.07, неділя",152,,163,
https://adriatic-travel.com.ua/tour/yakyy-chudovyy-krakiv-park-enerdzhilandiya,«Який чудовий Краків + парк Енерджіландія»,10.07.2026,"12.07, неділя",152,,163,
https://adriatic-travel.com.ua/tour/yakyy-chudovyy-krakiv-park-enerdzhilandiya,«Який чудовий Краків + парк Енерджіландія»,17.07.2026,"19.07, неділя",147,,163,
https://adriatic-travel.com.ua/tour/yakyy-chudovyy-krakiv-park-enerdzhilandiya,«Який чудовий Краків + парк Енерджіландія»,24.07.2026,"26.07, неділя",147,,163,
https://adriatic-travel.com.ua/tour/yakyy-chudovyy-krakiv-park-enerdzhilandiya,«Який чудовий Краків + парк Енерджіландія»,31.07.2026,"02.08, неділя",147,,163,
https://adriatic-travel.com.ua/tour/praha-moye-ulyublene-misto,«Прага - моє улюблене місто»,10.07.2026,"13.07, понеділок",168,,180,
https://adriatic-travel.com.ua/tour/praha-moye-ulyublene-misto,«Прага - моє улюблене місто»,17.07.2026,"20.07, понеділок",162,,180,
https://adriatic-travel.com.ua/tour/praha-moye-ulyublene-misto,«Прага - моє улюблене місто»,24.07.2026,"27.07, понеділок",162,,180,
https://adriatic-travel.com.ua/tour/praha-moye-ulyublene-misto,«Прага - моє улюблене місто»,31.07.2026,"03.08, понеділок",162,,180,
https://adriatic-travel.com.ua/tour/o-rym-ty-tsilyy-svit,"«О Рим, ти цілий світ!»",04.07.2026,"09.07, четвер",365,,392,
https://adriatic-travel.com.ua/tour/o-rym-ty-tsilyy-svit,"«О Рим, ти цілий світ!»",18.07.2026,"23.07, четвер",353,,392,
https://adriatic-travel.com.ua/tour/o-rym-ty-tsilyy-svit,"«О Рим, ти цілий світ!»",25.07.2026,"30.07, четвер",353,,392,
https://adriatic-travel.com.ua/tour/zustrinemos-v-paryzhi,«Зустрічаємось в Парижі + Мюнхен та Зальцбург!»,12.07.2026,"17.07, пятниця",372,,400,
https://adriatic-travel.com.ua/tour/zustrinemos-v-paryzhi,«Зустрічаємось в Парижі + Мюнхен та Зальцбург!»,19.07.2026,"24.07, пятниця",360,,400,
https://adriatic-travel.com.ua/tour/zustrinemos-v-paryzhi,«Зустрічаємось в Парижі + Мюнхен та Зальцбург!»,26.07.2026,"31.07, пятниця",360,,400,
https://adriatic-travel.com.ua/tour/veseli-kanikuly-3-dni-v-paryzhi-normandiya-ta-disneylend,«Веселі канікули: 3 дні в Парижі + Нормандія та Діснейленд!»,12.07.2026,"18.07, субота",329,,353,
https://adriatic-travel.com.ua/tour/veseli-kanikuly-3-dni-v-paryzhi-normandiya-ta-disneylend,«Веселі канікули: 3 дні в Парижі + Нормандія та Діснейленд!»,19.07.2026,"25.07, субота",318,,353,
https://adriatic-travel.com.ua/tour/veseli-kanikuly-3-dni-v-paryzhi-normandiya-ta-disneylend,«Веселі канікули: 3 дні в Парижі + Нормандія та Діснейленд!»,26.07.2026,"01.08, субота",318,,353,
https://adriatic-travel.com.ua/tour/rumuniya-zaproshuye,«Румунія запрошує! Бухарест + замки Трансільванії»,09.07.2026,"12.07, неділя",168,,180,
https://adriatic-travel.com.ua/tour/rumuniya-zaproshuye,«Румунія запрошує! Бухарест + замки Трансільванії»,16.07.2026,"19.07, неділя",162,,180,
https://adriatic-travel.com.ua/tour/rumuniya-zaproshuye,«Румунія запрошує! Бухарест + замки Трансільванії»,23.07.2026,"26.07, неділя",162,,180,
https://adriatic-travel.com.ua/tour/rumuniya-zaproshuye,«Румунія запрошує! Бухарест + замки Трансільванії»,30.07.2026,"02.08, неділя",162,,180,
https://adriatic-travel.com.ua/tour/blyskuchyy-vikend-drezden-praha-viden,«Блискучий вікенд: Дрезден - Прага - Відень - Будапешт»,03.07.2026,"07.07, вівторок",247,,265,
https://adriatic-travel.com.ua/tour/blyskuchyy-vikend-drezden-praha-viden,«Блискучий вікенд: Дрезден - Прага - Відень - Будапешт»,10.07.2026,"14.07, вівторок",247,,265,
https://adriatic-travel.com.ua/tour/blyskuchyy-vikend-drezden-praha-viden,«Блискучий вікенд: Дрезден - Прага - Відень - Будапешт»,17.07.2026,"21.07, вівторок",239,,265,
https://adriatic-travel.com.ua/tour/blyskuchyy-vikend-drezden-praha-viden,«Блискучий вікенд: Дрезден - Прага - Відень - Будапешт»,24.07.2026,"28.07, вівторок",239,,265,
https://adriatic-travel.com.ua/tour/blyskuchyy-vikend-drezden-praha-viden,«Блискучий вікенд: Дрезден - Прага - Відень - Будапешт»,31.07.2026,"04.08, вівторок",239,,265,
https://adriatic-travel.com.ua/tour/krashchi-z-krashchykh-viden-zaltsburh-myunkhen,«Кращі з кращих: Відень-Зальцбург-Мюнхен»,03.07.2026,"06.07, понеділок",247,,265,
https://adriatic-travel.com.ua/tour/krashchi-z-krashchykh-viden-zaltsburh-myunkhen,«Кращі з кращих: Відень-Зальцбург-Мюнхен»,10.07.2026,"13.07, понеділок",247,,265,
https://adriatic-travel.com.ua/tour/krashchi-z-krashchykh-viden-zaltsburh-myunkhen,«Кращі з кращих: Відень-Зальцбург-Мюнхен»,17.07.2026,"20.07, понеділок",239,,265,
https://adriatic-travel.com.ua/tour/krashchi-z-krashchykh-viden-zaltsburh-myunkhen,«Кращі з кращих: Відень-Зальцбург-Мюнхен»,24.07.2026,"27.07, понеділок",239,,265,
https://adriatic-travel.com.ua/tour/krashchi-z-krashchykh-viden-zaltsburh-myunkhen,«Кращі з кращих: Відень-Зальцбург-Мюнхен»,31.07.2026,"03.08, понеділок",239,,265,
https://adriatic-travel.com.ua/tour/yakyy-chudovyy-tsey-krakiv,«Який чудовий цей Краків»,03.07.2026,"05.07, неділя",152,,163,
https://adriatic-travel.com.ua/tour/yakyy-chudovyy-tsey-krakiv,«Який чудовий цей Краків»,10.07.2026,"12.07, неділя",152,,163,
https://adriatic-travel.com.ua/tour/yakyy-chudovyy-tsey-krakiv,«Який чудовий цей Краків»,17.07.2026,"19.07, неділя",147,,163,
https://adriatic-travel.com.ua/tour/yakyy-chudovyy-tsey-krakiv,«Який чудовий цей Краків»,24.07.2026,"26.07, неділя",147,,163,
https://adriatic-travel.com.ua/tour/yakyy-chudovyy-tsey-krakiv,«Який чудовий цей Краків»,31.07.2026,"02.08, неділя",147,,163,
https://adriatic-travel.com.ua/tour/pryyemnyy-vikend-krakiv-praha-viden-budapesht,«Приємний вікенд: Краків-Прага-Відень-Будапешт»,03.07.2026,"06.07, понеділок",159,,170,
https://adriatic-travel.com.ua/tour/pryyemnyy-vikend-krakiv-praha-viden-budapesht,«Приємний вікенд: Краків-Прага-Відень-Будапешт»,10.07.2026,"13.07, понеділок",159,,170,
https://adriatic-travel.com.ua/tour/pryyemnyy-vikend-krakiv-praha-viden-budapesht,«Приємний вікенд: Краків-Прага-Відень-Будапешт»,17.07.2026,"20.07, понеділок",153,,170,
https://adriatic-travel.com.ua/tour/pryyemnyy-vikend-krakiv-praha-viden-budapesht,«Приємний вікенд: Краків-Прага-Відень-Будапешт»,24.07.2026,"27.07, понеділок",153,,170,
https://adriatic-travel.com.ua/tour/pryyemnyy-vikend-krakiv-praha-viden-budapesht,«Приємний вікенд: Краків-Прага-Відень-Будапешт»,31.07.2026,"03.08, понеділок",153,,170,
https://adriatic-travel.com.ua/tour/paryzh-tse-prystrast-paryzh-tse-svyato,«Париж - це пристрасть! Париж - це свято!»,05.07.2026,"11.07, субота",324,,348,
https://adriatic-travel.com.ua/tour/paryzh-tse-prystrast-paryzh-tse-svyato,«Париж - це пристрасть! Париж - це свято!»,12.07.2026,"18.07, субота",324,,348,
https://adriatic-travel.com.ua/tour/paryzh-tse-prystrast-paryzh-tse-svyato,«Париж - це пристрасть! Париж - це свято!»,19.07.2026,"25.07, субота",314,,348,
https://adriatic-travel.com.ua/tour/paryzh-tse-prystrast-paryzh-tse-svyato,«Париж - це пристрасть! Париж - це свято!»,26.07.2026,"01.08, субота",314,,348,
https://adriatic-travel.com.ua/tour/vidpustka-klasu-lyuks-krainy-benilyuks,"«Відпустка класу ""Люкс"" - країни БеНіЛюкс!»",12.07.2026,"17.07, пятниця",367,,394,
https://adriatic-travel.com.ua/tour/vidpustka-klasu-lyuks-krainy-benilyuks,"«Відпустка класу ""Люкс"" - країни БеНіЛюкс!»",26.07.2026,"31.07, пятниця",355,,394,
https://adriatic-travel.com.ua/tour/nash-chudovyy-vikend-krakiv-drezden-praha,«Наш чудовий вікенд: Краків-Дрезден-Прага»,03.07.2026,"06.07, понеділок",205,,220,
https://adriatic-travel.com.ua/tour/nash-chudovyy-vikend-krakiv-drezden-praha,«Наш чудовий вікенд: Краків-Дрезден-Прага»,10.07.2026,"13.07, понеділок",205,,220,
https://adriatic-travel.com.ua/tour/nash-chudovyy-vikend-krakiv-drezden-praha,«Наш чудовий вікенд: Краків-Дрезден-Прага»,17.07.2026,"20.07, понеділок",198,,220,
https://adriatic-travel.com.ua/tour/nash-chudovyy-vikend-krakiv-drezden-praha,«Наш чудовий вікенд: Краків-Дрезден-Прага»,24.07.2026,"27.07, понеділок",198,,220,
https://adriatic-travel.com.ua/tour/nash-chudovyy-vikend-krakiv-drezden-praha,«Наш чудовий вікенд: Краків-Дрезден-Прага»,31.07.2026,"03.08, понеділок",198,,220,
https://adriatic-travel.com.ua/tour/vid-krayu-do-krayu-paryzh-amsterdam-normandiya#about_tour,"«Від краю до краю: Париж, Амстердам, Нормандія…»",05.07.2026,"11.07, субота",350,,376,
https://adriatic-travel.com.ua/tour/vid-krayu-do-krayu-paryzh-amsterdam-normandiya#about_tour,"«Від краю до краю: Париж, Амстердам, Нормандія…»",12.07.2026,"18.07, субота",350,,376,Останні місця
https://adriatic-travel.com.ua/tour/vid-krayu-do-krayu-paryzh-amsterdam-normandiya#about_tour,"«Від краю до краю: Париж, Амстердам, Нормандія…»",19.07.2026,"25.07, субота",339,,376,Останні місця
