URL туру,Назва туру,День №,Місто / Локація,Факультативи (назва + ціна),Опис дня,Симв.
https://adriatic-travel.com.ua/tour/cheski-perlyny-4-nochi-v-prazi-drezden,«Чеські перлини: 4 ночі в Празі + Дрезден»,1,06:15 – збір групи на залізничному вокзалі м. Львів (платна стоянка праворуч від центрального входу),"кордону та наявності часу, запрошуємо на екскурсію «Краків — королівський шлях»: 20€; Або ж пропонуємо подорож у Дрезден — саксонську перлину: 40€; програм для детального знайомства з його скарбами: Дрезденська картинна галерея: 30€; Містечко Мейсен: 33€; Тут хочеться фотографувати кожні двері та кожне вікно! Саксонська Швейцарія: 35€; Для фіналу дня — «Вечірня Прага»: 20€; Чеський Крумлов — місто, де зупинився час: 40€; Замок Чеський Штернберг: «Зірка над Сазавою»: 40€; Скелі Адршпах: природний лабіринт: 40€; істі! Перед від’їздом пропонуємо завершальний акцент — екскурсію Празьким Градом: 20€; У вільний час вибирайте пригоду собі до душі: Прогулянка на кораблику по Влтаві: 40€; ція гастрономічного задоволення та естетичної насолоди! Екскурсія в Карлові Вари: 40€; Музей Бехеровки: 19€; Ви навчитеся пити його як справжні чехи! Кутна Гора та Костніца: 40€; 33€, діти: 25€; 35€, діти: 25€; 40€, діти: 35€; 40€, діти: 20€","06:15 – збір групи на залізничному вокзалі м. Львів (платна стоянка праворуч від центрального входу). Важливий момент: за день до виїзду керівник групи створить спільний чат у Viber . Це ваш головний інфо-центр: номер автобуса, геолокації зупинок, актуальний таймінг та швидкі відповіді на всі питання. Обов’язково перевірте наявність додатка!
06:45 – виїзд зі Львова. Починаємо знайомство, налаштовуємося на позитив та слухаємо «дорожню карту» нашої пригоди від керівника групи. Ви дізнаєтеся всі організаційні секрети: як не заблукати в Празі, де міняти валюту за найкращим курсом та які гастрономічні відкриття чекають на нас у турі.
Перетин кордону. Процедура стандартна: паспортний та митний контроль. Нагадуємо, що наш автобус здійснює рейс згідно з міжнародною системою Interbus, що гарантує л",800
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»",1,,,,0
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»",2,,,,0
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»",3,,,,0
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»",4,,,,0
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»",5,,,,0
https://adriatic-travel.com.ua/tour/rym-prekrasnyy-zavzhdy#about_tour,"«Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція»",6,Перетин кордону.,,"Перетин кордону.
Вечірнє повернення до Львова (залежно від проходження кордону).
Має право на безкоштовний тур;
Безкоштовно екскурсії на які йде вся її група;
Безкоштовно радіо гід і сіті такс;
Безкоштовне харчування те, яке має група в турі;
Потрібні безкоштовні місця для керівника групи?
Це легко організувати! У розділі «Калькулятор цін – Вартість для груп» ви можете вказати необхідну кількість безкоштовних місць, і система автоматично врахує це у підсумковій вартості.
Якщо для групи Ви обираєте безкоштовні місця тоді діють наступні додаткові послуги для безкоштовної особи:
Обовʼязкових екскурсій для груп НЕМАЄ!
При бронюванні екскурсій разом із туром, можливі знижки до 10% (деталі у Вашого куратора)
Вже маєте прорахований тур? Зв'яжіться з нами і ми підтвердимо ціну конкурента або запро",800
https://adriatic-travel.com.ua/tour/evropeyska-mozaika-krakiv-praga-viden-budapesht,«Європейська мозаїка: Краків-Прага-Відень-Будапешт»,1,06:30 – збір групи на залізничному вокзалі м. Львів (платна стоянка праворуч від центрального входу),"кордону та наявності часу, запрошуємо на екскурсію «Краків — королівський шлях»: 20€; ти екскурсії для глибшого знайомства з містом: Прогулянка на кораблику по Влтаві: 40€; ьна комбінація гастрономічного задоволення та естетичної насолоди! Празький Град: 20€; «Вечірня Прага»: 20€; атмосферу імперії, ми підготували особливі екскурсії на вибір: Блискучий Відень: 25€; «Легенди Відня»: 21€; Імператорський палац Шенбрунн: 11€; Золота скарбниця Габсбургів: 21€; По прибуттю в Будапешт запрошуємо на прогулянку на кораблику по Дунаю: 29€; айяскравіші штрихи нашої подорожі! Оглядова екскурсія «Перлина Дунаю — Будапешт»: 20€; Винні підвали у Долині Красунь з дегустацією та гуляшем: 29€; При наявності часу пропонуємо оглядову екскурсію по місту Краків: 20€; льний час пропонуємо факультативні екскурсії на вибір: Екскурсія Празьким Градом: 20€; й «народний чеський святий», великим центром паломництва!!! Прогулянка по Влтаві: 40€; Трансфер до Праги на святкування Нового Року: 15€; У вільний час пропонуємо факультативні екскурсії на вибір: Блискучий Відень: 25€; Імператорський палац Шонбрунн: 11€; Золота скарбниця Габсбургів: 19€; нуємо факультативні екскурсії на вибір: Вечірня прогулянка по Дунаю на кораблику: 29€; озі пропонуємо факультативні екскурсії на вибір: Оглядова екскурсія по Будапешту: 20€; ємо відвідати винні підвали у Долині красунь з дегустацією вин і смачного гуляшу: 29€; 99 років: 35€; 25€, діти: 15€; 29€, діти: 19€; 99 років: 15€","06:30 – збір групи на залізничному вокзалі м. Львів (платна стоянка праворуч від центрального входу). Важливий момент: за день до виїзду керівник групи створить спільний чат у Viber . Це ваш головний інфо-центр: номер автобуса, геолокації зупинок, актуальний таймінг та швидкі відповіді на всі питання. Обов’язково перевірте наявність додатка!
07:00 – виїзд зі Львова. Починаємо знайомство, налаштовуємося на позитив та слухаємо «дорожню карту» нашої пригоди від керівника групи. Ви дізнаєтеся всі організаційні секрети: як не заблукати в Празі, де міняти валюту за найкращим курсом та які гастрономічні відкриття чекають на нас у турі.
Перетин кордону. Процедура стандартна: паспортний та митний контроль. Нагадуємо, що наш автобус здійснює рейс згідно з міжнародною системою Interbus, що гарантує л",800
https://adriatic-travel.com.ua/tour/neymovirna-shveytsariya-ta-elzas,«Неймовірна Швейцарія та Ельзас!»,1,,,,0
https://adriatic-travel.com.ua/tour/neymovirna-shveytsariya-ta-elzas,«Неймовірна Швейцарія та Ельзас!»,2,,,,0
