,📊  EUROTRIPS — АНАЛІТИЧНИЙ ДАШБОРД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Дані: RAW_Eurotrips · RAW_Competitors · GAPS · METRICS · SEASONALITY  |  Оновлено: 18.05.2026, 16:42:26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,🏢  ПОРТФЕЛЬ EUROTRIPS,,,,,,🏁  КОНКУРЕНТИ,,,,,,,,,,,,,,,,,,,,,,,,
,Турів,39,Середня ціна,271€,Виїздів/рік,278,Турів,,Середня ціна,,Різниця цін,,,,,,,,,,,,,,,,,,НАПРЯМОК,ІНДЕКС,
,39,,271€,,278,,610,,334€,,-63€,,,,,,,,,,,,,,,,,,Німеччина,"0,7878947368",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Албанія,"0,7689473684",
,📋  SCORECARD: EUROTRIPS vs КОНКУРЕНТИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Хорватія,"0,7689473684",
,НАПРЯМОК,ET,КОНК.,ВИЇЗД ET,ВИЇЗД К.,ЦІНА ET,ЦІНА К.,ТИП РОЗРИВУ,ІНДЕКС,ПРІОРИТЕТ,,,,,,,,,,,,,,,,,,,Швеція,"0,7668421053",
,Німеччина,0,18,0,779,—,238€,КРИТИЧНИЙ РОЗРИВ,"0,7878947368",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Бельгія,"0,7584210526",
,Албанія,0,9,0,98,—,514€,КРИТИЧНИЙ РОЗРИВ,"0,7689473684",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Литва,"0,7563157895",
,Хорватія,0,9,0,163,—,379€,КРИТИЧНИЙ РОЗРИВ,"0,7689473684",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Португалія,"0,7563157895",
,Швеція,0,8,0,76,—,336€,КРИТИЧНИЙ РОЗРИВ,"0,7668421053",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Болгарія,"0,7542105263",
,Бельгія,0,4,0,226,—,376€,КРИТИЧНИЙ РОЗРИВ,"0,7584210526",🔥 ВИСОКИЙ,,,,,,,,,,,,,,,,,,,Естонія,"0,7542105263",
