ОСНОВНИЙ НАПРЯМОК,ЗУПИНКА,НОРМАЛІЗОВАНА ЗУПИНКА,ТИП ЗУПИНКИ,ЗАГАЛЬНА К-СТЬ ВИКОРИСТАНЬ ЗУПИНКИ,К-СТЬ ВИКОРИСТАНЬ ЗУПИНКИ EUROTRIPS,К-СТЬ ВИКОРИСТАНЬ ЗУПИНКИ КОНКУРЕНТАМИ,global_add_score,global_trim_score,dir_add_score,dir_trim_score,recommendation,priority,note
Польща,Львів,львів,CITY,15,10,5,"0,5042565542","0,1799484667","0,1512769663","0,3873178733",TRIM,MEDIUM,Прибрати або ослабити
Італія,Венеція,венеція,CITY,76,9,67,"0,5434782331","0,1889475095","0,582780312","0,2066842528",ADD,HIGH,Додати в маршрут
Італія,Львів,львів,CITY,62,9,53,"0,5042565542","0,1799484667","0,5415995469","0,20398454",ADD,HIGH,Додати в маршрут
Угорщина,Львів,львів,CITY,13,7,6,"0,5042565542","0,1799484667","0,1512769663","0,2462922323",TRIM,LOW,Прибрати або ослабити
Польща,Краків,краків,CITY,16,6,10,"0,6594794274","0,167198425","0,3353438282","0,2001595275",ADD,MEDIUM,Додати в маршрут
Італія,Верона,верона,CITY,31,5,26,"0,4539755457","0,1977686404","0,5087733089","0,2093305921",ADD,HIGH,Додати в маршрут
Угорщина,Будапешт,будапешт,CITY,13,5,8,"0,5712832273","0,1862342552","0,2983080451","0,2058702766",ADD,MEDIUM,Додати в маршрут
Італія,Будапешт,будапешт,CITY,63,4,59,"0,5712832273","0,1862342552","0,6515436984","0,2058702766",ADD,HIGH,Додати в маршрут
Австрія,Львів,львів,CITY,13,4,9,"0,5042565542","0,1799484667","0,3628154278","0,20398454",ADD,MEDIUM,Додати в маршрут
Польща,Закопане,закопане,CITY,8,4,4,"0,2663234354","0,1723129282","0,07989703063","0,2016938785",TRIM,LOW,Прибрати або ослабити
Італія,Бурано,бурано,CITY,7,4,3,"0,08515037576","0,2565162909","0,02554511273","0,3055263158",TRIM,MEDIUM,Прибрати або ослабити
