URL,Назва туру,Маршрут (міста),Днів,Ночей в готелі,Нічних переїздів,Сніданків,Мін. ціна (€),Найближчі дати,Входить у вартість,Оплачується додатково,Допки за бажанням,Фішки туру,Статус парсингу,Дата парсингу
https://eurotrips.ua/vikend-v-budapeshti-viden/,Вікенд у Будапешті + Відень,Львів → Cтрий → Мукачево/Ужгород → Будапешт → Сентендре → Відень → Львів,4,1,2,1,,"13.06 - 16.06, 20.06 - 23.06, 04.07 - 07.07, 18.07 - 21.07",переїзд комфортабельним автобусом;; проживання в готелі 3-4*;; 1 сніданок в готелі;; туристичне страхування;; оглядова прогулянка з локалом в Будапешті;,туристичний і паливний збір — 15€;; додаткові активності (допки) за бажанням;; харчування: обіди та вечері;; особисті витрати;,прогулянка на кораблику в Будапешті та безлімітне просекко — 35€;; поїздка у Відень з оглядовою прогулянкою від локала — 50€;,дві столиці за одні вихідні; прогулянка на кораблику з безлімітним ігристим; прогулянка Віднем з гідом-локалом; австрійська й угорська кухні; недалеко від України; перша поїздка закордон; перший досвід автобусної подорожі; довга відпустка не потрібна; 10+1: 1 місце безкоштовно; Бронюй за 30€; Оплата частинами від mono; Оплата частинами від ПриватБанк,✅ done,"02.06.2026, 14:01:54"
https://eurotrips.ua/adriatychne-more-italiyi/,Італія Море Доломітові Альпи,Львів → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Львів,6,3,2,3,,07.06 - 12.06,переїзд комфортабельним автобусом;; проживання в готелі 3-4 *;; 3 сніданки в готелі;; туристичне страхування;,туристичний і паливний збір — 25€;; харчування (обід та вечеря);; особисті витрати;; навушники — 2€ за один екскурсійний день;,прогулянка на кораблику (ігристе включено) — 35€;; поїздка у Верону — 35€;; озеро Гарда — 50€; Доломітові Альпи — 50€;,4 дні на морі; один готель 3-4* на всю подорож; улюблений курорт італійців Венеційська рів'єра; Море і гори в одному турі; Доломітові Альпи та озеро Браєс; озеро Гарда — найбільше в Італії; Історія Ромео і Джульєтти у Вероні; Круїз Гранд Каналом на водному таксі; острів Бурано з різнокольоровими будинками; 10+1: 1 місце безкоштовно; Бронюй за 30€; Оплата частинами від mono; Оплата частинами від ПриватБанк,✅ done,"02.06.2026, 14:01:58"
https://eurotrips.ua/weekend-amsterdam/,Вікенд у Амстердамі + Берлін і Прага,Львів → Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,6,3,2,3,,"29.08 - 03.09, 26.09 - 01.10, 24.10 - 29.10, 28.11 - 03.12",переїзд комфортабельним автобусом;; проживання в готелях 3-4 *;; 3 сніданки в готелях;; туристичне страхування;,туристичний і паливний збір — 30€;; додаткові активності (допки) за бажанням;; харчування: обіди та вечері;; особисті витрати;,"прогулянка Вроцлавом — 15€;; прогулянка ""іншим"" Берліном — 25€ (дорослі) / 15€(діти до 11,99);; Berlin Secret Places — 20€;; елегантна Гаага — 45€;; прогулянка на велосипедах — 35€;","3 столиці в одному турі: Амстердам, Берлін і Прага; вечеря-круїз по Влтаві у Празі; 2 повноцінні дні в Амстердамі; рибальське село Волендам; Празький Град — найбільша королівська резиденція у світі; 10+1: 1 місце безкоштовно; Бронюй за 30€; Оплата частинами від Приватбанк; Оплата частинами від Monobank",✅ done,"02.06.2026, 14:02:02"
https://eurotrips.ua/baltijskyj-kruyiz/,Балтійський круїз БЕЗ НІЧНИХ,Львів → Каунас → Рига → Таллінн → Стокгольм → Вільнюс → Львів,6,5,3,,,25.10 - 30.10,переїзд комфортабельним автобусом;; 3 ночі — проживання у готелях; 2 ночі — проживання на поромі у 4-місній каюті; 3 сніданки у готелях; оглядова прогулянка з локалом в Ризі,"Навушники — 2 євро за один екскурсійний день; Особисті витрати; Додаткове харчування — сніданок 20,5 євро; туристичний і паливний збір — 40 євро","“Сучасний Таллінн” — 25 € (дорослі) / 15 € (діти до 11,99); Автобусна екскурсія Стокгольмом — 30 € (дорослі) / 20 €(діти до 11,99); Вільнюс - екскурсія містом з локалом — 20€ (дорослі)/ 15€ (діти до 11,99)",Сканднавський Стокгольм; 4 країни довкола Балтійського моря; тур без нічних переїздів; дискотека та розваги на поромі; середньовічний Таллінн; Бронюй за 30€; 2 ночі на поромі; 10+1: 1 місце безкоштовно; Оплата частинамі від Mono; Оплата частинамі від Приватбанк,✅ done,"02.06.2026, 14:02:06"
https://eurotrips.ua/venecziya-bez-nichnyh/,Венеція БЕЗ НІЧНИХ,Львів → Словенія → Венеція → Бурано → Будапешт → Львів,5,4,4,,,01.01 - 01.01,переїзд комфортабельним автобусом;; проживання в готелі 3-4 *;; 4 сніданків в готелі;; туристичне страхування;; оглядова прогулянка з локалом у Венеції;,харчування (обід та вечеря);; витрати на громадський транспорт;; особисті витрати;; місця у 1-4 ряду автобуса — 10€;; туристичний і паливний збір — 25 євро,Прогулянка на водному таксі по Венеції — 35 євро; Подорож до острова Бурано — 40 євро,прогулянки на гондолах; Затишна Любляна; Топові гастро-локації; Яскравий Бурано; Прогулянка на кораблику з безлім просеко; Будапешт очима локала; Оплата частинами від MONO; Оплата частинами від Приватбанк; Бронюй за 30€; 10+1: 1 місце безкоштовно; Ціни раннього бронювання до 11.05,✅ done,"02.06.2026, 14:02:10"
https://eurotrips.ua/viden-zaltsburh/,Вікенд у Відні + Зальцбург,Львів/Будапешт → Відень → Зальцбург → Гальштат → Прага → Львів/Польща,5,3,1,3,,"21.10 - 25.10, 28.10 - 01.11, 09.12 - 13.12, 16.12 - 20.12",переїзд комфортабельним автобусом;; проживання в готелі 3-4 *;; сніданки в готелях;; спільні прогулянки і вечірки;; оглядова прогулянка з локалом у Відні;,особисті витрати;; харчування (обід та вечеря);; навушники; — 2 євро за один екскурсійний день; місця у 1-4 ряду автобуса — 10€;; витрати на громадський транспорт;,"прогулянка на кораблику по Дунаю (безлімітне просеко) — 35 євро; авторська прогулянка ""Легенди Відня"" — 25 євро; долина Зальцкаммергут + Гальштат — 45 євро",Величний Відень; Прогулянка казковим Зальцбургом; Краєвиди Альп; ПОЇЗДКА в Гальштат; Руфтопи Зальцбурга; Пікнік серед гір; Альпійські панорами Зальцбурга; Топові руфтопи; 3 європейські міста за 5 днів; 10+1: 1 місце безкоштовно; Бронюй за 30€; ОПЛАТА ЧАСТИНАМИ від Приватбанку; ОПЛАТА ЧАСТИНАМИ від MONO; Ціни раннього бронювання до 11.05,✅ done,"02.06.2026, 14:02:13"
https://eurotrips.ua/vikend-u-budapeshti-ta-vidni/,Будапешт – Відень,Львів → Будапешт → Відень → Львів,4,1,2,1,,20.06 - 23.06,переїзд комфортабельним автобусом;; проживання в готелі 3-4 *;; 1 сніданок в готелі;; туристичне страхування;; оглядова прогулянка з локалом в Будапешті;,туристичний і паливний збір — 15 євро; допки (за бажанням); харчування (обіди та вечері); особисті витрати,навушники — 2 євро за один екскурсійний день; місця у 1-4 ряду автобуса — 10€;; страхування для туристів віком 60-75 років — 5 євро; страхування для туристів віком 76-90 років — 15 євро,Вечірка #eurotripsfamily у Будапешті; Прогулянка на кораблику з безлім ігристого; Поїздка до Відня у вартості; Руфтоп з видом на Відень; Тур на вікенд; Австрійська і угорські кухні; 10+1: 1 місце безкоштовно; Бронюй за 30€; Оплата частинами від mono; Оплата частинами від ПриватБанк,✅ done,"02.06.2026, 14:02:16"
https://eurotrips.ua/transylvaniya-vikend/,Вікенд у Трансильванії + Трансфагараш,Чернівці → Брашов → Трансфагараш → Чернівці,4,1,2,1,,"16.07 - 19.07, 20.08 - 23.08, 24.09 - 27.09, 08.10 - 11.10",переїзд комфортабельним автобусом;; проживання в готелі 3-4 *;; 1 сніданок в готелі;; туристичне страхування;,туристичний і паливний збір — 15€;; додаткові активності (допки) за бажанням;; харчування: обіди та вечері;; особисті витрати;,Замок Дракули — 35€ (вхідний квиток входить у вартість);,Трансфагараш — найкрасивіша гірська дорога Європи; краєвиди Румунських Карпат; гірські серпантини; пікнік на озері Балеа посеред Карпат; прогулянка з гідом-локалом у Брашові; лабіринти замка Дракули; тур на вихідні; довга відпустка не потрібна; недалеко від України; перша поїздка закордон; перший досвід автобусної подорожі; 10+1: 1 місце безкоштовно; Бронюй за 30€; Оплата частинами від mono; Оплата частинами від ПриватБанк,✅ done,"02.06.2026, 14:02:20"
https://eurotrips.ua/vikend-u-venetsiyi/,Вікенд у Венеції + озеро Гарда,Львів/Будапешт → Венеція → Бурано → Падуя → Верона → Пескʼєра-дель-Гарда → Будапешт/Львів,4,1,2,1,,"06.06 - 09.06, 01.08 - 04.08, 29.08 - 01.09, 24.10 - 27.10",переїзд комфортабельним автобусом;; проживання в готелі 3-4 *;; 1 сніданок в готелі;; туристичне страхування;,туристичний і паливний збір — 20€;; додаткові активності (допки) за бажанням;; харчування: обіди та вечері;; особисті витрати;; навушники — 2€ за один екскурсійний день;,Кораблик Будапештом з безлімітним ігристим — 35€;; Подорож на човні до острова Бурано — 40€;; Поїздка у Верону — 55€;,Венеція очима місцевого жителя; Бурано: різнокольорові будинки без натовпів; водне таксі Гранд-каналом Венеції; кораблик у Будапешті з ігристим; Падуя: університетське місто з характером; Верона з місцевим жителем і дегустацією вин; найбільше озеро Італії — Гарда; Пескʼєра-дель-Гарда: середньовічне місто на озері; 10+1: 1 місце безкоштовно; Бронюй за 30€; Оплата частинами від mono; Оплата частинами від ПриватБанк,✅ done,"02.06.2026, 14:02:23"
https://eurotrips.ua/vyhidni-u-prazi-drezden/,Вихідні у Празі + Дрезден,Львів/Чехія → Прага → Дрезден → Чехія/Львів,4,1,2,1,,"22.10 - 25.10, 29.10 - 01.11, 10.12 - 13.12, 17.12 - 20.12",переїзд комфортабельним автобусом; проживання в готелі 3-4*; туристичне страхування; 1 ніч в готелі у Празі,харчування(обіди та вечері); навушники — 2 євро за один екскурсійний день; місця у 1-4 ряду автобуса — 10€;; особисті витрати,"Краків — 10 євро; Празький Град — 20 євро(дорослі)/10 євро(діти до 11,99); прогулянка на кораблику по Влтаві — 40 євро(дорослі) / 35 євро(діти до 11,99);",Фотосесія у найінстаграмніших локаціях Праги; Цілий день в Дрездені; Королівська резиденція в Празі та Кракові; Неймовірна долина Саксонська Швейцарія - парк Бастай; обід на кораблику з видом на всю Прагу; Затишний Краків; БРОНЮЙ ЗА 30 ЄВРО; Оплата частинами від Приватбанк; Оплата частинами від Monobank; 10+1: 1 місце безкоштовно,✅ done,"02.06.2026, 14:02:27"
