ОСНОВНИЙ НАПРЯМОК,ТУРІВ EUROTRIPS,ТУРІВ COMPETITORS,ВИЇЗДІВ НА РІК EUROTRIPS,ВИЇЗДІВ НА РІК COMPETITORS,АКТИВНИХ МІСЯЦІВ EUROTRIPS,АКТИВНИХ МІСЯЦІВ COMPETITORS,СЕРЕДНЯ ЦІНА EUROTRIPS,СЕРЕДНЯ ЦІНА COMPETITORS,РІЗНИЦЯ СЕРЕДНІХ ЦІН,ТИП РОЗРИВУ,ІНДЕКС МОЖЛИВОСТІ,СЕЗОННИЙ РОЗРИВ,РІВЕНЬ ПОКРИТТЯ,РОЗРИВ ЦІНИ,ЧАСТКА ВИЇЗДІВ,ПРІОРИТЕТ
Австрія,3,36,42,1306,20,269,166,214,"0,22",НИЗЬКЕ ПОКРИТТЯ,"0,56","0,93","0,08","0,22","0,97",⚡ СЕРЕДНІЙ
Албанія,0,9,,98,0,49,0,514,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,77","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Бельгія,0,4,,226,0,36,0,376,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,76","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Болгарія,0,2,,38,0,14,0,387,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,75","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Боснія і Герцеговина,0,1,,5,0,5,0,183,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,75","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Греція,2,26,35,540,8,149,482,415,"0,14",НИЗЬКЕ ПОКРИТТЯ,"0,54","0,95","0,07","0,06","0,94",⚡ СЕРЕДНІЙ
Данія,0,1,,58,0,9,0,519,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,75","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Естонія,0,2,,41,0,13,0,312,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,75","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Іспанія,2,20,7,681,5,131,489,543,"0,10",НИЗЬКЕ ПОКРИТТЯ,"0,52","0,96","0,09","0,01","0,99",⚡ СЕРЕДНІЙ
Італія,11,95,55,3109,28,643,294,345,"0,15",ЗБАЛАНСОВАНО,"0,51","0,96","0,10","0,02","0,98",⚡ СЕРЕДНІЙ
Латвія,1,0,2,,0,0,299,0,"1,00",ЛИШЕ ВЛАСНИЙ ПРОДУКТ,"0,30","0,00","1,00","1,00","0,00",—
Литва,0,3,,34,0,18,0,152,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,76","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Молдова,0,2,,39,0,17,0,207,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,75","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Нідерланди,1,31,7,1421,0,222,289,351,"0,18",НИЗЬКЕ ПОКРИТТЯ,"0,54","1,00","0,03","0,00","1,00",⚡ СЕРЕДНІЙ
Німеччина,0,18,,779,0,139,0,238,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,79","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Норвегія,1,8,2,201,2,46,589,520,"0,12",ЗБАЛАНСОВАНО,"0,51","0,96","0,11","0,01","0,99",⚡ СЕРЕДНІЙ
Північна Македонія,0,1,,6,0,6,0,110,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,75","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Польща,4,12,9,506,2,75,122,211,"0,42",ЗБАЛАНСОВАНО,"0,47","0,97","0,25","0,02","0,98",—
Португалія,0,3,,63,0,22,0,744,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,76","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Румунія,3,18,8,437,1,142,129,173,"0,26",ЗБАЛАНСОВАНО,"0,51","0,99","0,14","0,02","0,98",⚡ СЕРЕДНІЙ
Словаччина,0,1,,1,0,1,0,204,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,75","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Словенія,0,1,,0,0,0,0,135,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,75","0,00","0,00","0,00","0,00",🔥 ВИСОКИЙ
Туреччина,1,0,15,,8,0,184,0,"1,00",ЛИШЕ ВЛАСНИЙ ПРОДУКТ,"0,30","1,00","1,00","1,00","0,00",—
Угорщина,2,10,31,314,0,68,129,169,"0,24",ЗБАЛАНСОВАНО,"0,53","1,00","0,17","0,09","0,91",⚡ СЕРЕДНІЙ
Фінляндія,0,2,,8,0,2,0,603,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,75","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Франція,3,68,22,2890,0,515,412,364,"0,12",НИЗЬКЕ ПОКРИТТЯ,"0,54","1,00","0,04","0,01","0,99",⚡ СЕРЕДНІЙ
Хорватія,0,9,,163,0,41,0,379,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,77","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
Чехія,3,19,18,788,4,141,176,209,"0,16",ЗБАЛАНСОВАНО,"0,51","0,97","0,14","0,02","0,98",⚡ СЕРЕДНІЙ
Чорногорія,1,12,13,298,4,62,404,361,"0,11",НИЗЬКЕ ПОКРИТТЯ,"0,53","0,94","0,08","0,04","0,96",⚡ СЕРЕДНІЙ
Швейцарія,1,28,12,1179,9,218,244,337,"0,28",НИЗЬКЕ ПОКРИТТЯ,"0,53","0,96","0,03","0,01","0,99",⚡ СЕРЕДНІЙ
Швеція,0,8,,76,0,37,0,336,"1,00",КРИТИЧНИЙ РОЗРИВ,"0,77","1,00","0,00","0,00","1,00",🔥 ВИСОКИЙ
