URL,Назва туру,Маршрут (міста),Кількість днів,Виїзд з / Найближча дата,Входить у вартість,Додатково оплачується,Допки (за бажанням),Особливості туру,Базова ціна (€),Стара ціна (€),Статус парсингу,Дата парсингу
https://www.i-travel.com.ua/?p=48199,Автобусний тур «Неповторна Баварія + Прага та Відень» зі Львова,"біля Оперного театру — символу музичної столиці Європи. Класичний Відень, стримана розкіш і відчуття імперської величі.",2,Найближча дата: 01.05.2026,Не включено,"- Вид туру - Автобусний - Доплата за одномісне розміщення - 4200 грн. 80 EUR - Знижка на дитину віком до 11,99 років - 1050 грн. 20 EUR - Кількість днів - 5 - Кількість нічних переїздів - 2 - Необхідно буде внести передоплату у розмірі 10% протягом 2 днів(я) - Крайній термін оплати - 14 днів – проїзд автобусом – проживання у готелях 3* – сніданки в готелях – оглядові екскурсії у містах Прага, Мюнх",,,,,✅ done,"20.05.2026, 13:47:26"
https://www.i-travel.com.ua/?p=48528,"Автобусний тур «VIVA Італія! Венеція, Мілан, озера Гарда та Комо» зі Львова",проїзд автобусом → готелях → Мілан → років → факультативні екскурсії → екскурсійні об'єкти → особисті витрати → громадський транспорт → Важлива інформація → не будуть → Штрауса → морем → Мілан → побачимо Дуомо,2,Найближча дата: 01.05.2026,Не включено,"- Вид туру - Автобусний - Доплата за одномісне розміщення - 3675 грн. 70 EUR - Знижка на дитину віком до 11,99 років - 525 грн. 10 EUR - Кількість днів - 5 - Кількість нічних переїздів - 2 - Необхідно буде внести передоплату у розмірі 10% протягом 2 днів(я) - Крайній термін оплати - 14 днів – проїзд автобусом – проживання у готелях 2-3* – сніданки в готелях – оглядові екскурсії у містах Венеція, В",,,,,✅ done,"20.05.2026, 13:47:32"
https://www.i-travel.com.ua/?p=44927,Автобусний тур «Баварська мрія» зі Львова,факультативні екскурсії → особисті витрати → громадський транспорт → Важлива інформація → не будуть → візитівка міста → площу Берліна → Описувати марно → яток Берліну → стилі бароко → років → та дорослі → кількість тварин → палацу Ціцилінхоф → екзотичними рослинами → особливості замку → Відень → віденської культури → ють → ярні → Це → Відень → Відвідаємо Хофбург → Далі → Будинок Хундертвассера → при заселенні,2,Найближча дата: 01.05.2026,Не включено,"- Вид туру - Автобусний - Доплата за одномісне розміщення - 7875 грн. 150 EUR - Знижка на дитину віком до 11,99 років - 1575 грн. 30 EUR - Кількість днів - 6 - Кількість нічних переїздів - 1 - Необхідно буде внести передоплату у розмірі 10% протягом 2 днів(я) - Крайній термін оплати - 14 днів - проїзд автобусом єврокласу - проживання у готелях 3* + сніданки - медичне страхування від нещасного випа",,,,,✅ done,"20.05.2026, 13:47:44"
https://www.i-travel.com.ua/?p=28273,Автобусний тур «Париж та голуби: 3 дні в Парижі + Нормандія (без нічних переїздів)» зі Львова,"пройде вулицею Пігаль або, як у народі прийнято називати — «вулицею червоних ліхтарів».",2,Найближча дата: 01.05.2026,Не включено,"- Вид туру - Автобусний - Доплата за одномісне розміщення - 12075 грн. 230 EUR - Знижка на дитину віком до 11,99 років - 2100 грн. 40 EUR - Кількість днів - 7 - Кількість нічних переїздів - 0 - Необхідно буде внести передоплату у розмірі 10% протягом 2 днів(я) - Крайній термін оплати - 14 днів – проїзд автобусом – проживання у готелях 3* – сніданки в готелях – оглядові екскурсії у Кракові, Парижі,",,,,,✅ done,"20.05.2026, 13:47:54"
https://www.i-travel.com.ua/?p=46939,"Автобусний тур “Три бажання: Краків, Прага та Відень” зі Львова","біля Оперного театру — символу музичної столиці Європи. Класичний Відень, стримана розкіш і відчуття імперської величі.",2,Найближча дата: 01.05.2026,Не включено,"- Вид туру - Автобусний - Доплата за одномісне розміщення - 3150 грн. 60 EUR - Знижка на дитину віком до 11,99 років - 1050 грн. 20 EUR - Кількість днів - 4 - Кількість нічних переїздів - 1 - Необхідно буде внести передоплату у розмірі 10% протягом 2 днів(я) - Крайній термін оплати - 14 днів У вартості туру: - проїзд автобусом єврокласу - проживання у готелях 2-3* + сніданки - медичне страхування ",,,,,✅ done,"20.05.2026, 13:48:04"
https://www.i-travel.com.ua/?p=44750,Автобусний тур «Амстердамський експрес: 2 дні в Амстердамі + Прага і Берлін» зі Львова,проїзд автобусом → готелях → Берліні → років → факультативні екскурсії → особисті витрати → громадський транспорт → ятку → це місце → середньовічна атмосфера → Вишеград → гори квітів → цвітіння тюльпанів → Квіти скрізь → палацу Ціцилінхоф → візитівка міста → Описувати марно → яток Берліну → при заселенні → Важлива інформація → не будуть,2,Найближча дата: 01.05.2026,Не включено,"- Вид туру - Автобусний - Доплата за одномісне розміщення - 7875 грн. 150 EUR - Знижка на дитину віком до 11,99 років - 1575 грн. 30 EUR - Кількість днів - 6 - Кількість нічних переїздів - 2 - Необхідно буде внести передоплату у розмірі 10% протягом 2 днів(я) - Крайній термін оплати - 14 днів – проїзд автобусом – проживання у готелях 3* – сніданки в готелях – оглядові екскурсії у Празі, Амстердамі",,,,,✅ done,"20.05.2026, 13:48:11"
https://www.i-travel.com.ua/?p=46056,Автобусний тур «Круасани і тюльпани: Амстердам + Париж» зі Львова,"пройде вулицею Пігаль або, як у народі прийнято називати — «вулицею червоних ліхтарів».",2,Найближча дата: 01.05.2026,Не включено,"- Вид туру - Автобусний - Доплата за одномісне розміщення - 10500 грн. 200 EUR - Знижка на дитину віком до 11,99 років - 1575 грн. 30 EUR - Кількість днів - 8 - Кількість нічних переїздів - 2 - Необхідно буде внести передоплату у розмірі 10% протягом 2 днів(я) - Крайній термін оплати - 14 днів – проїзд автобусом – проживання у готелях 3* – сніданки в готелях – оглядові екскурсії у містах Берлін, А",,,,,✅ done,"20.05.2026, 13:48:20"
https://www.i-travel.com.ua/?p=46007,Автобусний тур «Голландський калейдоскоп» зі Львова,проїзд автобусом → готелях → та Прага → років → факультативні екскурсії → особисті витрати → громадський транспорт → візитівка міста → площу Берліна → Описувати марно → яток Берліну → стилі бароко → років → та дорослі → кількість тварин → палацу Ціцилінхоф → цвітіння тюльпанів → Квіти скрізь → гори квітів → ятку → це місце → середньовічна атмосфера → Вишеград → Важлива інформація → не будуть,2,Найближча дата: 01.05.2026,Не включено,"- Вид туру - Автобусний - Доплата за одномісне розміщення - 9450 грн. 180 EUR - Знижка на дитину віком до 11,99 років - 1575 грн. 30 EUR - Кількість днів - 7 - Кількість нічних переїздів - 2 - Необхідно буде внести передоплату у розмірі 10% протягом 2 днів(я) - Крайній термін оплати - 14 днів – проїзд автобусом – проживання у готелях 3* – сніданки в готелях – оглядові екскурсії у містах Берлін, Ам",,,,,✅ done,"20.05.2026, 13:48:26"
https://www.i-travel.com.ua/?p=46661,"Столичні пригоди: Будапешт, Відень, Прага + Краків!","біля Оперного театру — символу музичної столиці Європи. Класичний Відень, стримана розкіш і відчуття імперської величі.",2,Найближча дата: 01.05.2026,Не включено,"- Вид туру - Автобусний - Доплата за одномісне розміщення - 4725 грн. 90 EUR - Знижка на дитину віком до 11,99 років - 525 грн. 10 EUR - Кількість днів - 4 - Кількість нічних переїздів - 0 - Необхідно буде внести передоплату у розмірі 10% протягом 2 днів(я) - Крайній термін оплати - 14 днів У вартості туру: - проїзд автобусом єврокласу - проживання у готелях 2-3* + сніданки - медичне страхування -",,,,,✅ done,"20.05.2026, 13:48:33"
https://www.i-travel.com.ua/?p=10078,Автобусний тур «Словацька мелодія з Віденським шармом!»,"біля Оперного театру — символу музичної столиці Європи. Класичний Відень, стримана розкіш і відчуття імперської величі.",2,Найближча дата: 01.05.2026,Не включено,"- Вид туру - Автобусний - Доплата за одномісне розміщення - 6300 грн. 120 EUR - Знижка на дитину віком до 11,99 років - 0 грн. 0 EUR - Кількість днів - 5 - Кількість нічних переїздів - 0 - Необхідно буде внести передоплату у розмірі 10% протягом 2 днів(я) - Крайній термін оплати - 14 днів - проїзд автобусом єврокласу - проживання у готелях 2-3* + сніданки - медичне страхування - супровід групи - о",,,,,✅ done,"20.05.2026, 13:48:40"
