ID ТУРУ,НАЗВА ТУРУ,ДЖЕРЕЛО,ТУРОПЕРАТОР,ОСНОВНИЙ НАПРЯМОК,ВСІ НАПРЯМКИ,ТИП ПОДОРОЖІ,ЦІНОВА КАТЕГОРІЯ,СЕРЕДНЯ ЦІНА,ДНІ,НІЧНІ ПЕРЕЇЗДИ,ЕКСКУРСІЇ,НОЧЕЙ В ГОТЕЛЯХ,СІЧЕНЬ,ЛЮТИЙ,БЕРЕЗЕНЬ,КВІТЕНЬ,ТРАВЕНЬ,ЧЕРВЕНЬ,ЛИПЕНЬ,СЕРПЕНЬ,ВЕРЕСЕНЬ,ЖОВТЕНЬ,ЛИСТОПАД,ГРУДЕНЬ,ВИЇЗДІВ НА РІК,АКТИВНИХ МІСЯЦІВ,ПІКОВІ МІСЯЦІ,ПІКОВИЙ МІСЯЦЬ,ТИП СЕЗОННОСТІ,СЕЗОННІСТЬ,БЕЗ НІЧНИХ ПЕРЕЇЗДІВ,КІЛЬКІСТЬ ЗУПИНОК ПО СИГНАТУРІ МАРШРУТУ,КІЛЬКІСТЬ КРАЇН У МАРШРУТІ,КІЛЬКІСТЬ МІСТ У МАРШРУТІ,КІЛЬКІСТЬ ІНШИХ ТОЧОК,УНІКАЛЬНІ ЗУПИНКИ,УНІКАЛЬНІ МІСТА,УНІКАЛЬНІ КРАЇНИ,СКЛАДНІСТЬ МАРШРУТУ,ЩІЛЬНІСТЬ МІСТ,ЩІЛЬНІСТЬ КРАЇН,ЧАСТКА ІНШИХ ТОЧОК
EUR-1,Адріатичне море Італії (3 ночі),EUROTRIPS,Eurotrips,Італія,"Італія, Угорщина",екскурсійний,Стандарт 150 - 300,244,6,2,0,3,0,0,0,0,0,1,2,0,0,0,0,0,3,2,"ЛИПЕНЬ, ЧЕРВЕНЬ",ЛИПЕНЬ,СЕЗОННИЙ,🌸 МІЖСЕЗОН,FALSE,5,2,3,2,1,1,1,"0,1","0,17","0,17","0,4"
EUR-2,Вікенд у Амстердамі,EUROTRIPS,Eurotrips,Нідерланди,"Нідерланди, Німеччина, Чехія, Польща",екскурсійний,Стандарт 150 - 300,289,6,2,3,3,0,0,0,1,0,1,1,1,1,1,1,0,7,7,"КВІТЕНЬ, ЧЕРВЕНЬ, ЛИПЕНЬ",КВІТЕНЬ,ПІВРІЧНИЙ,🌸 МІЖСЕЗОН,FALSE,8,4,5,0,1,1,1,"0,1","0,17","0,17",0
EUR-3,Балтійський круїз БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Латвія,"Латвія, Естонія, Литва, Швеція",екскурсійний,Стандарт 150 - 300,299,6,0,3,5,0,0,0,0,0,1,0,0,0,1,0,0,2,2,"ЧЕРВЕНЬ, ЖОВТЕНЬ",ЧЕРВЕНЬ,СЕЗОННИЙ,☀️ ЛІТО,TRUE,5,4,5,0,1,1,1,"0,1","0,17","0,17",0
EUR-4,Венеція без нічних,EUROTRIPS,Eurotrips,Італія,Італія,екскурсійний,Люкс 300 - 400,309,5,0,3,4,0,0,0,0,0,0,1,2,0,1,1,0,5,4,"СЕРПЕНЬ, ЛИПЕНЬ, ЖОВТЕНЬ",СЕРПЕНЬ,ПІВРІЧНИЙ,☀️ ЛІТО,TRUE,4,3,2,0,1,1,1,"0,1","0,20","0,20",0
EUR-5,Вікенд у Відні + Зальцбург,EUROTRIPS,Eurotrips,Австрія,Австрія,екскурсійний,Стандарт 150 - 300,229,5,1,3,3,0,0,0,0,0,0,1,1,1,2,0,2,7,5,"ЖОВТЕНЬ, ГРУДЕНЬ, ЛИПЕНЬ",ЖОВТЕНЬ,ПІВРІЧНИЙ,☀️ ЛІТО,FALSE,6,4,5,0,1,1,1,"0,1","0,20","0,20",0
EUR-6,Будапешт – Відень,EUROTRIPS,Eurotrips,Угорщина,"Угорщина, Австрія",екскурсійний,Економ 99 - 150,149,4,2,2,1,0,0,0,0,0,1,0,0,0,2,0,0,3,2,"ЖОВТЕНЬ, ЧЕРВЕНЬ",ЖОВТЕНЬ,СЕЗОННИЙ,☀️ ЛІТО,FALSE,2,2,2,0,1,1,1,"0,1","0,25","0,25",0
EUR-7,Вікенд у Трансильванії + Трансфагараш,EUROTRIPS,Eurotrips,Румунія,Румунія,екскурсійний,До 99,99,4,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,4,4,"ЛИПЕНЬ, СЕРПЕНЬ, ВЕРЕСЕНЬ",ЛИПЕНЬ,СЕЗОННИЙ,☀️ ЛІТО,FALSE,2,1,1,1,1,1,1,"0,1","0,25","0,25","0,5"
EUR-8,Вікенд у Венеції,EUROTRIPS,Eurotrips,Італія,Італія,екскурсійний,Економ 99 - 150,149,4,2,,1,0,0,0,0,0,1,1,2,0,1,1,0,6,5,"СЕРПЕНЬ, ЧЕРВЕНЬ, ЛИПЕНЬ",СЕРПЕНЬ,ПІВРІЧНИЙ,☀️ ЛІТО,FALSE,3,2,2,0,1,1,1,"0,1","0,25","0,25",0
EUR-9,Вихідні у Празі + Дрезден,EUROTRIPS,Eurotrips,Чехія,"Чехія, Німеччина, Польша",екскурсійний,Економ 99 - 150,129,4,2,1,1,0,0,0,0,0,1,0,0,1,2,0,2,6,4,"ЖОВТЕНЬ, ГРУДЕНЬ, ЧЕРВЕНЬ",ЖОВТЕНЬ,ПІВРІЧНИЙ,☀️ ЛІТО,FALSE,3,2,2,0,1,1,1,"0,1","0,25","0,25",0
EUR-10,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Чехія,"Чехія, Німеччина, Польша",екскурсійний,Стандарт 150 - 300,199,4,0,1,3,0,0,0,0,0,0,0,0,1,2,0,2,5,3,"ЖОВТЕНЬ, ГРУДЕНЬ, ВЕРЕСЕНЬ",ЖОВТЕНЬ,ПІВРІЧНИЙ,☀️ ЛІТО,TRUE,4,3,2,1,1,1,1,"0,1","0,25","0,25","0,25"
