ID ТУРУ,ID КЛАСТЕРА,ПОДІБНІСТЬ,ОСНОВНИЙ НАПРЯМОК,ДНІ,ТУРОПЕРАТОР
EUR-1,1,100%,Італія,6,Eurotrips
EUR-4,1,29%,Італія,5,Eurotrips
EUR-8,1,33%,Італія,4,Eurotrips
EUR-12,1,33%,Італія,5,Eurotrips
EUR-17,1,44%,Італія,6,Eurotrips
EUR-20,1,33%,Італія,5,Eurotrips
EUR-22,1,29%,Італія,5,Eurotrips
EUR-23,1,33%,Італія,6,Eurotrips
EUR-29,1,50%,Італія,6,Eurotrips
ACC-59,1,30%,Італія,5,Accord tour
ACC-68,1,33%,Італія,4,Accord tour
ACC-75,1,43%,Італія,5,Accord tour
ACC-91,1,30%,Італія,4,Accord tour
ACC-95,1,38%,Італія,6,Accord tour
ACC-98,1,57%,Італія,5,Accord tour
ACC-121,1,27%,Італія,7,Accord tour
ACC-130,1,27%,Італія,6,Accord tour
ADR-35,1,50%,Італія,4,Adriatic
ADR-44,1,43%,Італія,5,Adriatic
ADR-82,1,43%,Італія,5,Adriatic
ADR-121,1,25%,Італія,8,Adriatic
ADR-130,1,29%,Італія,5,Adriatic
ADR-132,1,30%,Італія,9,Adriatic
ITR-2,1,43%,Італія,5,ITravel
ITR-13,1,33%,Італія,6,ITravel
ITR-15,1,27%,Італія,7,ITravel
ITR-16,1,60%,Італія,4,ITravel
ITR-26,1,25%,Італія,5,ITravel
ITR-38,1,50%,Італія,4,ITravel
RIC-3,1,29%,Італія,8,Rich Tour
TAN-37,1,60%,Італія,5,Tango Travel
EUR-26,1,17%,Італія,8,Eurotrips
ACC-64,1,22%,Італія,6,Accord tour
ACC-73,1,22%,Італія,5,Accord tour
ACC-74,1,20%,Італія,4,Accord tour
ACC-107,1,22%,Італія,6,Accord tour
ADR-5,1,22%,Італія,5,Adriatic
ADR-58,1,22%,Італія,6,Adriatic
ITR-18,1,22%,Італія,5,ITravel
ITR-33,1,22%,Італія,6,ITravel
ITR-39,1,22%,Італія,5,ITravel
ADR-80,1,20%,Італія,6,Adriatic
ACC-58,1,9%,Італія,5,Accord tour
ACC-60,1,20%,Італія,6,Accord tour
ITR-30,1,21%,Італія,7,ITravel
ACC-70,1,23%,Італія,6,Accord tour
ADR-61,1,14%,Італія,5,Adriatic
ACC-79,1,17%,Італія,7,Accord tour
ACC-80,1,15%,Італія,7,Accord tour
ACC-86,1,18%,Італія,6,Accord tour
ACC-90,1,17%,Італія,6,Accord tour
ACC-117,1,17%,Італія,6,Accord tour
ADR-15,1,17%,Італія,8,Adriatic
DAV-7,1,17%,Італія,8,DavClub
ITR-23,1,18%,Італія,7,ITravel
ADR-18,1,8%,Італія,6,Adriatic
ADR-39,1,10%,Італія,5,Adriatic
ACC-87,1,15%,Італія,6,Accord tour
ACC-82,1,12%,Італія,8,Accord tour
ACC-126,1,20%,Італія,8,Accord tour
ACC-127,1,12%,Італія,8,Accord tour
ADR-2,1,8%,Італія,6,Adriatic
ADR-69,1,11%,Італія,7,Adriatic
ACC-105,1,12%,Італія,8,Accord tour
ITR-14,1,17%,Італія,8,ITravel
ADR-120,1,17%,Італія,8,Adriatic
ADR-36,1,11%,Італія,7,Adriatic
ADR-125,1,0%,Італія,9,Adriatic
ACC-69,1,17%,Італія,5,Accord tour
ACC-116,1,13%,Італія,6,Accord tour
ACC-85,1,13%,Італія,10,Accord tour
ACC-129,1,15%,Італія,10,Accord tour
ACC-128,1,11%,Італія,9,Accord tour
ACC-65,1,5%,Італія,8,Accord tour
ACC-83,1,9%,Італія,8,Accord tour
DAV-4,1,0%,Італія,9,DavClub
DAV-9,1,14%,Італія,4,DavClub
ACC-101,1,6%,Італія,6,Accord tour
ADR-41,1,10%,Італія,6,Adriatic
ITR-52,1,10%,Італія,7,ITravel
ACC-14,1,6%,Італія,7,Accord tour
ACC-92,1,6%,Італія,8,Accord tour
ADR-119,1,9%,Італія,10,Adriatic
ACC-142,1,5%,Італія,10,Accord tour
ACC-84,1,5%,Італія,8,Accord tour
ACC-137,1,0%,Італія,10,Accord tour
ACC-120,1,0%,Італія,9,Accord tour
ACC-145,1,7%,Італія,7,Accord tour
EUR-2,2,100%,Нідерланди,6,Eurotrips
ACC-1,2,38%,Нідерланди,7,Accord tour
ACC-3,2,29%,Нідерланди,8,Accord tour
ACC-7,2,55%,Нідерланди,7,Accord tour
ACC-8,2,38%,Нідерланди,7,Accord tour
ACC-11,2,38%,Нідерланди,7,Accord tour
ACC-49,2,36%,Нідерланди,6,Accord tour
ACC-51,2,42%,Нідерланди,4,Accord tour
ACC-57,2,25%,Нідерланди,8,Accord tour
ACC-104,2,25%,Нідерланди,7,Accord tour
ACC-122,2,33%,Нідерланди,6,Accord tour
ACC-165,2,33%,Нідерланди,6,Accord tour
ACC-181,2,38%,Нідерланди,6,Accord tour
ADR-49,2,31%,Нідерланди,7,Adriatic
ADR-50,2,29%,Нідерланди,6,Adriatic
ADR-52,2,29%,Нідерланди,6,Adriatic
ADR-74,2,27%,Нідерланди,6,Adriatic
ADR-126,2,36%,Нідерланди,7,Adriatic
RIC-7,2,30%,Нідерланди,7,Rich Tour
ACC-53,2,14%,Нідерланди,6,Accord tour
ACC-144,2,24%,Нідерланди,7,Accord tour
ADR-27,2,21%,Нідерланди,6,Adriatic
ADR-43,2,18%,Нідерланди,7,Adriatic
ADR-59,2,18%,Нідерланди,9,Adriatic
ADR-94,2,21%,Нідерланди,5,Adriatic
ADR-112,2,17%,Нідерланди,7,Adriatic
ADR-88,2,13%,Нідерланди,8,Adriatic
ADR-107,2,19%,Нідерланди,6,Adriatic
ADR-124,2,14%,Нідерланди,5,Adriatic
EUR-3,3,100%,Латвія,6,Eurotrips
EUR-5,4,100%,Австрія,5,Eurotrips
EUR-27,4,50%,Австрія,4,Eurotrips
EUR-36,4,33%,Австрія,4,Eurotrips
ACC-19,4,38%,Австрія,4,Accord tour
ACC-77,4,43%,Австрія,5,Accord tour
ACC-88,4,25%,Австрія,3,Accord tour
ADR-3,4,33%,Австрія,4,Adriatic
ADR-7,4,25%,Австрія,4,Adriatic
ADR-9,4,29%,Австрія,4,Adriatic
ADR-23,4,25%,Австрія,4,Adriatic
ADR-25,4,38%,Австрія,4,Adriatic
ADR-38,4,43%,Австрія,4,Adriatic
ADR-57,4,27%,Австрія,6,Adriatic
ADR-129,4,33%,Австрія,4,Adriatic
DAV-8,4,33%,Австрія,6,DavClub
ITR-5,4,29%,Австрія,4,ITravel
ITR-9,4,43%,Австрія,4,ITravel
ITR-11,4,33%,Австрія,4,ITravel
ITR-20,4,33%,Австрія,7,ITravel
ITR-21,4,36%,Австрія,6,ITravel
ADR-42,4,20%,Австрія,5,Adriatic
ADR-46,4,18%,Австрія,7,Adriatic
ITR-19,4,18%,Австрія,6,ITravel
ACC-110,4,22%,Австрія,4,Accord tour
ADR-66,4,17%,Австрія,3,Adriatic
ITR-10,4,22%,Австрія,5,ITravel
ITR-12,4,20%,Австрія,4,ITravel
ITR-1,4,22%,Австрія,5,ITravel
ITR-24,4,14%,Австрія,6,ITravel
ITR-28,4,18%,Австрія,7,ITravel
ITR-3,4,9%,Австрія,6,ITravel
EUR-6,5,100%,Угорщина,4,Eurotrips
EUR-21,5,100%,Угорщина,4,Eurotrips
ACC-113,5,29%,Угорщина,5,Accord tour
ACC-143,5,40%,Угорщина,4,Accord tour
ACC-171,5,40%,Угорщина,4,Accord tour
ACC-119,5,20%,Угорщина,4,Accord tour
ACC-183,5,22%,Угорщина,5,Accord tour
ADR-133,5,20%,Угорщина,3,Adriatic
EUR-7,6,100%,Румунія,4,Eurotrips
ADR-11,6,33%,Румунія,3,Adriatic
ADR-13,6,33%,Румунія,4,Adriatic
ADR-21,6,33%,Румунія,4,Adriatic
EUR-11,6,17%,Румунія,4,Eurotrips
EUR-37,6,17%,Румунія,4,Eurotrips
ACC-133,6,13%,Румунія,3,Accord tour
ACC-149,6,20%,Румунія,4,Accord tour
ACC-150,6,17%,Румунія,5,Accord tour
ACC-161,6,11%,Румунія,4,Accord tour
ACC-167,6,0%,Румунія,3,Accord tour
ACC-100,6,0%,Румунія,3,Accord tour
ACC-155,6,9%,Румунія,4,Accord tour
ACC-162,6,8%,Румунія,5,Accord tour
EUR-9,7,100%,Чехія,4,Eurotrips
EUR-10,7,40%,Чехія,4,Eurotrips
ACC-16,7,25%,Чехія,5,Accord tour
ACC-17,7,25%,Чехія,4,Accord tour
