,,,,"Вибери рівень подібності та перебудуй кластери натиснувши ""Кластерізація"" ","0,25","Поріг: 0.25 | 21.05.2026, 12:56:29",,,,,,,,,,,,,,,,,,,,,,,
,,Швейцарія | Eurotrips | EUR-39,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Вікенд на трьох!  Краків, Відень, Будапешт | Accord tour | ACC-22",,,,,,КЛАСТЕР (ВИБІРКА СХОЖИХ МІЖ СОБОЮ ТУРІВ),,,ПО НАПРЯМКУ,,,,,,,,,,,,,,,,,,
ПОЗИЦІЯ,ТУРОПЕРАТОР,НАЗВА ТУРУ,ID ТУРУ,ОСНОВНИЙ НАПРЯМОК,ТИП ПОДОРОЖІ,ЦІНОВА КАТЕГОРІЯ,СЕРЕДНЯ ЦІНА,ПОЗИЦІЯ ЗА ЦІНОЮ,МІНІМАЛЬНА ЦІНА,РІЗНИЦЯ ДО МІНІМАЛЬНОЇ ЦІНИ,СЕРЕДНЯ ЦІНА,МЕДІАННА ЦІНА,ВІДХИЛЕННЯ ВІД СЕРЕДНЬОЇ ЦІНИ,ВІДХИЛЕННЯ ВІД МЕДІАННОЇ ЦІНИ,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ПОЗИЦІЯ ЗА ЦІНОЮ,РІЗНИЦЯ ДО МІНІМАЛЬНОЇ ЦІНИ,ЦІНА ЗА ДЕНЬ,ДНІ,НІЧНІ ПЕРЕЇЗДИ,ЕКСКУРСІЇ,НОЧЕЙ В ГОТЕЛЯХ,ВИЇЗДІВ НА РІК,АКТИВНИХ МІСЯЦІВ,ПІКОВІ МІСЯЦІ,ПІКОВИЙ МІСЯЦЬ,ТИП СЕЗОННОСТІ,ПОДІБНІСТЬ,МАРШРУТ
1,Eurotrips,Швейцарія,EUR-39,Швейцарія,екскурсійний,Стандарт 150 - 300,€244,4,€188,€56,€333,€334,-€89,-€90,"-26,84%",4,€56,€41,6,1,4,4,12,9,"КВІТЕНЬ, ЧЕРВЕНЬ, ЛИПЕНЬ",КВІТЕНЬ,ЦІЛИЙ РІК,"0,010",Відень → Цюріх → Люцерн → Берн → Інтерлакен → Гріндельвальд → Рейнський водоспад → Прага
2,Accord tour,"Розкішна подорож  Франція та Швейцарія  Париж, Нормандія, Берн, Цюріх, Люцерн",ACC-40,Швейцарія,екскурсійний,Люкс 300 - 400,€389,22,€188,€201,€333,€334,€56,€56,"16,64%",24,€201,€56,7,0,6,6,89,9,"СЕРПЕНЬ, ЖОВТЕНЬ, ЧЕРВЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,"0,004",Вроцлав → Вюрцбург → Бамберг → Париж → Версаль → Діснейленд → Берн → Інтерлакен → Цюріх → Люцерн → Прага
3,Accord tour,В повному шоколаді... або 2 дні в Швейцарії!,ACC-47,Швейцарія,екскурсійний,Люкс 300 - 400,€311,12,€188,€123,€333,€334,-€23,-€23,"-6,90%",13,€123,€52,6,0,5,5,106,9,"ЧЕРВЕНЬ, ЛИПЕНЬ, ЖОВТЕНЬ",ЧЕРВЕНЬ,ЦІЛИЙ РІК,"0,004",Краків → Зальцбург → Орлине Гніздо → Цюріх → Рейнский водоспад → Люцерн → Берн → Інтерлакен → Кольмар → Страсбург → Прага
4,Accord tour,"Дивовижний світ  4 дні в Швейцарії Женева, Берн, Люцерн + Монблан",ACC-15,Швейцарія,екскурсійний,Люкс 300 - 400,€383,20,€188,€195,€333,€334,€49,€49,"14,69%",21,€195,€55,7,0,6,6,58,9,"СЕРПЕНЬ, ЖОВТЕНЬ, ЛИПЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,"0,003",Краків → Зальцбург → Берн → Інтерлакен → Женева → Лозанна → Монтре → Ансі → Монблан → Цюріх → Люцерн → Прага
5,Accord tour,"Альпійська симфонія   Цюрих, Женева, Берн + Монблан",ACC-24,Швейцарія,екскурсійний,Люкс 300 - 400,€386,21,€188,€198,€333,€334,€52,€52,"15,59%",23,€198,€55,7,0,6,6,61,9,"СЕРПЕНЬ, ЛИПЕНЬ, ЖОВТЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,"0,003",Краків → Прага → Нюрнберг → Страсбург → Кольмар → Берн → Інтерлакен → Женева → Ансі → Монблан → Цюріх → Люцерн → Прага
6,Accord tour,"Відпочинок на висоті Швейцарія, Баварія, Австрія  Острів Майнау, Замок Нойшвайнштайн, Світ Сваровскі...",ACC-56,Швейцарія,екскурсійний,Люкс 300 - 400,€374,19,€188,€186,€333,€334,€40,€40,"11,99%",20,€186,€53,7,0,6,6,9,5,"ТРАВЕНЬ, ЧЕРВЕНЬ, ЛИПЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,"0,003",Вроцлав → Саксонська Швейцарія → Бамберг → О.Майнау → Цюріх → Люцерн → Берн → Інтерлакен → Замок Нойшвайнштайн → Зальцбург Гальштат → Відень → Брно
7,Accord tour,"Швейцарська казка  Цюріх, Берн, Женева + Монблан",ACC-108,Швейцарія,екскурсійний,Люкс 300 - 400,€334,14,€188,€146,€333,€334,€0,€0,"0,00%",15,€146,€56,6,0,5,5,17,6,"ТРАВЕНЬ, ЧЕРВЕНЬ, ЛИПЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,"0,003",Краків → Прага → Нюрнберг → Страсбург → Мулюз → Берн → Інтерлакен → Ансі → Монблан → Цюрих → Люцерн → Рейнський водоспад → Прага → Брно
8,Accord tour,"Вікенд в Швейцарію або Фондю для двох!  Берн, Цюріх, Люцерн, Інтерлакен, Гріндельвальд",ACC-52,Швейцарія,екскурсійний,Стандарт 150 - 300,€306,11,€188,€118,€333,€334,-€27,-€28,"-8,25%",12,€118,€61,5,0,3,4,92,9,"СЕРПЕНЬ, ЧЕРВЕНЬ, ЛИПЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,"0,003",Вроцлав → Саксонська Швейцарія → Дрезден → Берн → Бернський оберланд → Цюріх → Рейнский водоспад → Люцерн → Прага
9,Tango Travel,Мої швейцарські вихідні,TAN-41,Швейцарія,екскурсійний,Стандарт 150 - 300,€189,2,€188,€1,€333,€334,-€144,-€145,"-43,33%",2,€1,€38,5,2,1,2,9,6,"ЛИПЕНЬ, СЕРПЕНЬ, ЖОВТЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,"0,003",Будапешт → Верона → Берн → Люцерн → Цюріх
10,Accord tour,Секрети смаку: вся Швейцарія + Зальцбург та Відень!!!,ACC-23,Швейцарія,екскурсійний,Люкс 300 - 400,€369,18,€188,€181,€333,€334,€36,€36,"10,64%",19,€181,€53,7,0,5,6,91,9,"СЕРПЕНЬ, ЖОВТЕНЬ, ЧЕРВЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,"0,003",Краків → Відень → Ліхтенштейн → Цюріх → Рейнский водоспад → Люцерн → Женева → Монблан → Берн → Інтерлакен → Зальцбург → Долина Зальцкаммергут → Будапешт → Егер
11,Accord tour,"Мелодії Альп... Швейцарія, Баварія, Австрія +Майнау –острів весняних мрій...",ACC-78,Швейцарія,екскурсійний,Стандарт 150 - 300,€270,7,€188,€82,€333,€334,-€64,-€64,"-19,19%",8,€82,€54,5,0,4,4,70,9,"ЛИПЕНЬ, ТРАВЕНЬ, СЕРПЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,"0,003",Краків → Мюнхен → Замок Нойшванштайн → Цюрих → Люцерн → Інтерлакен → Рейнський водоспад → Зальцбург → Зальцкаммергут → Відень
12,Accord tour,"Мелодії Альп...  Швейцарія, Баварія, Австрія...",ACC-89,Швейцарія,екскурсійний,Стандарт 150 - 300,€270,8,€188,€82,€333,€334,-€64,-€64,"-19,19%",8,€82,€54,5,0,4,4,70,9,"ЛИПЕНЬ, ТРАВЕНЬ, СЕРПЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,"0,003",Краків → Мюнхен → Замок Нойшванштайн → Цюрих → Люцерн → Інтерлакен → Рейнський водоспад → Зальцбург → Зальцкаммергут → Відень
