ID ТУРУ,ВСІ НАПРЯМКИ,ТУРОПЕРАТОР,ТИП ПОДОРОЖІ,ЦІНОВА КАТЕГОРІЯ,НАЗВА ТУРУ,МАРШРУТ,МІНІМАЛЬНА ЦІНА,МАКСИМАЛЬНА ЦІНА,СЕРЕДНЯ ЦІНА,ДНІ,НОЧІ,ЕКСКУРСІЇ ВКЛЮЧЕНО,КІЛЬКІСТЬ ТУРІВ,НОЧЕЙ В ГОТЕЛЯХ,СІЧЕНЬ,ЛЮТИЙ,БЕРЕЗЕНЬ,КВІТЕНЬ,ТРАВЕНЬ,ЧЕРВЕНЬ,ЛИПЕНЬ,СЕРПЕНЬ,ВЕРЕСЕНЬ,ЖОВТЕНЬ,ЛИСТОПАД,ГРУДЕНЬ,РОЗКИД ЦІНИ,РОЗКИД ЦІНИ %,ЦІНА ЗА ДЕНЬ,ЦІНА ЗА ЕКСКУРСІЮ,БЕЗ НІЧНИХ ПЕРЕЇЗДІВ,КІЛЬКІСТЬ ТУРІВ ОПЕРАТОРА В НАПРЯМКУ,СЕРЕДНЯ ЦІНА ПО НАПРЯМКУ,ВІДХИЛЕННЯ ВІД СЕРЕДНЬОЇ ЦІНИ ПО НАПРЯМКУ,АКТИВНІ МІСЯЦІ,КОНЦЕНТРАЦІЯ СЕЗОННОСТІ,ПІКОВИЙ МІСЯЦЬ,URL
EUR-1,"Італія, Угорщина",Eurotrips,Екскурсійний,Стандарт 150 - 300,Адріатичне море Італії (3 ночі),Львів → / → Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Будапешт → / → Львів,239,249,244,6,2,0,3,3,0,0,0,0,0,1,2,0,0,0,0,0,10,"4,10%","40,67","0,00",FALSE,2,262,-18,2,"0,667",ЛИПЕНЬ,https://eurotrips.ua/adriatychne-more-italiyi/
EUR-2,"Нідерланди, Німеччина, Чехія, Польща",Eurotrips,Екскурсійний,Стандарт 150 - 300,Вікенд у Амстердамі,Львів → / → Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,289,,289,6,2,3,7,3,0,0,0,1,0,1,1,1,1,1,1,0,,"0,00%","48,17","96,33",FALSE,1,289,0,7,"0,143",КВІТЕНЬ,https://eurotrips.ua/weekend-amsterdam/
EUR-3,"Латвія, Естонія, Литва, Швеція",Eurotrips,Екскурсійний,Стандарт 150 - 300,Балтійський круїз БЕЗ НІЧНИХ,Львів → Каунас → Рига → Таллінн → Стокгольм → Вільнюс → Львів,299,,299,6,0,3,2,5,0,0,0,0,0,1,0,0,0,1,0,0,,"0,00%","49,83","99,67",TRUE,1,299,0,2,"0,500",ЧЕРВЕНЬ,https://eurotrips.ua/baltijskyj-kruyiz/
EUR-4,Італія,Eurotrips,Екскурсійний,Люкс 300 - 400,Венеція без нічних,Львів → Словенія → Венеція → Бурано → Будапешт → Львів,309,,309,5,0,3,5,4,0,0,0,0,0,0,1,2,0,1,1,0,,"0,00%","61,80","103,00",TRUE,8,301,8,4,"0,400",СЕРПЕНЬ,https://eurotrips.ua/venecziya-bez-nichnyh/
EUR-5,Австрія,Eurotrips,Екскурсійний,Стандарт 150 - 300,Вікенд у Відні + Зальцбург,Львів → / → Будапешт → Відень → Зальцбург → Гальштат → Прага → Львів → / → Польща,229,,229,5,1,3,7,3,0,0,0,0,0,0,1,1,1,2,0,2,,"0,00%","45,80","76,33",FALSE,2,194,35,5,"0,286",ЖОВТЕНЬ,https://eurotrips.ua/viden-zaltsburh/
EUR-6,"Угорщина, Австрія",Eurotrips,Екскурсійний,Економ 99 - 150,Будапешт – Відень,Львів → Будапешт → Відень → Львів,149,,149,4,2,2,3,1,0,0,0,0,0,1,0,0,0,2,0,0,,"0,00%","37,25","74,50",FALSE,2,129,20,2,"0,667",ЖОВТЕНЬ,https://eurotrips.ua/vikend-u-budapeshti-ta-vidni/
EUR-7,Румунія,Eurotrips,Екскурсійний,До 99,Вікенд у Трансильванії + Трансфагараш,Чернівці → Брашов → Трансфагараш → Чернівці,99,,99,4,2,1,4,1,0,0,0,0,0,0,1,1,1,1,0,0,,"0,00%","24,75","99,00",FALSE,3,129,-30,4,"0,250",ЛИПЕНЬ,https://eurotrips.ua/transylvaniya-vikend/
EUR-8,Італія,Eurotrips,Екскурсійний,Економ 99 - 150,Вікенд у Венеції,Львів → / → Будапешт → Венеція → Бурано → Будапешт → / → Львів,149,,149,4,2,,6,1,0,0,0,0,0,1,1,2,0,1,1,0,,"0,00%","37,25","0,00",FALSE,8,301,-152,5,"0,333",СЕРПЕНЬ,https://eurotrips.ua/vikend-u-venetsiyi/
EUR-9,"Чехія, Німеччина, Польша",Eurotrips,Екскурсійний,Економ 99 - 150,Вихідні у Празі + Дрезден,Львів → / → Чехія → Прага → Дрезден → Чехія → / → Львів,129,,129,4,2,1,6,1,0,0,0,0,0,1,0,0,1,2,0,2,,"0,00%","32,25","129,00",FALSE,2,164,-35,4,"0,333",ЖОВТЕНЬ,https://eurotrips.ua/vyhidni-u-prazi-drezden/
EUR-10,"Чехія, Німеччина, Польша",Eurotrips,Екскурсійний,Стандарт 150 - 300,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,Львів → / → Польща → Прага → Дрезден → Саксонська Швейцарія → Польща → / → Львів,199,,199,4,0,1,5,3,0,0,0,0,0,0,0,0,1,2,0,2,,"0,00%","49,75","199,00",TRUE,2,164,35,3,"0,400",ЖОВТЕНЬ,https://eurotrips.ua/praga-drezden/
EUR-11,Румунія,Eurotrips,Екскурсійний,Стандарт 150 - 300,Вікенд у Трансильванії + Бухарест,Львів → Брашов → Замок Дракули → Трансильванія → Замок Кантакузіно → Бухарест → Львів,159,,159,4,1,1,3,2,0,0,0,0,0,0,0,0,0,2,0,1,,"0,00%","39,75","159,00",FALSE,3,129,30,2,"0,667",ЖОВТЕНЬ,https://eurotrips.ua/transylvaniya/
EUR-12,Італія,Eurotrips,Екскурсійний,Люкс 300 - 400,Італійські різдвяні ярмарки,Львів → Верона → Мілан → Венеція → Львів,229,,229,5,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,,"0,00%","45,80","114,50",FALSE,8,301,-72,2,"0,500",ЛИСТОПАД,https://eurotrips.ua/italijski-rizdvyani-yarmarky/
EUR-13,"Іспанія, Італія, Франція",Eurotrips,Екскурсійний,Стандарт 150 - 300,Канікули в Барселоні,Львів → Егер → Лідо ді Єзоло → Венеція → Барселона → Порт Авентура → Ніцца → Монако → Песк'єра-дель-Гарда → Гардаленд → Львів,399,,399,8,2,1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,,"0,00%","49,88","399,00",FALSE,1,399,0,1,"1,000",ЖОВТЕНЬ,https://eurotrips.ua/kanikuly-v-barseloni/
EUR-14,Польща,Eurotrips,Екскурсійний,Економ 99 - 150,Канікули в Енерджиландії + Краків БЕЗ НІЧНИХ,Львів → Краків → Закопане → Львів,129,,129,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,"0,00%","43,00","129,00",TRUE,4,122,8,0,"0,000",СІЧЕНЬ,https://eurotrips.ua/vikend-u-krakovi/
EUR-15,Польща,Eurotrips,Екскурсійний,Люкс 300 - 400,Краків Закопане Морське Око БЕЗ НІЧНИХ,Львів → Краків → Закопане → Морське Око → Львів,99,,99,3,0,1,6,2,0,0,0,0,0,1,1,1,1,2,0,0,,"0,00%","33,00","99,00",TRUE,4,122,-23,5,"0,333",ЖОВТЕНЬ,https://eurotrips.ua/krakiv-zakopane-morske-oko-bez-nichnyh/
EUR-16,"Франція, Італія, Словенія",Eurotrips,Екскурсійний,Люкс 300 - 400,Найкращі пляжі Європи,Львів → Мукачево → Будапешт → Любляна → озеро Блед → Лігурійське узбережжя → Портофіно → Ніцца → Монако → Канни → Сен-Тропе → озеро Гарда → Верона → Будапешт → Львів,399,,399,7,1,1,4,5,0,0,0,0,0,1,1,1,1,0,0,0,,"0,00%","57,00","399,00",FALSE,1,399,0,4,"0,250",ЧЕРВЕНЬ,https://eurotrips.ua/best-beaches/
EUR-17,Італія,Eurotrips,Екскурсійний,Стандарт 150 - 300,Мілан — Комо — Альпи,Львів → Будапешт → Верона → Мілан → озеро Комо → озеро Гарда → Доломітові Альпи → / → озеро Браєс → Венеція → Будапешт → / → Львів,219,,219,6,2,4,19,3,0,0,0,2,4,3,2,2,3,2,1,0,,"0,00%","36,50","54,75",FALSE,8,301,-82,8,"0,211",ТРАВЕНЬ,https://eurotrips.ua/milan-komo-alps/
EUR-18,Італія,Eurotrips,Екскурсійний,Люкс 300 - 400,Морська Італія (7 ночей на Лідо-ді-Єзоло),Львів → Лідо ді Єзоло → Верона → озеро Гарда → Доломітові Альпи → Венеція → Бурано → Флоренція → Львів,539,559,549,10,2,0,3,7,0,0,0,0,0,1,0,0,2,0,0,0,20,"3,64%","54,90","0,00",FALSE,8,301,248,2,"0,667",ВЕРЕСЕНЬ,https://eurotrips.ua/morska-italiya-5-nochej-na-lido-di-yezolo/
EUR-19,Польща,Eurotrips,Екскурсійний,Економ 99 - 150,Новий рік у Кракові БЕЗ НІЧНИХ,Львів → Краків → Закопане → Львів,129,,129,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,,"0,00%","43,00","129,00",TRUE,4,122,8,1,"1,000",ГРУДЕНЬ,https://eurotrips.ua/novyj-rik-u-krakovi/?utm_source=google&utm_campaign=performance_max&utm_medium=cpc&utm_content=performance_max
EUR-20,Італія,Eurotrips,Екскурсійний,Стандарт 150 - 300,Новий рік у Мілані,Львів → Верона → Мілан → Венеція → Львів,229,,229,5,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,,"0,00%","45,80","114,50",FALSE,8,301,-72,1,"1,000",ГРУДЕНЬ,https://eurotrips.ua/novyj-rik-u-milani/?utm_source=google&utm_campaign=performance_max&utm_medium=cpc&utm_content=performance_max
EUR-21,"Угорщина, Австрія",Eurotrips,Екскурсійний,Економ 99 - 150,Вікенд у Будапешті + Відень,Львів → Стрий → Мукачево → Будапешт → Відень,109,,109,4,1,1,28,2,0,0,0,1,2,3,4,4,4,3,3,4,,"0,00%","27,25","109,00",FALSE,2,129,-20,9,"0,143",ЛИПЕНЬ,https://eurotrips.ua/vikend-v-budapeshti-viden/
EUR-22,"Італія, Словенія",Eurotrips,Екскурсійний,Стандарт 150 - 300,Новий рік у Венеції БЕЗ НІЧНИХ,Львів → Словенія → Венеція → Бурано → Будапешт → Львів,309,,309,5,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,,"0,00%","61,80","103,00",TRUE,1,309,0,1,"1,000",ГРУДЕНЬ,https://eurotrips.ua/novyj-rik-u-venecziyi/
EUR-23,Італія,Eurotrips,Екскурсійний,Люкс 300 - 400,Новий рік у Римі,Львів → Верона → Рим → Венеція → Львів,329,,329,6,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,,"0,00%","54,83","329,00",FALSE,8,301,28,1,"1,000",ГРУДЕНЬ,https://eurotrips.ua/novyj-rik-v-rymi/
EUR-24,"Франція, Чехія, Австрія, Польща",Eurotrips,Екскурсійний,Люкс 300 - 400,Париж + Нормандія,Львів → Прага → Париж → Нормандія → Відень → Польща → / → Львів,389,,389,7,2,3,14,4,0,0,0,2,3,1,2,2,2,2,0,0,,"0,00%","55,57","129,67",FALSE,1,389,0,7,"0,214",ТРАВЕНЬ,https://eurotrips.ua/paris-normandiya/
EUR-25,"Франція, Бельгія, Нідерланди",Eurotrips,Екскурсійний,Тяжкий Люкс 400 +,Мон-Сен-Мішель – Париж – Брюссель,Львів → Краків → Дрезден → Брюссель → Брюгге → Антверпен → Амстердам → Сен-Мало → Мон-Сен-Мішель → Руан → Нормандія → Париж → Вроцлав → Львів,449,,449,9,2,6,4,6,0,0,0,0,0,1,1,1,1,0,0,0,,"0,00%","49,89","74,83",FALSE,1,449,0,4,"0,250",ЧЕРВЕНЬ,https://eurotrips.ua/paryzh-bryusel-mon-sen-mishel/
EUR-26,Італія,Eurotrips,Екскурсійний,Люкс 300 - 400,Південна Італія,Львів → Будапешт → Рим → Неаполь → / → Помпеї → Неаполь → / → Амальфі → Неаполь → / → острів Капрі → Венеція → /острів → Бурано → Львів,379,409,394,8,2,3,6,5,0,0,0,1,1,1,1,1,1,0,0,0,30,"7,61%","49,25","131,33",FALSE,8,301,93,6,"0,167",КВІТЕНЬ,https://eurotrips.ua/neapol-rim/
EUR-27,Австрія,Eurotrips,Екскурсійний,Стандарт 150 - 300,Пікнік в Альпах + Гальштат,Зальцбург → Гальштат → Будапешт → / → Львів,159,,159,4,1,1,6,2,0,0,0,0,0,1,1,1,1,1,1,0,,"0,00%","39,75","159,00",FALSE,2,194,-35,6,"0,167",ЧЕРВЕНЬ,https://eurotrips.ua/piknik-v-alpah-halshtat/
EUR-28,"Чехія, Польща, Словаччина, Угорщина",Eurotrips,Екскурсійний,Стандарт 150 - 300,Прага-Відень-Будапешт,Львів → Краків → Прага → Братислава → Будапешт → Сентендре → Львів,199,,199,4,1,4,7,2,0,0,0,0,0,0,0,0,1,2,2,2,,"0,00%","49,75","49,75",FALSE,1,199,0,4,"0,286",ЖОВТЕНЬ,https://eurotrips.ua/budapesht-vena-praga/
EUR-29,"Італія, Угорщина",Eurotrips,Екскурсійний,Стандарт 150 - 300,Римські канікули,Львів → / → Будапешт → Верона → Рим → Венеція → Будапешт → / → Львів,279,,279,6,2,2,8,3,0,0,0,0,1,1,1,1,2,1,1,0,,"0,00%","46,50","139,50",FALSE,2,262,18,7,"0,250",ВЕРЕСЕНЬ,https://eurotrips.ua/rimskie-kanikulyi/
EUR-30,Польща,Eurotrips,Екскурсійний,Економ 99 - 150,Різдвяний вікенд у Кракові БЕЗ НІЧНИХ,Львів → Краків → Закопане → Львів,129,,129,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,,"0,00%","43,00","129,00",TRUE,4,122,8,1,"1,000",ГРУДЕНЬ,https://eurotrips.ua/rizdvo-i-novyj-rik-u-krakovi-bez-nichnyh/
EUR-31,"Норвегія,  Данія, Швеція, Латвія",Eurotrips,Екскурсійний,Тяжкий Люкс 400 +,Скандинавія + Язик Троля,Львів → Гданськ → Мальме → Копенгаген → Берген → Флом → Язик Троля → Осло → Стокгольм → Рига → Львів,589,,589,10,2,6,2,7,0,0,0,0,0,0,1,1,0,0,0,0,,"0,00%","58,90","98,17",FALSE,1,589,0,2,"0,500",ЛИПЕНЬ,https://eurotrips.ua/skandinaviya/
EUR-32,"Іспанія, Італія",Eurotrips,Екскурсійний,Тяжкий Люкс 400 +,Сонце Море Барселона,Львів → /Егер → Лідо ді Єзоло → Коста Брава → Ніцца → озеро Гарда → Львів,529,629,579,10,2,0,6,7,0,0,0,0,1,2,1,2,0,0,0,0,100,"17,27%","57,90","0,00",FALSE,1,579,0,4,"0,333",ЧЕРВЕНЬ,https://eurotrips.ua/sonce-more-barselona/
EUR-33,Греція,Eurotrips,Морський,Тяжкий Люкс 400 +,Сонячна Греція: Simeon,Львів → /Київ → Будапешт →  салоніки → метеори→ узбережжя егейського моря→ олімп→ діон → скіафос→ Халкідіки → Львів → /Київ,539,649,594,10,2,0,0,7,0,0,0,0,0,4,5,4,5,0,0,0,110,"18,52%","59,40","0,00",FALSE,2,482,113,4,"0,278",ЛИПЕНЬ,https://eurotrips.ua/sonyachna-grecziya-simeon/
EUR-34,Греція,Eurotrips,Морський,Люкс 300 - 400,Сонячна Греція: Asteris Village,Львів → /Київ → Будапешт →  салоніки → метеори→ узбережжя егейського моря→ олімп→ діон → скіафос→ Халкідіки → Львів → /Київ,339,399,369,10,2,0,17,7,0,0,0,0,0,4,5,4,4,0,0,0,60,"16,26%","36,90","0,00",FALSE,2,482,-113,4,"0,294",ЛИПЕНЬ,https://eurotrips.ua/sonyachna-grecziya-asteris/
EUR-35,Туреччина,Eurotrips,Екскурсійний,Стандарт 150 - 300,Стамбул,Львів → Стамбул → Львів,179,189,184,5,2,1,15,2,0,0,0,0,1,2,2,2,2,2,2,2,10,"5,43%","36,80","184,00",FALSE,1,184,0,8,"0,133",ЧЕРВЕНЬ,https://eurotrips.ua/stambul/
EUR-36,"Австрія, Угорщина",Eurotrips,Екскурсійний,Економ 99 - 150,Вікенд у Будапешті + Відень,Львів → Стрий → Мукачево → Будапешт → Відень,109,,109,4,2,1,29,1,0,0,0,1,2,3,4,4,4,4,3,4,,"0,00%","27,25","109,00",FALSE,1,109,0,9,"0,138",ЛИПЕНЬ,https://eurotrips.ua/vikend-v-budapeshti-viden/
EUR-37,Румунія,Eurotrips,Екскурсійний,Економ 99 - 150,Хелловін у Трансильванії + Бухарест,Львів → Брашов → Замок Дракули → Трансильванія → Замок Кантакузіно → Бухарест → Львів,129,,129,4,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,"0,00%","32,25","129,00",FALSE,3,129,0,1,"1,000",ЖОВТЕНЬ,https://eurotrips.ua/transylvaniya-halloween/
EUR-38,Чорногорія,Eurotrips,Екскурсійний,Люкс 300 - 400,Чорногорія: де море торкається гір,Львів → Бечичі → Львів,399,409,404,10,2,0,13,7,0,0,0,0,0,3,4,5,1,0,0,0,10,"2,48%","40,40","0,00",FALSE,1,404,0,4,"0,385",СЕРПЕНЬ,https://eurotrips.ua/more-u-chornogoriyi/
EUR-39,"Швейцарія, Австрія, Чехія",Eurotrips,Екскурсійний,Стандарт 150 - 300,Швейцарія,Львів → Відень → Цюріх → Люцерн → Берн → Інтерлакен → / → Гріндельвальд → Рейнський водоспад → Прага → Львів,199,289,244,6,1,4,12,4,0,0,0,2,1,2,2,1,1,1,1,1,90,"36,89%","40,67","61,00",FALSE,1,244,0,9,"0,167",КВІТЕНЬ,https://eurotrips.ua/switzerland/
