tour_id,direction_main,source,route_class,current_action,value_score,keep_stops,trim_stops,add_pool,trim_count,add_pool_count,recommendation_summary,priority
ACC-1,Франція,COMPETITOR,BALANCED,REVIEW,"0,6103774298",,,"Долина Луари, Нормандія Діснейленд, Замки Луари, Замок Нойшвайнштайн, Діснейленд",0,5,Перевірити вручну,LOW
ACC-10,Бельгія,COMPETITOR,BALANCED,REVIEW,"0,4722670115",,,"Замок Вартбург, Левен, Мехелен, Аахен, Ерфурт",0,5,Перевірити вручну,LOW
ACC-100,Греція,COMPETITOR,BALANCED,REVIEW,"0,1635410421",,,"Озеро Вуліагмені, Каньйон Матка, Охридське Озеро, Гора Олімп, Олімпійська Рів Єра",0,5,Перевірити вручну,LOW
ACC-101,Румунія,COMPETITOR,BALANCED,REVIEW,"0,644633573",,,"Чернівці, Львів, Брашов, Алба, Б Єртан",0,5,Перевірити вручну,LOW
ACC-102,Італія,COMPETITOR,OVERLOADED,TRIM,"0,3442974517",,,"Гардаленд, Парк Розваг Гардаленд, Озеро Браес, Озеро Мізуріна, Діснейленд",0,5,Забрати слабкі стопи: ,HIGH
ACC-103,Франція,COMPETITOR,BALANCED,REVIEW,"0,3940249353",,,"Долина Луари, Нормандія Діснейленд, Замки Луари, Замок Нойшвайнштайн, Діснейленд",0,5,Перевірити вручну,LOW
ACC-104,Греція,COMPETITOR,OVERLOADED,TRIM,"0,2413218287",,,"Озеро Вуліагмені, Каньйон Матка, Охридське Озеро, Гора Олімп, Олімпійська Рів Єра",0,5,Забрати слабкі стопи: ,HIGH
ACC-105,Нідерланди,COMPETITOR,OVERLOADED,TRIM,"0,3483912616",,,"Саксонську Швейцарію, Парк Мадуродам, Діснейленд, Парк Ефтелінг, Парк Кекенхоф",0,5,Забрати слабкі стопи: ,HIGH
ACC-106,Італія,COMPETITOR,OVERLOADED,TRIM,"0,4629069083",,,"Доломітові Альпи, Гардаленд, Парк Розваг Гардаленд, Озеро Браес, Озеро Мізуріна",0,5,Забрати слабкі стопи: ,HIGH
ACC-107,Франція,COMPETITOR,BALANCED,REVIEW,"0,4340864509",,,"Долина Луари, Нормандія Діснейленд, Замки Луари, Замок Нойшвайнштайн, Лувр",0,5,Перевірити вручну,LOW
ACC-108,Італія,COMPETITOR,BALANCED,REVIEW,"0,5194731452",,,"Доломітові Альпи, Гардаленд, Парк Розваг Гардаленд, Озеро Браес, Озеро Мізуріна",0,5,Перевірити вручну,LOW
ACC-109,Швейцарія,COMPETITOR,OVERLOADED,REVIEW,"0,5921811671",,,"Доломитові Альпи, Швейцарська Рів Єра, Замок Нойшвайнштайн, Замок Нойшванштайн, Діснейленд",0,5,Перевірити вручну,LOW
