ID ТУРУ,ДЖЕРЕЛО,ТУРОПЕРАТОР,ОСНОВНИЙ НАПРЯМОК,МАРШРУТ,ОЧИЩЕНИЙ МАРШРУТ,СИГНАТУРА МАРШРУТУ,ЯДРО МАРШРУТУ,ЗУПИНКА,№,НОРМАЛІЗОВАНА ЗУПИНКА,ТИП ЗУПИНКИ,IS_COUNTRY,IS_CITY,IS_OTHER,КІЛЬКІСТЬ КРАЇН,СПИСОК КРАЇН
EUR-1,EUROTRIPS,Eurotrips,італія,Львів → / → Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Будапешт → / → Львів,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Будапешт,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс,Будапешт,1,будапешт,CITY,0,1,0,2,угорщина → італія
EUR-1,EUROTRIPS,Eurotrips,італія,Львів → / → Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Будапешт → / → Львів,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Будапешт,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс,Адріатичне узбережжя,2,адріатичне узбережжя,OTHER,0,0,1,2,угорщина → італія
EUR-1,EUROTRIPS,Eurotrips,італія,Львів → / → Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Будапешт → / → Львів,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Будапешт,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс,Верона,3,верона,CITY,0,1,0,2,угорщина → італія
EUR-1,EUROTRIPS,Eurotrips,італія,Львів → / → Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Будапешт → / → Львів,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Будапешт,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс,Венеція,4,венеція,CITY,0,1,0,2,угорщина → італія
EUR-1,EUROTRIPS,Eurotrips,італія,Львів → / → Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Будапешт → / → Львів,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс → Будапешт,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс,Будапешт → Адріатичне узбережжя → Верона → Венеція → озеро Браєс,озеро Браєс,5,озеро браєс,OTHER,0,0,1,2,угорщина → італія
EUR-2,EUROTRIPS,Eurotrips,нідерланди,Львів → / → Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Польща,1,польща,COUNTRY,1,0,0,4,польща → німеччина → нідерланди → чехія
EUR-2,EUROTRIPS,Eurotrips,нідерланди,Львів → / → Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Вроцлав,2,вроцлав,CITY,0,1,0,4,польща → німеччина → нідерланди → чехія
EUR-2,EUROTRIPS,Eurotrips,нідерланди,Львів → / → Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Берлін,3,берлін,CITY,0,1,0,4,польща → німеччина → нідерланди → чехія
EUR-2,EUROTRIPS,Eurotrips,нідерланди,Львів → / → Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Амстердам,4,амстердам,CITY,0,1,0,4,польща → німеччина → нідерланди → чехія
EUR-2,EUROTRIPS,Eurotrips,нідерланди,Львів → / → Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Гаага,5,гаага,CITY,0,1,0,4,польща → німеччина → нідерланди → чехія
EUR-2,EUROTRIPS,Eurotrips,нідерланди,Львів → / → Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Заансе Сханс,6,заансе сханс,OTHER,0,0,1,4,польща → німеччина → нідерланди → чехія
EUR-2,EUROTRIPS,Eurotrips,нідерланди,Львів → / → Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага → Польща,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Польща → Вроцлав → Берлін → Амстердам → Гаага → Заансе Сханс → Волендам → Прага,Волендам,7,волендам,UNKNOWN,0,0,0,4,польща → німеччина → нідерланди → чехія
