МІСЯЦЬ,ВСЬОГО ВИЇЗДІВ,ВИЇЗДИ EUROTRIPS,ВИЇЗДИ КОНКУРЕНТІВ,ВСЬОГО ТУРІВ,ТУРИ EUROTRIPS,ТУРИ КОНКУРЕНТІВ,СЕРЕДНЯ ЦІНА,ЦІНА EUROTRIPS,ЦІНА КОНКУРЕНТІВ,ЧАСТКА EUROTRIPS,ЧАСТКА КОНКУРЕНТІВ,ІНДЕКС СЕЗОННОСТІ EUROTRIPS,РІЗНИЦЯ ЦІН,ПІКОВА АКТИВНІСТЬ
СІЧЕНЬ,0,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00",0,0,
ЛЮТИЙ,0,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00",0,0,
БЕРЕЗЕНЬ,0,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00",0,0,
КВІТЕНЬ,557,10,547,261,7,254,"307,73","250,43","309,31","0,02","0,98","0,4316546763","-58,88245219",
ТРАВЕНЬ,1975,16,1959,406,9,397,"326,28","278,44","327,37","0,01","0,99","0,690647482","-48,92079485",
ЧЕРВЕНЬ,2205,40,2165,440,23,417,"330,83","295,09","332,80","0,02","0,98","1,726618705","-37,71520175",
ЛИПЕНЬ,2194,45,2149,435,23,412,"331,36","299,43","333,14","0,02","0,98","1,942446043","-33,70963487",🔥 ПІК
СЕРПЕНЬ,2309,44,2265,434,22,412,"330,38","301,95","331,90","0,02","0,98","1,899280576","-29,94472639",🔥 ПІК
ВЕРЕСЕНЬ,1827,41,1786,414,22,392,"332,62","276,95","335,75","0,02","0,98","1,769784173","-58,79162801",🔥 ПІК
ЖОВТЕНЬ,1979,37,1942,362,22,340,"319,62","205,82","326,99","0,02","0,98","1,597122302","-121,1671123",
ЛИСТОПАД,1242,18,1224,255,12,243,"295,30","206,50","299,69","0,01","0,99","0,7769784173","-93,1872428",
ГРУДЕНЬ,1295,27,1268,238,15,223,"296,14","194,33","302,99","0,02","0,98","1,165467626","-108,6599402",
