🌡️  ТЕПЛОВИЙ КАЛЕНДАР СЕЗОННОСТІ — ВИЇЗДИ ПО НАПРЯМКАХ × МІСЯЦЯХ,,,,,,,,,,,,,,
Інтенсивність = кількість виїздів. Синій = Eurotrips. Жовтогарячий = Конкуренти (нормалізовано). Сірий = даних немає.,,,,,,,,,,,,,,
🔵  EUROTRIPS — виїзди по місяцях та напрямках,,,,,,,,,,,,,,
НАПРЯМОК,Січ,Лют,Бер,Квіт,Трав,Черв,Лип,Серп,Вер,Жовт,Лист,Груд,,ВСЬОГО
Австрія,,,,6,8,11,14,13,13,15,8,11,,99
Угорщина,,,,2,5,8,9,9,11,12,9,10,,75
Італія,,,,3,7,11,10,11,9,6,5,4,,66
Чехія,,,,5,4,5,5,4,7,10,4,7,,51
Польща,,,,3,3,3,4,4,5,7,3,5,,37
Греція,,,,,,8,10,8,9,,,,,35
Франція,,,,2,3,3,4,4,4,3,,,,23
Німеччина,,,,1,,2,1,1,3,5,1,4,,18
Туреччина,,,,,1,2,2,2,2,2,2,2,,15
Чорногорія,,,,,,3,4,5,1,,,,,13
Швейцарія,,,,2,1,2,2,1,1,1,1,1,,12
Нідерланди,,,,1,,2,2,2,2,1,1,,,11
Румунія,,,,,,,1,1,1,4,,1,,8
Іспанія,,,,,1,2,1,2,,1,,,,7
Словаччина,,,,,,,,,1,2,2,2,,7
Словенія,,,,,,1,1,1,1,,,1,,5
Латвія,,,,,,1,1,1,,1,,,,4
Швеція,,,,,,1,1,1,,1,,,,4
Бельгія,,,,,,1,1,1,1,,,,,4
Естонія,,,,,,1,,,,1,,,,2
Норвегія,,,,,,,1,1,,,,,,2
Данія,,,,,,,1,1,,,,,,2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
🟠  КОНКУРЕНТИ — виїзди по місяцях та напрямках,,,,,,,,,,,,,,
НАПРЯМОК,Січ,Лют,Бер,Квіт,Трав,Черв,Лип,Серп,Вер,Жовт,Лист,Груд,,ВСЬОГО
Італія,,,1,122,486,502,498,518,429,482,306,190,,3534
Франція,,,,131,450,457,429,509,372,415,318,317,,3398
Австрія,,,,48,241,228,223,233,194,231,164,185,,1747
Нідерланди,,,,65,182,209,185,216,172,204,153,183,,1569
Чехія,,,,52,218,208,211,211,155,219,131,157,,1562
Німеччина,,,,42,188,173,180,177,155,189,139,164,,1407
Угорщина,,,,46,199,187,178,185,147,172,114,114,,1342
Швейцарія,,,,50,166,169,179,192,150,167,116,124,,1313
Польща,,,,37,149,145,148,143,112,149,109,144,,1136
Іспанія,,,,19,97,111,116,123,106,90,24,25,,711
Греція,,,,10,55,111,110,103,100,47,27,4,,567
Румунія,,,,14,57,50,54,53,52,66,41,50,,437
Чорногорія,,,,6,28,67,75,74,57,32,,,,339
Бельгія,,,,9,26,32,30,36,24,33,24,33,,247
Норвегія,,,,6,31,31,30,38,30,27,2,6,,201
Словенія,,,,3,25,23,23,29,23,25,14,13,,178
Сан-Марино,,,,7,25,24,23,22,22,21,12,12,,168
Хорватія,,,,4,14,39,38,39,24,10,,,,168
Албанія,,,,,14,29,29,29,22,10,,,,133
Швеція,,,,6,20,23,25,25,12,11,2,7,,131
Естонія,,,,7,20,20,24,21,8,12,6,12,,130
Монако,,,,4,18,15,14,17,15,15,5,,,103
Данія,,,,4,14,14,14,19,14,12,1,3,,95
Латвія,,,,6,12,13,12,11,7,11,5,13,,90
Болгарія,,,,3,8,12,10,10,10,8,5,7,,73
