URL туру,Назва туру,Дата (від),Дата (до),Ціна (€),Ціна (грн),Стара ціна (€),Місць / Статус
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,10.07.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,15.05.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,22.05.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,29.05.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,05.06.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,12.06.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,19.06.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,26.06.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,30.05.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,14.08.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,24.07.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,17.07.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,27.06.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,03.07.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,28.08.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,21.08.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,31.07.2026,,95,,,active
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,07.08.2026,,95,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",20.05.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",10.06.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",17.06.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",24.06.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",03.06.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",08.07.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",22.07.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",05.08.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",19.08.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",16.09.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",07.10.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",21.10.2026,,168,,,active
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",28.10.2026,,168,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,15.05.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,29.05.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,12.06.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,26.06.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,30.05.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,24.07.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,21.08.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,07.08.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,14.08.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,28.08.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,27.06.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,10.07.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,11.09.2026,,110,,,active
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,25.09.2026,,110,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,15.05.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,29.05.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,12.06.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,26.06.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,24.07.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,30.05.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,10.07.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,14.08.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,21.08.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,28.08.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,27.06.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,07.08.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,25.09.2026,,115,,,active
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,11.09.2026,,115,,,active
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,22.05.2026,,95,,,active
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,05.06.2026,,95,,,active
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,19.06.2026,,95,,,active
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,26.06.2026,,95,,,active
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,03.07.2026,,95,,,active
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,17.07.2026,,95,,,active
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,31.07.2026,,95,,,active
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,14.08.2026,,95,,,active
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,28.08.2026,,95,,,active
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,11.09.2026,,95,,,active
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,25.09.2026,,95,,,active
https://tangotravel.com.ua/tur/quattro-formaggi-kvadro-formadzhi/?dateid=6134,"Тур Quattro Formaggi. Венеція, Флоренція і Рим",27.05.2026,,188,,,active
https://tangotravel.com.ua/tur/quattro-formaggi-kvadro-formadzhi/?dateid=6134,"Тур Quattro Formaggi. Венеція, Флоренція і Рим",17.06.2026,,188,,,active
https://tangotravel.com.ua/tur/quattro-formaggi-kvadro-formadzhi/?dateid=6134,"Тур Quattro Formaggi. Венеція, Флоренція і Рим",08.07.2026,,188,,,active
https://tangotravel.com.ua/tur/quattro-formaggi-kvadro-formadzhi/?dateid=6134,"Тур Quattro Formaggi. Венеція, Флоренція і Рим",12.08.2026,,188,,,active
https://tangotravel.com.ua/tur/quattro-formaggi-kvadro-formadzhi/?dateid=6134,"Тур Quattro Formaggi. Венеція, Флоренція і Рим",23.09.2026,,188,,,active
https://tangotravel.com.ua/tur/quattro-formaggi-kvadro-formadzhi/?dateid=6134,"Тур Quattro Formaggi. Венеція, Флоренція і Рим",14.10.2026,,188,,,active
https://tangotravel.com.ua/tur/quattro-formaggi-kvadro-formadzhi/?dateid=6134,"Тур Quattro Formaggi. Венеція, Флоренція і Рим",28.10.2026,,188,,,active
https://tangotravel.com.ua/tur/moi-hollandski-tiulpanchyky/?dateid=6077,Тур Мої голландські тюльпанчики!,03.06.2026,,195,,,active
https://tangotravel.com.ua/tur/moi-hollandski-tiulpanchyky/?dateid=6077,Тур Мої голландські тюльпанчики!,17.06.2026,,195,,,active
https://tangotravel.com.ua/tur/moi-hollandski-tiulpanchyky/?dateid=6077,Тур Мої голландські тюльпанчики!,01.07.2026,,195,,,active
https://tangotravel.com.ua/tur/moi-hollandski-tiulpanchyky/?dateid=6077,Тур Мої голландські тюльпанчики!,05.08.2026,,195,,,active
https://tangotravel.com.ua/tur/lamour-en-trois-ty-ya-i-paryzh/?dateid=6238,"Автобусний тур L'amour en trois: ти, я і Париж зі Львова | TangoTravel",26.05.2026,,268,,,active
https://tangotravel.com.ua/tur/lamour-en-trois-ty-ya-i-paryzh/?dateid=6238,"Автобусний тур L'amour en trois: ти, я і Париж зі Львова | TangoTravel",09.06.2026,,268,,,active
https://tangotravel.com.ua/tur/lamour-en-trois-ty-ya-i-paryzh/?dateid=6238,"Автобусний тур L'amour en trois: ти, я і Париж зі Львова | TangoTravel",30.06.2026,,268,,,active
https://tangotravel.com.ua/tur/rumuniia-liubov-z-pershoho-pohliadu/?dateid=6216,Тур Румунія - любов з першого погляду. Бухарест і замки,10.07.2026,,145,,,active
https://tangotravel.com.ua/tur/rumuniia-liubov-z-pershoho-pohliadu/?dateid=6216,Тур Румунія - любов з першого погляду. Бухарест і замки,05.06.2026,,145,,,active
https://tangotravel.com.ua/tur/rumuniia-liubov-z-pershoho-pohliadu/?dateid=6216,Тур Румунія - любов з першого погляду. Бухарест і замки,30.05.2026,,145,,,active
https://tangotravel.com.ua/tur/rumuniia-liubov-z-pershoho-pohliadu/?dateid=6216,Тур Румунія - любов з першого погляду. Бухарест і замки,14.08.2026,,145,,,active
https://tangotravel.com.ua/tur/rumuniia-liubov-z-pershoho-pohliadu/?dateid=6216,Тур Румунія - любов з першого погляду. Бухарест і замки,31.07.2026,,145,,,active
https://tangotravel.com.ua/tur/rumuniia-liubov-z-pershoho-pohliadu/?dateid=6216,Тур Румунія - любов з першого погляду. Бухарест і замки,26.06.2026,,145,,,active
https://tangotravel.com.ua/tur/rumuniia-liubov-z-pershoho-pohliadu/?dateid=6216,Тур Румунія - любов з першого погляду. Бухарест і замки,28.08.2026,,145,,,active
https://tangotravel.com.ua/tur/rumuniia-liubov-z-pershoho-pohliadu/?dateid=6216,Тур Румунія - любов з першого погляду. Бухарест і замки,11.09.2026,,145,,,active
https://tangotravel.com.ua/tur/stykhiya-morya-tallinn-stokholm-ryha/?dateid=6092,"Тур Стихія моря: Таллінн, Стокгольм, Рига",02.06.2026,,165,,,active
https://tangotravel.com.ua/tur/stykhiya-morya-tallinn-stokholm-ryha/?dateid=6092,"Тур Стихія моря: Таллінн, Стокгольм, Рига",16.06.2026,,165,,,active
https://tangotravel.com.ua/tur/stykhiya-morya-tallinn-stokholm-ryha/?dateid=6092,"Тур Стихія моря: Таллінн, Стокгольм, Рига",08.07.2026,,165,,,active
https://tangotravel.com.ua/tur/stykhiya-morya-tallinn-stokholm-ryha/?dateid=6092,"Тур Стихія моря: Таллінн, Стокгольм, Рига",22.07.2026,,165,,,active
https://tangotravel.com.ua/tur/stykhiya-morya-tallinn-stokholm-ryha/?dateid=6092,"Тур Стихія моря: Таллінн, Стокгольм, Рига",05.08.2026,,165,,,active
https://tangotravel.com.ua/tur/stykhiya-morya-tallinn-stokholm-ryha/?dateid=6092,"Тур Стихія моря: Таллінн, Стокгольм, Рига",19.08.2026,,165,,,active
https://tangotravel.com.ua/tur/stykhiya-morya-tallinn-stokholm-ryha/?dateid=6092,"Тур Стихія моря: Таллінн, Стокгольм, Рига",16.09.2026,,165,,,active
https://tangotravel.com.ua/tur/stykhiya-morya-tallinn-stokholm-ryha/?dateid=6092,"Тур Стихія моря: Таллінн, Стокгольм, Рига",06.10.2026,,165,,,active
https://tangotravel.com.ua/tur/stykhiya-morya-tallinn-stokholm-ryha/?dateid=6092,"Тур Стихія моря: Таллінн, Стокгольм, Рига",28.10.2026,,165,,,active
https://tangotravel.com.ua/tur/mahiia-baltiiskoho-moria/?dateid=6115,Тур Магія Балтійського моря. Круїз Таллінн-Стокгольм,02.06.2026,,238,,,active
https://tangotravel.com.ua/tur/mahiia-baltiiskoho-moria/?dateid=6115,Тур Магія Балтійського моря. Круїз Таллінн-Стокгольм,08.07.2026,,238,,,active
