URL,Назва туру,Маршрут (міста),Кількість днів,Виїзд з / Найближча дата,Входить у вартість,Додатково оплачується,Допки (за бажанням),Особливості туру,Базова ціна (€),Стара ціна (€),Статус парсингу,Дата парсингу
https://tangotravel.com.ua/tur/viden-ta-praga-imperii-koroliv/?dateid=6041,Тур Відень та Прага - імперії королів,,4,Найближчий виїзд: 22.05.2026,проїзд автобусом єврокласу;; проживання у готелях 3*;; харчування - сніданки в готелях;; супровід керівника групи;; багаж - валіза та ручна поклажа; оглядові екскурсії згідно програми туру;; страхування до 66 р.,"рекомендовані програми, факультативні екскурсії, вхідні квитки; особисті витрати; обов язкова оренда аудіогіда (попередня оплата обов язкова); ​курортний збір в готелях від 1 до 3&euro; (оплата на місці); при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії ""Відень неперевершений""",,,,,✅ done,"14.05.2026, 17:20:55"
https://tangotravel.com.ua/tur/teatr-vrazhen-venetsiia-verona-ta-milan/?dateid=6126,"Тур Театр вражень - Венеція, Верона та Мілан!",,5,Найближчий виїзд: 27.05.2026,проїзд автобусом єврокласу.; проживання в готелі категорії 3*; харчування - сніданки в готелях; екскурсії по програмі; багаж - валіза та ручна поклажа; супровід керівника групи; страхування до 66р.,"рекомендовані програми, факультативні екскурсії, вхідні квитки; особисті витрати; податок на в їзд у Венецію; обов язкова оренда аудіогіда для оглядової екскурсії; курортний збір у готелях від 1 до 3 євро (оплата на місці); при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії Гранд-Каналом",,,,,✅ done,"14.05.2026, 17:20:59"
https://tangotravel.com.ua/tur/budapesht-miy-naykrashchyy-vikend/?dateid=6003,Тур Будапешт - мій найкращий вікенд!,,4,Найближчий виїзд: 29.05.2026,проїзд автобусом єврокласу;; проживання у готелі 3*;; харчування - сніданок в готелях;; супровід керівника групи;; багаж - валіза та ручна поклажа; оглядові екскурсії згідно програми туру;; медична страховка,"рекомендовані програми, факультативні екскурсії, вхідні квитки;; особисті витрати;; оренда аудіогіда (оплата разом з туром);; курортний збір в готелях від 1 до 3 євро (оплата на місці);; при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії в Сентендре або прогулянка на кораблику по Дунаю",,,,,✅ done,"14.05.2026, 17:21:03"
https://tangotravel.com.ua/tur/kliuch-v-yevropu-budapesht-viden/?dateid=5986,Тур Ключ в Європу : Будапешт + Відень,,4,Найближчий виїзд: 29.05.2026,проїзд автобусом єврокласу;; проживання у готелях 3*;; харчування - сніданки в готелях;; багаж - валіза та ручна поклажа; супровід керівника групи;; оглядові екскурсії згідно програми туру;; страхування до 66р.,"рекомендовані програми, факультативні екскурсії, вхідні квитки;; особисті витрати;; курортний збір в готелях від 1 до 3&euro; (оплата на місці);; оренда аудіогіда (оплата з туром); при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії в Сентендре або ""Душа і серце Будапешта""",,,,,✅ done,"14.05.2026, 17:21:07"
https://tangotravel.com.ua/tur/praha-ta-drezden-nashiliudyvsiudy/?dateid=6165,Тур Прага та Дрезден #нашілюдивсюди,,4,Найближчий виїзд: 31.05.2026,проїзд автобусом єврокласу;; проживання у готелях 3*;; харчування - сніданки в готелях;; супровід керівника групи;; багаж - валіза та ручна поклажа; оглядові екскурсії згідно програми туру;; страхування до 66р.,"рекомендовані програми, факультативні екскурсії, вхідні квитки; особисті витрати; оренда аудіогіда (оплата з туром); курортний збір в готелях від 1 до 3 євро (оплата на місці); при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії ""Празький Град""",,,,,✅ done,"14.05.2026, 17:21:10"
https://tangotravel.com.ua/tur/quattro-formaggi-kvadro-formadzhi/?dateid=6134,"Тур Quattro Formaggi. Венеція, Флоренція і Рим",,5,,проїзд автобусом єврокласу.; проживання в готелі категорії 3*; харчування - сніданки в готелях; екскурсії по програмі; багаж - валіза та ручна поклажа; супровід керівника групи; страхування до 66р.,"рекомендовані програми, факультативні екскурсії, вхідні квитки;; особисті витрати;; податок на в їзд у Венецію; оренда аудіогіда (оплата разом з туром);; курортний збір в готелях від 1 до 3 євро (оплата на місці);; при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії ""Флоренція на долоні""",,,,,✅ done,"14.05.2026, 17:21:14"
https://tangotravel.com.ua/tur/viden-neperevershenij/?dateid=5992,Тур Відень неперевершений!,,4,Найближчий виїзд: 22.05.2026,проїзд автобусом єврокласу.; проживання в готелі категорії 3*; харчування - сніданок в готелі; оглядова екскурсія за програмою; супровід керівника групи; багаж - валіза та ручна поклажа; страхування,"депозит на факультативні екскурсії, факультативні екскурсії, вхідні квитки;; особисті витрати;; курортний збір в готелях від 1 до 3&euro; (оплата на місці);; оренда аудіогіда (оплата з туром); при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії ""Легенди вишуканого Відня""",,,,,✅ done,"14.05.2026, 17:21:18"
https://tangotravel.com.ua/tur/moi-hollandski-tiulpanchyky/?dateid=6077,Тур Мої голландські тюльпанчики!,,5,Найближчий виїзд: 26.05.2026,проїзд автобусом єврокласу.; проживання в готелі категорії 3*; харчування - сніданки в готелях; екскурсії за програмою; багаж - валіза та ручна поклажа; супровід керівника групи; страхування,"рекомендовані програми, факультативні екскурсії, вхідні квитки; особисті витрати; курортний збір в готелях від 1 до 3&euro; євро (оплата на місці); оренда аудіогіда (оплата з туром); при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії ""Празький Град""",,,,,✅ done,"14.05.2026, 17:21:21"
https://tangotravel.com.ua/tur/lamour-en-trois-ty-ya-i-paryzh/?dateid=6238,"Автобусний тур L'amour en trois: ти, я і Париж зі Львова | TangoTravel",,6,Найближчий виїзд: 03.06.2026,проїзд автобусом єврокласу.; проживання в готелі категорії 3*; харчування - сніданки в готелях; екскурсії за програмою; багаж - валіза та ручна поклажа; супровід керівника групи; страхування до 66р.,"рекомендовані програми, факультативні екскурсії, вхідні квитки; особисті витрати; курортний збір в готелях - від 1 до 6 &euro; (оплата на місці); оренда аудіогіда (оплата з туром); при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії ""Магія Парижа""",,,,,✅ done,"14.05.2026, 17:21:25"
https://tangotravel.com.ua/tur/rumuniia-liubov-z-pershoho-pohliadu/?dateid=6216,Тур Румунія - любов з першого погляду. Бухарест і замки,,4,Найближчий виїзд: 05.06.2026,проїзд автобусом єврокласу;; проживання у готелі 3*;; харчування - сніданок в готелях;; супровід керівника групи;; оглядові екскурсії згідно програми туру;; медичне страхування до 66р.,"рекомендовані програми, факультативні екскурсії, вхідні квитки;; особисті витрати;; оренда аудіогіда (оплата разом з туром);; курортний збір в готелях від 1 до 3 євро (оплата на місці);; при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії ""Легенди Трансільванії""",,,,,✅ done,"14.05.2026, 17:21:30"
https://tangotravel.com.ua/tur/stykhiya-morya-tallinn-stokholm-ryha/?dateid=6092,"Тур Стихія моря: Таллінн, Стокгольм, Рига",,5,,проїзд автобусом єврокласу; проїзд на паромі Таллінн-Стокгольм-Таллінну 4-місній каюті категорії Е класу (без вікна; душ та туалет в каюті).; екскурсії згідно програми туру; супровід керівника групи; страхування до 66р.,"факультативні екскурсії, вхідні квитки; особисті витрати; каюти вищого класу на паромі Таллінн-Стокгольм-Таллінн; харчування на паромі; при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії в Ризі (Латвія)",,,,,✅ done,"14.05.2026, 17:21:34"
https://tangotravel.com.ua/tur/mahiia-baltiiskoho-moria/?dateid=6115,Тур Магія Балтійського моря. Круїз Таллінн-Стокгольм,,5,Найближчий виїзд: 02.06.2026,проїзд автобусом єврокласу; проживання в готелях 3*; сніданки в готелях; проїзд на паромі Таллінн-Стокгольм-Таллінн в 4-місній каюті категорії Е (без вікна; душ та туалет в каюті).; екскурсія по програмі; багаж - валіза та ручна поклажа; супровід керівника групи; страхування до 66 р.,"факультативні екскурсії, вхідні квитки; особисті витрати; курортний збір в готелях від 1&euro; до 3&euro;/ніч (оплата на місці);; оренда аудіогіда (оплата з туром); при груповому бронюванні (акція ""9+1"") - обов язкова оплата екскурсії в Юрмалу",,,,,✅ done,"14.05.2026, 17:21:37"
