URL туру,Назва туру,День №,Місто / Локація,Факультативи (назва + ціна),Опис дня,Симв.
https://tangotravel.com.ua/tur/skandynaviya-vsya-pravda-pro-vikinhiv/?dateid=6855,Тур Скандинавія. Вся правда про Вікінгів,1,05:30 - збір групи на автостоянці (пл,,"05:30 - збір групи на автостоянці (пл.Двірцева) біля Залізничного вокзалу м.Львова. 06:00 - виїзд зі Львова. Виїзд за межі України. Перетин кордону. Переїзд по території Польщі. Ночівля в транзитному готелі на території Польщі / Литви. <div class=""ta",250
https://tangotravel.com.ua/tur/skandynaviya-vsya-pravda-pro-vikinhiv/?dateid=6855,Тур Скандинавія. Вся правда про Вікінгів,2,Сніданок,Оглядова екскурсія в Ризі; Екскурсія в Таллінні Vanna Tallinn,"Сніданок. Виселення з готелю. Переїзд в Ригу. Оглядова екскурсія в Ризі Переїзд в Таллінн (Естонія). Екскурсія в Таллінні Vanna Tallinn Поселення в готель. Ночівля. <div class=""ta",179
https://tangotravel.com.ua/tur/skandynaviya-vsya-pravda-pro-vikinhiv/?dateid=6855,Тур Скандинавія. Вся правда про Вікінгів,3,"Сніданок в дорогу ""breakfast to go""","Оглядова по Гельсінкі; Свеаборг 33/28€ - діти до 16 р.; Kiss me in Turku, або Поцілуй мене в Турку 18€","Сніданок в дорогу ""breakfast to go"". Виселення з готелю. 08:00 Паромна переправа в столицю Фінляндії. 10:30 Прибуття в Гельсінкі. Оглядова по Гельсінкі Вільний час. Факультативно пропонуємо: Свеаборг 33/28€ - діти до 16 р. Переїзд в порт м.Турку (Фінляндія). Kiss me in Turku, або Поцілуй мене в Турку 18€ 20:55 Паромна переправа в Стокгольм (Швецію). Маршрут: Turku-Stockholm, поромна компанія - Viking Line. Розміщення в каютах. <div class=""ta",445
https://tangotravel.com.ua/tur/skandynaviya-vsya-pravda-pro-vikinhiv/?dateid=6855,Тур Скандинавія. Вся правда про Вікінгів,4,Сніданок на поромі (оплачується додатково),Оглядова по Стокгольму; Гамла Стан 18/13€ - діти до 16р.; Музей Васа 20€/8€ діти до 18р.; Екскурсія до Стокгольмської ратуші 20/15€ - діти до 16р.,"Сніданок на поромі (оплачується додатково). 06:30 Прибуття в Стокгольм Оглядова по Стокгольму Вільний час. Факультативно пропонуємо: Гамла Стан 18/13€ - діти до 16р. Музей Васа 20€/8€ діти до 18р. Екскурсія до Стокгольмської ратуші 20/15€ - діти до 16р. Переїзд по Швеції. Ночівля в готелі. <div class=""ta",305
https://tangotravel.com.ua/tur/skandynaviya-vsya-pravda-pro-vikinhiv/?dateid=6855,Тур Скандинавія. Вся правда про Вікінгів,5,Сніданок,Оглядова екскурсія в Осло; Круїз по Осло-фіорду 30€; Музеї Кон-Тікі і Фрам 30/25€ - діти до 16р. + вхідний квиток; Парк скульптур Вігеланда 15€,"Сніданок. Виселення з готелю. Переїзд в Осло (Норвегія). Оглядова екскурсія в Осло Вільний час. Факультативно пропонуємо: Круїз по Осло-фіорду 30€ Музеї Кон-Тікі і Фрам 30/25€ - діти до 16р. + вхідний квиток Парк скульптур Вігеланда 15€ Переїзд в готель на території Швеції. Ночівля. <div class=""ta",298
https://tangotravel.com.ua/tur/skandynaviya-vsya-pravda-pro-vikinhiv/?dateid=6855,Тур Скандинавія. Вся правда про Вікінгів,6,Сніданок,"Оглядова по Копенгагені 45€; Прогулянка каналами Копенгагена 25€ дорослі, 20€ діти до 16р; Скарбниця данських королів Розенборґ 38€ дорослі, 33€ діти до 16р; Стежками Ганса Крістіана Андерсена 15€ дорослі, 10€ діти до 16р","Сніданок. Виселення з готелю. Вільний день у м.Мальме. Факультативно пропонуємо відвідати столицю Данії - Копенгаген: Прибуття в Копенгаген. Оглядова по Копенгагені 45€ Переїзд через Ересуннський міст в Копенгаген. Вільний час. Прогулянка каналами Копенгагена 25€ дорослі, 20€ діти до 16р Скарбниця данських королів Розенборґ 38€ дорослі, 33€ діти до 16р Стежками Ганса Крістіана Андерсена 15€ дорослі, 10€ діти до 16р Переїзд в порт м.Карлскруна (Швеція). 22:00 - Відправлення на поромі в м.Гдиня (Польща). Розміщення в каютах. Ніч на поромі. <div class=""ta",558
https://tangotravel.com.ua/tur/skandynaviya-vsya-pravda-pro-vikinhiv/?dateid=6855,Тур Скандинавія. Вся правда про Вікінгів,7,Сніданок,,Сніданок. Прибуття в м.Гдиня (Польща) о 09:45. Переїзд у Львів. Пізнє прибуття. Маршрут: Натисніть щоб подивитись,113
https://tangotravel.com.ua/tur/vypusknyy-v-hretsiyi/?dateid=8758,Випускний у Греції 2026 — 7 днів на морі від 493 € | Tango Travel,1,6:30 - збір групи м Львів,Hotel Great Alexander; Hotel Europe Korinos,"6:30 - збір групи м Львів. пл Двірцева. Головний залізничний вокзал 7:00 - виїзд зі Львова. 08:30 - зупинка в Стрию 11:00 - зупинка в Мукачево. Виїзд з України. Нічний переїзд в Грецію. Базові готелі у Греції: Hotel Great Alexander Hotel Europe Korinos <div class=""ta",267
https://tangotravel.com.ua/tur/vypusknyy-v-hretsiyi/?dateid=8758,Випускний у Греції 2026 — 7 днів на морі від 493 € | Tango Travel,2,Прибуття в Грецію,Hotel Great Alexander; Hotel Europe Korinos,"Прибуття в Грецію. Переїзд в готель. Поселення в заброньованому готелі. Hotel Great Alexander Hotel Europe Korinos Відпочинок на морі. Ніжний бриз, чистий пісок та тепла морська вода... Море зачекалося за Вами Ночівля. Примітка: (типи харчування FB - сніданки, обіди та вечері) <div class=""ta",292
https://tangotravel.com.ua/tur/vypusknyy-v-hretsiyi/?dateid=8758,Випускний у Греції 2026 — 7 днів на морі від 493 € | Tango Travel,3,Сніданок,Оглядова екскурсія в Афінах 70€ дор./60€ діти до 16 років,"Сніданок. Вільний день. Відпочинок на морі. Факультативно пропонуємо: Оглядова екскурсія в Афінах 70€ дор./60€ діти до 16 років Ночівля. <div class=""ta",151
